selection_id,generated_local_station_index,source_station_row_index,legacy_internal_index,station_id,station_name,original_capacity,original_utm_easting_m,original_utm_northing_m,selected_utm_easting_m,selected_utm_northing_m,is_depot,geographic_selection_seed,geographic_regime,replicate,anchor_source_station_row_index,distance_from_anchor_m,selection_order
cb443_V50_compact_r2,0,,,,ARTIFICIAL_CENTROID_DEPOT,,,,592329.715,4507301.190,True,229065628,compact,2,437,,0
cb443_V50_compact_r2,1,437,438,69717638-5c4a-47a7-bccb-3b42c81eb09f,56 Dr & 61 St,19,592511.017,4508660.653,592511.017,4508660.653,False,229065628,compact,2,437,0.000000,1
cb443_V50_compact_r2,2,430,431,94771406-6712-4508-9392-11e9d90e1185,Fresh Pond Rd & Flushing Ave,19,592651.631,4508425.926,592651.631,4508425.926,False,229065628,compact,2,437,273.622114,2
cb443_V50_compact_r2,3,438,439,7a1ad7c0-4958-4354-91a1-11bf13348abd,56 Dr & 59 St,19,592176.940,4508695.351,592176.940,4508695.351,False,229065628,compact,2,437,335.874073,3
cb443_V50_compact_r2,4,433,434,9dde927d-9984-4f97-bcd0-fbcb59e6ca66,57 Rd & 59 St,19,592178.221,4508524.390,592178.221,4508524.390,False,229065628,compact,2,437,359.611989,4
cb443_V50_compact_r2,5,427,428,528ed1e0-75aa-45be-8afe-c3f1c950782f,Grand Ave & 58 Ave,20,592309.524,4508358.376,592309.524,4508358.376,False,229065628,compact,2,437,363.277874,5
cb443_V50_compact_r2,6,423,424,d319629d-63cf-4765-9f69-5569f35d6469,60 Pl & Flushing Ave,19,592433.509,4508237.793,592433.509,4508237.793,False,229065628,compact,2,437,429.904722,6
cb443_V50_compact_r2,7,432,433,b9b58379-b29a-4fa8-ba72-c647728e1686,57 Rd & 58 St,21,591873.528,4508505.065,591873.528,4508505.065,False,229065628,compact,2,437,656.201075,7
cb443_V50_compact_r2,8,413,414,ff745407-c087-4c0d-a965-98baf078f292,63 St & 59 Dr,23,592797.160,4508069.136,592797.160,4508069.136,False,229065628,compact,2,437,657.092214,8
cb443_V50_compact_r2,9,439,440,a37bd0e0-d1e9-4302-9ff7-286e415aff1c,58 St & 56 Dr,19,591846.507,4508709.015,591846.507,4508709.015,False,229065628,compact,2,437,666.267531,9
cb443_V50_compact_r2,10,412,413,06e5447e-35b8-45cb-b3bb-937791a6f8ae,59 St & 59 Rd,21,592191.765,4508015.903,592191.765,4508015.903,False,229065628,compact,2,437,719.461189,10
cb443_V50_compact_r2,11,406,407,ca5cc034-a95d-446e-8314-6691589886b1,60 Ave & Fresh Pond Rd,19,592739.966,4507914.097,592739.966,4507914.097,False,229065628,compact,2,437,780.873553,11
cb443_V50_compact_r2,12,421,422,1202a491-9f76-4609-9b5c-eb7723ab5b45,57 St & Grand Ave,19,591856.731,4508156.241,591856.731,4508156.241,False,229065628,compact,2,437,826.148676,12
cb443_V50_compact_r2,13,400,401,956de8aa-9e06-4efb-8eb0-35fe9b274a48,60 St & 60 Rd,19,592400.666,4507797.986,592400.666,4507797.986,False,229065628,compact,2,437,869.696324,13
cb443_V50_compact_r2,14,418,419,b62bcd96-c2db-447c-bdd5-d3c18f174858,Grand Ave & 55 St,19,591699.245,4508117.655,591699.245,4508117.655,False,229065628,compact,2,437,976.637398,14
cb443_V50_compact_r2,15,395,396,a68acb0c-4244-416a-bf59-ca55d3120cdd,56 St & Arnold Ave,21,592149.921,4507674.703,592149.921,4507674.703,False,229065628,compact,2,437,1049.994154,15
cb443_V50_compact_r2,16,393,394,1879859065051787718,Fresh Pond Rd & Eliot Ave,20,592828.760,4507636.536,592828.760,4507636.536,False,229065628,compact,2,437,1072.276198,16
cb443_V50_compact_r2,17,390,391,e6f3c665-0c87-4f34-a5e8-69baeed7b7bf,Eliot Ave & 60 Ln,22,592658.847,4507577.789,592658.847,4507577.789,False,229065628,compact,2,437,1092.908117,17
cb443_V50_compact_r2,18,386,387,febf420f-bbec-4044-a3af-69959e018ccb,Amory Ct & Metropolitan Ave,21,592095.006,4507470.847,592095.006,4507470.847,False,229065628,compact,2,437,1260.437809,18
cb443_V50_compact_r2,19,410,411,bf093f72-1d8d-44ae-91b5-e36958a27976,Page Pl & Grand Ave,21,591370.236,4508013.673,591370.236,4508013.673,False,229065628,compact,2,437,1311.474136,19
cb443_V50_compact_r2,20,374,375,1797078913880883846,60 Pl & Bleecker St,19,592661.940,4507262.519,592661.940,4507262.519,False,229065628,compact,2,437,1406.256176,20
cb443_V50_compact_r2,21,373,374,9a37d8a1-990b-484c-9603-262dbd1165cc,Bleecker St & Forest Ave,19,592472.394,4507219.075,592472.394,4507219.075,False,229065628,compact,2,437,1442.095304,21
cb443_V50_compact_r2,22,371,372,3bf91ca1-14fd-4e51-858e-36a203f1af2a,Grove St & Fresh Pond Rd,19,592954.404,4507182.909,592954.404,4507182.909,False,229065628,compact,2,437,1542.828364,22
