20 3 [30, 30, 30]
capacities = [100000, 38, 26, 45, 29, 26, 38, 25, 35, 36, 32, 25, 47, 35, 40, 47, 47, 36, 40, 24, 28]
initial     = [50000, 29, 22, 18, 24, 0, 3, 21, 14, 19, 2, 7, 40, 28, 5, 23, 10, 22, 25, 11, 13]
target      = [0, 36, 11, 7, 20, 6, 19, 20, 17, 12, 10, 9, 31, 15, 3, 44, 3, 13, 9, 9, 16]
weights    = [0.000000, 0.129167, 0.457143, 0.689796, 0.131429, 0.457143, 0.392857, 0.070357, 0.121849, 0.287500, 0.375714, 0.140476, 0.168203, 0.402857, 0.321429, 0.244318, 1.000000, 0.331868, 0.773810, 0.140476, 0.126339]
min_ratio  = [0.0000, 0.5639, 0.7000, 0.7000, 0.7000, 0.0000, 0.1105, 0.7000, 0.5765, 0.7000, 0.1400, 0.5444, 0.7000, 0.7000, 0.7000, 0.3659, 0.7000, 0.7000, 0.7000, 0.7000, 0.5687]
points = [(584400.000, 4511800.000), (584340.600, 4512289.621), (584552.920, 4511583.371), (584173.564, 4511463.952), (584647.489, 4511752.006), (584288.924, 4512290.839), (584563.749, 4511593.118), (584143.716, 4511546.692), (584664.639, 4511843.503), (584373.945, 4512193.189), (584486.446, 4511673.589), (584145.225, 4511474.575), (584701.189, 4511809.501), (584369.355, 4512248.448), (584535.772, 4511599.698), (584133.645, 4511560.576), (584709.872, 4511767.190), (584313.916, 4512276.633), (584528.658, 4511590.329), (584081.640, 4511496.969), (584660.536, 4511796.313)]
distances = [
{0.0000, 493.2111, 265.1656, 405.2178, 252.0996, 503.2500, 263.8443, 360.3426, 268.1913, 394.0516, 153.1424, 413.2938, 301.3391, 449.4940, 241.9810, 358.1458, 311.6040, 484.3445, 245.9970, 439.5231, 260.5617}
{493.2111, 0.0000, 737.4750, 842.3957, 619.0405, 51.6900, 731.3764, 768.5751, 551.3824, 102.0341, 633.0612, 838.1356, 600.4499, 50.2201, 716.9975, 757.8498, 639.7625, 29.6773, 724.1370, 833.8807, 587.9722}
{265.1656, 737.4750, 0.0000, 397.7080, 193.3417, 755.1191, 14.5703, 410.8447, 283.1082, 635.5399, 112.0633, 421.9620, 270.4046, 689.9450, 23.6779, 419.8936, 241.7093, 733.3047, 25.2405, 479.1345, 238.5910}
{405.2178, 842.3957, 397.7080, 0.0000, 554.5986, 834.8952, 411.0090, 87.9589, 620.6562, 756.2668, 376.6198, 30.2653, 630.7077, 808.5594, 386.8098, 104.5457, 616.0999, 824.7116, 376.9120, 97.6739, 589.5805}
{252.0996, 619.0405, 193.3417, 554.5986, 0.0000, 647.2324, 179.6036, 544.0048, 93.0913, 519.1046, 179.1204, 573.7918, 78.6729, 569.0463, 188.8864, 548.3431, 64.2042, 621.6953, 200.6490, 620.6676, 46.1886}
{503.2500, 51.6900, 755.1191, 834.8952, 647.2324, 0.0000, 749.8950, 758.1825, 584.1839, 129.4754, 648.0833, 828.8159, 633.7576, 90.9179, 733.8998, 746.5887, 671.8668, 28.7467, 740.3954, 820.4849, 618.5874}
{263.8443, 731.3764, 14.5703, 411.0090, 179.6036, 749.8950, 0.0000, 422.5915, 269.9471, 629.3734, 111.5857, 434.9889, 256.3417, 683.5540, 28.7404, 431.3331, 227.2722, 727.7424, 35.2022, 491.6033, 225.0683}
{360.3426, 768.5751, 410.8447, 87.9589, 544.0048, 758.1825, 422.5915, 0.0000, 599.5487, 686.2687, 365.4678, 72.1320, 616.3160, 737.1400, 395.6235, 17.1523, 607.5789, 749.5217, 387.4074, 79.5341, 573.9457}
{268.1913, 551.3824, 283.1082, 620.6562, 93.0913, 584.1839, 269.9471, 599.5487, 0.0000, 454.7348, 246.2193, 637.1025, 49.9206, 501.1718, 275.7672, 601.6662, 88.7115, 557.3226, 287.3814, 678.2138, 47.3682}
{394.0516, 102.0341, 635.5399, 756.2668, 519.1046, 129.4754, 629.3734, 686.2687, 454.7348, 0.0000, 531.6399, 754.1346, 504.2875, 55.4491, 615.1581, 676.7147, 542.5151, 102.7927, 622.3954, 755.0921, 489.5354}
{153.1424, 633.0612, 112.0633, 376.6198, 179.1204, 648.0833, 111.5857, 365.4678, 246.2193, 531.6399, 0.0000, 395.0167, 254.1395, 586.6628, 88.8421, 370.4588, 242.2403, 627.2390, 93.3488, 441.6582, 212.9990}
{413.2938, 838.1356, 421.9620, 30.2653, 573.7918, 828.8159, 434.9889, 72.1320, 637.1025, 754.1346, 395.0167, 0.0000, 649.0545, 805.6759, 410.1015, 86.7772, 635.9636, 819.6057, 400.5246, 67.4128, 607.5037}
{301.3391, 600.4499, 270.4046, 630.7077, 78.6729, 633.7576, 256.3417, 616.3160, 49.9206, 504.2875, 254.1395, 649.0545, 0.0000, 550.2624, 267.1700, 619.7332, 43.1927, 606.7894, 278.9323, 693.9143, 42.7391}
{449.4940, 50.2201, 689.9450, 808.5594, 569.0463, 90.9179, 683.5540, 737.1400, 501.1718, 55.4491, 586.6628, 805.6759, 550.2624, 0.0000, 669.7543, 727.1358, 589.5432, 62.1925, 677.1244, 804.6740, 537.7844}
{241.9810, 716.9975, 23.6779, 386.8098, 188.8864, 733.8998, 28.7404, 395.6235, 275.7672, 615.1581, 88.8421, 410.1015, 267.1700, 669.7543, 0.0000, 404.0253, 241.5864, 712.3628, 11.7641, 465.6063, 232.8589}
{358.1458, 757.8498, 419.8936, 104.5457, 548.3431, 746.5887, 431.3331, 17.1523, 601.6662, 676.7147, 370.4588, 86.7772, 619.7332, 727.1358, 404.0253, 0.0000, 612.1485, 738.4000, 396.1311, 82.1609, 577.2218}
{311.6040, 639.7625, 241.7093, 616.0999, 64.2042, 671.8668, 227.2722, 607.5789, 88.7115, 542.5151, 242.2403, 635.9636, 43.1927, 589.5432, 241.5864, 612.1485, 0.0000, 645.2237, 253.2156, 683.8816, 57.2908}
{484.3445, 29.6773, 733.3047, 824.7116, 621.6953, 28.7467, 727.7424, 749.5217, 557.3226, 102.7927, 627.2390, 819.6057, 606.7894, 62.1925, 712.3628, 738.4000, 645.2237, 0.0000, 719.1152, 813.5278, 592.3280}
{245.9970, 724.1370, 25.2405, 376.9120, 200.6490, 740.3954, 35.2022, 387.4074, 287.3814, 622.3954, 93.3488, 400.5246, 278.9323, 677.1244, 11.7641, 396.1311, 253.2156, 719.1152, 0.0000, 456.6627, 244.5835}
{439.5231, 833.8807, 479.1345, 97.6739, 620.6676, 820.4849, 491.6033, 79.5341, 678.2138, 755.0921, 441.6582, 67.4128, 693.9143, 804.6740, 465.6063, 82.1609, 683.8816, 813.5278, 456.6627, 0.0000, 651.7106}
{260.5617, 587.9722, 238.5910, 589.5805, 46.1886, 618.5874, 225.0683, 573.9457, 47.3682, 489.5354, 212.9990, 607.5037, 42.7391, 537.7844, 232.8589, 577.2218, 57.2908, 592.3280, 244.5835, 651.7106, 0.0000}
]
