20 3 [30, 30, 30]
capacities = [100000, 41, 47, 24, 32, 40, 40, 41, 31, 43, 36, 49, 44, 37, 29, 30, 48, 30, 50, 37, 29]
initial     = [50000, 39, 9, 6, 27, 9, 34, 41, 28, 5, 32, 9, 5, 0, 3, 5, 41, 1, 8, 31, 4]
target      = [0, 2, 44, 23, 7, 34, 10, 12, 7, 36, 8, 46, 43, 29, 20, 29, 16, 21, 40, 2, 22]
weights    = [0.000000, 1.000000, 0.090848, 0.087955, 0.196718, 0.087758, 0.173243, 0.174099, 0.204054, 0.094219, 0.204054, 0.091304, 0.095380, 0.101351, 0.093649, 0.092498, 0.130236, 0.098906, 0.091081, 0.794595, 0.092015]
min_ratio  = [0.0000, 0.7000, 0.1432, 0.1826, 0.7000, 0.1853, 0.7000, 0.7000, 0.7000, 0.0972, 0.7000, 0.1370, 0.0814, 0.0000, 0.1050, 0.1207, 0.7000, 0.0333, 0.1400, 0.7000, 0.1273]
points = [(584400.000, 4511800.000), (584035.690, 4511430.044), (584782.215, 4511753.092), (584326.539, 4512254.769), (584141.819, 4511479.523), (584697.544, 4511826.014), (584278.156, 4512171.003), (584038.757, 4511461.138), (584647.919, 4511804.019), (584370.882, 4512183.456), (584073.302, 4511547.990), (584663.105, 4511809.682), (584396.351, 4512170.204), (584061.027, 4511440.814), (584740.100, 4511715.861), (584390.088, 4512175.935), (584159.325, 4511465.133), (584708.414, 4511756.213), (584267.284, 4512241.977), (584116.270, 4511543.028), (584699.033, 4511768.129)]
distances = [
{0.0000, 519.2199, 385.0822, 460.6643, 411.5371, 298.6789, 390.4986, 495.3020, 247.9515, 384.5600, 412.6029, 263.2828, 370.2217, 493.8796, 350.3535, 376.0660, 412.3836, 311.5063, 461.4729, 382.8023, 300.7263}
{519.2199, 0.0000, 813.4241, 874.5088, 117.0963, 771.2605, 779.6219, 31.2454, 717.4128, 824.6112, 123.7976, 733.3311, 823.3549, 27.5310, 760.1876, 825.8039, 128.5179, 747.6250, 844.3170, 138.7749, 744.5298}
{385.0822, 813.4241, 0.0000, 677.7317, 696.3808, 111.7441, 654.7708, 798.7282, 143.6274, 595.3217, 737.9869, 131.8697, 568.2191, 785.8937, 56.2116, 576.6802, 686.2300, 73.8670, 710.0439, 698.2904, 84.5300}
{460.6643, 874.5088, 677.7317, 0.0000, 796.9493, 566.9882, 96.7355, 844.1973, 553.5894, 83.9753, 750.7776, 558.0133, 109.6587, 856.1655, 679.3047, 101.2581, 807.1467, 628.0018, 60.6206, 742.1518, 612.8381}
{411.5371, 117.0963, 696.3808, 796.9493, 0.0000, 654.8939, 704.7921, 104.6894, 601.1940, 740.2643, 96.8622, 617.0444, 736.0884, 89.5865, 643.2698, 739.3424, 22.6612, 630.5447, 772.7076, 68.4515, 627.5190}
{298.6789, 771.2605, 111.7441, 566.9882, 654.8939, 0.0000, 543.0504, 753.0837, 54.2811, 484.2241, 683.3565, 38.1153, 457.3661, 743.9977, 118.0877, 465.8050, 648.0081, 70.6421, 598.4555, 646.4989, 57.9045}
{390.4986, 779.6219, 654.7708, 96.7355, 704.7921, 543.0504, 0.0000, 749.1461, 520.9628, 93.5584, 655.8284, 527.9566, 118.1979, 761.7875, 648.4958, 112.0405, 715.8022, 597.6389, 71.8019, 648.5059, 582.6191}
{495.3020, 31.2454, 798.7282, 844.1973, 104.6894, 753.0837, 749.1461, 0.0000, 699.0319, 795.0158, 93.4693, 715.0479, 794.1333, 30.1500, 746.1680, 796.4725, 120.6346, 731.7852, 813.5931, 112.7572, 728.1535}
{247.9515, 717.4128, 143.6274, 553.5894, 601.1940, 54.2811, 520.9628, 699.0319, 0.0000, 469.8111, 629.0755, 16.2076, 444.2725, 690.1880, 127.5506, 452.5473, 594.6152, 77.1035, 580.2506, 592.2559, 62.4556}
{384.5600, 824.6112, 595.3217, 83.9753, 740.2643, 484.2241, 93.5584, 795.0158, 469.8111, 0.0000, 701.6920, 474.4482, 28.7107, 804.6904, 595.7914, 20.6259, 748.8284, 544.4853, 118.9842, 689.1848, 529.3202}
{412.6029, 123.7976, 737.9869, 750.7776, 96.8622, 683.3565, 655.8284, 93.4693, 629.0755, 701.6920, 0.0000, 645.2526, 701.0788, 107.8757, 687.6056, 703.3274, 119.4371, 668.3744, 720.5884, 43.2537, 663.3255}
