10 1 [30]
capacities = [100000, 42, 28, 38, 36, 46, 44, 41, 28, 27, 46]
initial     = [50000, 24, 22, 23, 19, 25, 23, 15, 18, 18, 16]
target      = [0, 27, 18, 23, 22, 22, 23, 15, 18, 14, 20]
weights    = [0.000000, 0.480556, 0.811111, 0.150000, 0.555682, 0.555682, 0.150000, 0.150000, 0.150000, 1.000000, 0.745000]
min_ratio  = [0.000000, 0.577778, 0.650000, 0.650000, 0.561364, 0.650000, 0.650000, 0.650000, 0.650000, 0.650000, 0.520000]
points = [(584400.000, 4511800.000), (584062.741, 4511940.767), (584869.106, 4511635.268), (584059.987, 4511948.564), (584775.730, 4511551.609), (584068.713, 4511865.722), (584865.313, 4511613.799), (584157.581, 4512063.763), (584827.428, 4511678.399), (584174.038, 4511883.598), (584741.293, 4511665.421)]
distances = [
{0.0000, 365.4567, 497.1890, 371.0528, 450.4122, 337.7431, 501.1861, 358.2429, 444.3892, 240.9303, 366.8683}
{365.4567, 0.0000, 862.2952, 8.2698, 812.2786, 75.2815, 866.6198, 155.3146, 808.4446, 125.1208, 732.2891}
{497.1890, 862.2952, 0.0000, 867.6565, 125.3706, 832.9091, 21.8014, 830.5877, 59.9777, 738.0968, 131.3215}
{371.0528, 8.2698, 867.6565, 0.0000, 818.4507, 83.3001, 872.1345, 150.9811, 813.6063, 131.2565, 737.7992}
{450.4122, 812.2786, 125.3706, 818.4507, 0.0000, 773.6538, 109.0537, 802.7516, 136.9250, 687.2044, 118.9082}
{337.7431, 75.2815, 832.9091, 83.3001, 773.6538, 0.0000, 835.4864, 217.0657, 781.4977, 106.8310, 701.7721}
{501.1861, 866.6198, 21.8014, 872.1345, 109.0537, 835.4864, 0.0000, 838.6616, 74.8900, 742.0601, 134.3353}
{358.2429, 155.3146, 830.5877, 150.9811, 802.7516, 217.0657, 838.6616, 0.0000, 772.7877, 180.9152, 706.6795}
{444.3892, 808.4446, 59.9777, 813.6063, 136.9250, 781.4977, 74.8900, 772.7877, 0.0000, 684.8542, 87.1075}
{240.9303, 125.1208, 738.0968, 131.2565, 687.2044, 106.8310, 742.0601, 180.9152, 684.8542, 0.0000, 607.7657}
{366.8683, 732.2891, 131.3215, 737.7992, 118.9082, 701.7721, 134.3353, 706.6795, 87.1075, 607.7657, 0.0000}
]
