10 2 [20, 20]
capacities = [100000, 32, 42, 41, 47, 40, 36, 40, 33, 41, 22]
initial     = [50000, 5, 6, 23, 22, 28, 23, 18, 28, 14, 3]
target      = [0, 13, 15, 23, 22, 23, 18, 18, 21, 23, 11]
weights    = [0.000000, 0.869231, 0.851250, 0.150000, 0.150000, 0.404076, 0.474653, 0.150000, 0.539583, 0.607337, 1.000000]
min_ratio  = [0.000000, 0.250000, 0.260000, 0.650000, 0.650000, 0.650000, 0.650000, 0.650000, 0.650000, 0.395652, 0.177273]
points = [(584400.000, 4511800.000), (584857.384, 4512195.396), (583932.857, 4512068.332), (584226.628, 4511341.185), (584806.499, 4512123.798), (584043.465, 4511985.295), (584439.839, 4511498.455), (584867.027, 4512220.465), (584027.775, 4511919.960), (584302.445, 4511177.658), (584805.590, 4512124.766)]
distances = [
{0.0000, 604.5976, 538.7252, 490.4784, 519.6985, 401.8102, 304.1650, 628.4151, 391.0779, 629.9417, 519.5927}
{604.5976, 0.0000, 933.2179, 1061.8520, 87.8383, 840.5992, 812.4470, 26.8601, 874.1375, 1159.2016, 87.5852}
{538.7252, 933.2179, 0.0000, 784.2479, 875.4008, 138.3088, 762.7521, 946.4768, 176.1355, 964.3110, 874.5561}
{490.4784, 1061.8520, 784.2479, 0.0000, 974.0295, 669.6464, 264.9395, 1087.7706, 611.9831, 180.2477, 974.2673}
{519.6985, 87.8383, 875.4008, 974.0295, 0.0000, 775.5023, 724.9089, 114.0537, 804.9601, 1072.0315, 1.3276}
{401.8102, 840.5992, 138.3088, 669.6464, 775.5023, 0.0000, 627.7940, 856.4811, 67.1922, 848.1437, 774.7822}
{304.1650, 812.4470, 762.7521, 264.9395, 724.9089, 627.7940, 0.0000, 838.9208, 589.4602, 348.9816, 725.2856}
{628.4151, 26.8601, 946.4768, 1087.7706, 114.0537, 856.4811, 838.9208, 0.0000, 891.4301, 1185.8332, 113.7226}
{391.0779, 874.1375, 176.1355, 611.9831, 804.9601, 67.1922, 589.4602, 891.4301, 0.0000, 791.4897, 804.3272}
{629.9417, 1159.2016, 964.3110, 180.2477, 1072.0315, 848.1437, 348.9816, 1185.8332, 791.4897, 0.0000, 1072.4595}
{519.5927, 87.5852, 874.5561, 974.2673, 1.3276, 774.7822, 725.2856, 113.7226, 804.3272, 1072.4595, 0.0000}
]
