variant_name,time_limit_seconds,interval_id,call_index,vehicle,depth,labels_generated,labels_kept,labels_expanded,pruned_duration,pruned_load,pruned_station,pruned_support,pruned_reduced_cost,pruned_dominance,duplicate_states,operation_states_generated,operation_states_pruned,columns_generated,negative_columns_found,best_reduced_cost
baseline_v12_m1_1200,1200,12,0,aggregate,1,4,0,4,0,0,0,0,0,0,0,4,0,4,2,-0.0403237809751
baseline_v12_m1_1200,1200,12,0,aggregate,2,40,0,40,0,0,0,0,0,0,0,855,0,40,36,-0.0892702710376
baseline_v12_m1_1200,1200,12,0,aggregate,3,398,0,398,0,0,0,0,0,0,0,59714,26033,398,389,-0.0939772499613
baseline_v12_m1_1200,1200,12,0,aggregate,4,3575,0,3575,0,0,0,0,0,0,0,1063422,300050,3575,3563,-0.0936804366999
baseline_v12_m1_1200,1200,12,0,aggregate,5,28598,0,28598,0,0,0,0,0,0,0,11404257,2196961,28598,28592,-0.091371919262
baseline_v12_m1_1200,1200,12,0,aggregate,6,200184,0,200184,0,0,0,0,0,0,0,87323657,12498172,200184,200184,-0.0874365808021
baseline_v12_m1_1200,1200,12,0,aggregate,7,1201103,0,1201103,0,0,0,0,0,0,0,498004273,57081891,1200993,1200993,-0.083390209209
baseline_v12_m1_1200,1200,12,0,aggregate,8,6005509,0,6005509,3,0,0,0,0,0,0,2080918267,203986674,5986530,5986222,-0.0803113643217
baseline_v12_m1_1200,1200,12,0,aggregate,9,24016658,0,24016658,5377,0,0,0,0,0,0,5969855910,535889393,22093375,22092827,-0.078188397993
baseline_v12_m1_1200,1200,12,0,aggregate,10,71674371,0,71674371,375601,0,0,0,0,0,0,10358523388,927243312,49667211,49634690,-0.0707025636662
baseline_v12_m1_1200,1200,12,0,aggregate,11,136636022,0,136636022,6712719,0,0,0,0,0,0,9024532454,862293858,29491655,29488183,-0.0632230141309
baseline_v12_m1_1200,1200,12,0,aggregate,12,107774046,0,107774046,28861976,0,0,0,0,0,0,2810571237,285448546,6101663,6084007,-0.0541224918127
