variant_name,time_limit_seconds,interval_id,call_index,vehicle,depth,labels_generated,labels_kept,labels_expanded,pruned_duration,pruned_load,pruned_station,pruned_support,pruned_reduced_cost,pruned_dominance,duplicate_states,operation_states_generated,operation_states_pruned,columns_generated,negative_columns_found,best_reduced_cost
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,-0.316885599892
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,2,1,0,1,0,0,0,0,0,0,0,22,0,1,1,-0.205370606293
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,3,1,0,1,0,0,0,0,0,0,0,187,0,1,0,0.122527677806
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,4,1,0,1,0,0,0,0,0,0,0,189,0,1,0,0.532447491942
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,5,15,0,15,0,0,0,0,0,0,0,2919,0,15,0,0.533331728708
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,6,213,0,213,0,0,0,0,0,0,0,29440,0,210,0,0.535967445137
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,7,2914,0,2914,62,0,0,0,0,0,0,222608,0,1820,0,0.550612655446
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,8,28054,0,28054,9825,0,0,0,0,0,0,1197165,0,10322,0,0.650649055761
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,9,185163,0,185163,151481,0,0,0,0,0,0,4723980,0,18231,0,0.805731952844
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,10,867980,0,867980,1168805,0,0,0,0,0,0,14138500,0,39199,0,0.820614444627
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,11,2965010,0,2965010,5714784,0,0,0,0,0,0,33513488,0,42389,0,0.883798960528
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,12,7610669,0,7610669,19074416,0,0,0,0,0,0,64082718,0,52646,0,1.05833598151
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,13,15464457,0,15464457,45420893,0,0,0,0,0,0,99597805,0,7000,0,1.12924515845
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,14,26589687,0,26589687,81661506,0,0,0,0,0,0,125624168,0,2128,0,1.36959156945
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,15,39892937,0,39892937,119645185,0,0,0,0,0,0,126938498,0,0,0,
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,16,49518465,0,49518465,149946220,0,0,0,0,0,0,99539025,0,0,0,
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,17,45261215,0,45261215,152812645,0,0,0,0,0,0,57059622,0,0,0,
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,18,26917772,0,26917772,108865873,0,0,0,0,0,0,21473675,0,0,0,
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,19,9148550,0,9148550,44686994,0,0,0,0,0,0,4669909,0,0,0,
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,20,1338908,0,1338908,7809642,0,0,0,0,0,0,416161,0,0,0,
