variant_name,time_limit_seconds,interval_id,call_index,vehicle,depth,operation_states_generated,operation_states_pruned
baseline_300_v12_m2_forced,300,7,0,aggregate,1,2,0
baseline_300_v12_m2_forced,300,7,0,aggregate,2,317,0
baseline_300_v12_m2_forced,300,7,0,aggregate,3,8865,18482
baseline_300_v12_m2_forced,300,7,0,aggregate,4,221395,249631
baseline_300_v12_m2_forced,300,7,0,aggregate,5,2947643,1852352
baseline_300_v12_m2_forced,300,7,0,aggregate,6,24578924,10208723
baseline_300_v12_m2_forced,300,7,0,aggregate,7,139832499,43863999
baseline_300_v12_m2_forced,300,7,0,aggregate,8,538889015,138866554
baseline_300_v12_m2_forced,300,7,0,aggregate,9,1308705206,294888799
baseline_300_v12_m2_forced,300,7,0,aggregate,10,1786972929,372244907
baseline_300_v12_m2_forced,300,7,0,aggregate,11,1198814332,234639942
baseline_300_v12_m2_forced,300,7,0,aggregate,12,296369330,53156444
