elapsed_seconds,event,algorithm_preset,column_tracks,rmp_column_space,relaxed_columns_in_rmp,pricing_engine,large_instance_mode,station_set_backend,incumbent_UB,global_LB,gap,unresolved_intervals,global_min_lb_interval_id,global_min_lb_interval_range,global_min_lb_source,open_nodes,route_pool_columns_after_dominance,route_pool_best_incumbent,focused_intensification_passes,last_LB_improvement_time,last_UB_improvement_time,bound_time_seconds,master_time_seconds,pricing_time_seconds,columns,nodes
0.0002272,initial_empty_incumbent,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.706290748178,0,1,0,-1,"","seed_initial",0,0,0,0,0.0002272,0.0002272,0,0,0,0,0
0.0004727,initial_after_seed,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.436483545114,0,1,3,0,"[0,0.145495]",gamma_floor,0,1,0.436483545114,0,0.0004727,0.0004727,0,0,0,0,0
1.1491843,interval_relaxation_0,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.436483545114,0.145494515038,0.666666666667,2,1,"[0.145495,0.290989]",gamma_floor,0,1,0.436483545114,0,1.1491843,0.0004727,1.1486038,0,0,0,0
23.5170305,interval_relaxation_1,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.436483545114,0.27595994511,0.367765524728,2,1,"[0.145495,0.290989]",inventory_route_gini_relaxation,0,1,0.436483545114,0,23.5170305,0.0004727,23.5163894,0,0,0,0
28.8837374,interval_relaxation_2,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.436483545114,0.27595994511,0.367765524728,2,1,"[0.145495,0.290989]",inventory_route_gini_relaxation,1,1,0.436483545114,0,23.5170305,0.0004727,28.8830566,0,0,0,0
32.6577843,adaptive_split_child_3,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.436483545114,0.38792472402,0.111250061171,1,2,"[0.290989,0.436484]",inventory_route_gini_relaxation,1,1,0.436483545114,0,32.6577843,0.0004727,32.6570401,0,0,0,0
45.6753137,adaptive_split_child_4,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.436483545114,0.34153462311,0.217531503918,2,4,"[0.218242,0.290989]",inventory_route_gini_relaxation,2,1,0.436483545114,0,32.6577843,0.0004727,45.6745074,0,0,0,0
49.4234734,adaptive_split_child_5,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.436483545114,0.38792472402,0.111250061171,1,2,"[0.290989,0.436484]",inventory_route_gini_relaxation,1,1,0.436483545114,0,32.6577843,0.0004727,49.4226263,0,0,0,0
52.3342157,adaptive_split_child_6,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.436483545114,0.37500160616,0.140857403773,2,6,"[0.254615,0.290989]",inventory_route_gini_relaxation,2,1,0.436483545114,0,32.6577843,0.0004727,52.333334,0,0,0,0
54.6542909,adaptive_split_child_7,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.436483545114,0.37823520296,0.133449113503,2,7,"[0.254615,0.272802]",inventory_route_gini_relaxation,2,1,0.436483545114,0,32.6577843,0.0004727,54.653369,0,0,0,0
56.4548761,adaptive_split_child_8,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.436483545114,0.37823520296,0.133449113503,3,7,"[0.254615,0.272802]",inventory_route_gini_relaxation,3,1,0.436483545114,0,32.6577843,0.0004727,56.4539172,0,0,0,0
57.9236337,adaptive_split_child_9,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.436483545114,0.37823520296,0.133449113503,3,9,"[0.254615,0.263709]",adaptive_split_inherited_inventory_route_gini_relaxation,3,1,0.436483545114,0,32.6577843,0.0004727,57.9226347,0,0,0,0
59.0806373,adaptive_split_child_10,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.436483545114,0.37823520296,0.133449113503,4,9,"[0.254615,0.263709]",adaptive_split_inherited_inventory_route_gini_relaxation,4,1,0.436483545114,0,32.6577843,0.0004727,59.079599,0,0,0,0
60.0532691,adaptive_split_child_11,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.436483545114,0.37823520296,0.133449113503,4,10,"[0.263709,0.272802]",adaptive_split_inherited_inventory_route_gini_relaxation,4,1,0.436483545114,0,32.6577843,0.0004727,60.0521639,0,0,0,0
60.0533581,adaptive_split_child_12,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.436483545114,0.37823520296,0.133449113503,5,10,"[0.263709,0.272802]",adaptive_split_inherited_inventory_route_gini_relaxation,5,1,0.436483545114,0,32.6577843,0.0004727,60.0521639,0,0,0,0
60.0534305,route_pool_before_final_summary,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.436483545114,0.37823520296,0.133449113503,5,10,"[0.263709,0.272802]",adaptive_split_inherited_inventory_route_gini_relaxation,5,1,0.436483545114,0,32.6577843,0.0004727,60.0521639,0,0,0,0
60.0535188,final_summary,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.436483545114,0.37823520296,0.133449113503,5,10,"[0.263709,0.272802]",adaptive_split_inherited_inventory_route_gini_relaxation,5,1,0.436483545114,0,32.6577843,0.0004727,60.0521639,0,0,0,0
