leaf_key,mechanism,action,oracle_action,oracle_regret,false_split,false_retain
round39_small_medium_V12_M3_Q30_slot08_seed1343324363::L0,old-c6,split,retain,1.1003934223937999,True,False
round39_small_medium_V12_M3_Q30_slot08_seed1343324363::L0,d-r43,retain,retain,1,False,False
round39_small_medium_V12_M3_Q30_slot08_seed1343324363::L0,veto-f,retain,retain,1,False,False
round39_small_medium_V12_M3_Q30_slot08_seed1343324363::L0,f,retain,retain,1,False,False
round39_small_medium_V12_M3_Q30_slot08_seed1343324363::L0,f-mroot,retain,retain,1,False,False
round39_small_medium_V12_M3_Q30_slot08_seed1343324363::L0,h,retain,retain,1,False,False
round39_small_medium_V12_M3_Q30_slot08_seed1343324363::L0,mroot,retain,retain,1,False,False
round39_small_medium_V12_M3_Q30_slot08_seed1343324363::L0,gamma-positive,retain,retain,1,False,False
round39_small_medium_V12_M3_Q30_slot08_seed1343324363::L0,gamma-threshold,retain,retain,1,False,False
round39_small_medium_V12_M3_Q30_slot08_seed1343324363::L0,gamma-veto,retain,retain,1,False,False
round39_small_medium_V12_M3_Q30_slot08_seed1343324363::L0,decisive-gamma,retain,retain,1,False,False
round39_small_medium_V12_M3_Q30_slot08_seed1343324363::L0,no-adaptive,retain,retain,1,False,False
round39_small_medium_V12_M3_Q30_slot08_seed1343324363::L1,old-c6,split,retain,1.0019508412474252,True,False
round39_small_medium_V12_M3_Q30_slot08_seed1343324363::L1,d-r43,retain,retain,1,False,False
round39_small_medium_V12_M3_Q30_slot08_seed1343324363::L1,veto-f,retain,retain,1,False,False
round39_small_medium_V12_M3_Q30_slot08_seed1343324363::L1,f,retain,retain,1,False,False
round39_small_medium_V12_M3_Q30_slot08_seed1343324363::L1,f-mroot,retain,retain,1,False,False
round39_small_medium_V12_M3_Q30_slot08_seed1343324363::L1,h,retain,retain,1,False,False
round39_small_medium_V12_M3_Q30_slot08_seed1343324363::L1,mroot,retain,retain,1,False,False
round39_small_medium_V12_M3_Q30_slot08_seed1343324363::L1,gamma-positive,split,retain,1.0019508412474252,True,False
round39_small_medium_V12_M3_Q30_slot08_seed1343324363::L1,gamma-threshold,retain,retain,1,False,False
round39_small_medium_V12_M3_Q30_slot08_seed1343324363::L1,gamma-veto,retain,retain,1,False,False
round39_small_medium_V12_M3_Q30_slot08_seed1343324363::L1,decisive-gamma,retain,retain,1,False,False
round39_small_medium_V12_M3_Q30_slot08_seed1343324363::L1,no-adaptive,retain,retain,1,False,False
round39_small_medium_V12_M3_Q30_slot08_seed1343324363::L2,old-c6,split,retain,3.2624508624195374,True,False
round39_small_medium_V12_M3_Q30_slot08_seed1343324363::L2,d-r43,retain,retain,1,False,False
round39_small_medium_V12_M3_Q30_slot08_seed1343324363::L2,veto-f,retain,retain,1,False,False
round39_small_medium_V12_M3_Q30_slot08_seed1343324363::L2,f,retain,retain,1,False,False
