sequence,process_seconds,event,status,nominal_deadline_remaining_seconds,work_deadline_remaining_seconds,detail
0,0,"process_entry","start",299.99910469999998,296.99910469999998,"absolute process deadline origin"
1,0.0010826,"instance_parsing_start","start",299.9989175,296.9989175,"reference/citibike443-regional-v1/instances/V20/cb443_V20_regional_r2_balanced_M02_Q20.txt"
2,0.002003,"instance_parsing_complete","complete",299.99799710000002,296.997997,"instance=cb443_V20_regional_r2_balanced_M02_Q20.txt"
3,0.0022168999999999999,"initial_model_data_preprocessing_complete","complete",299.99778320000001,296.99778320000001,"instance data initialized; empty-route incumbent independently verified"
4,0.0026762000000000001,"hga_start","start",299.99732390000003,296.9973238,"label=primary_hga;native_generation_stagnation_hga"
5,2.1376127,"round65_verified_zero","certified",297.86238739999999,294.86238739999999,"complete_cached_decode_independently_verified;F_ge_0"
6,2.137756,"hga_generation_loop_complete","complete",297.8622441,294.8622441,"label=primary_hga;generations=57;no_improve=0"
7,2.1388121,"improving_gini_range_construction_complete","complete",297.86118800000003,294.8611879,"lower=0.000000;upper=0.000000;complete=true"
8,2.1390608000000002,"exact_phase_start","start",297.86093920000002,294.86093920000002,"arm=round31-nonblocking-native-bound"
9,2.1392313000000001,"connectivity_flow_preparation_complete","complete",297.86076869999999,294.86076869999999,"variant=round20-current"
10,2.1463150999999998,"gurobi_environment_creation","complete",297.85368519999997,294.85368499999998,"fixed_interval_backend"
11,2.1464596,"external_backend_creation","complete",297.85354050000001,294.85354039999999,"backend=gurobi;arm=C6-CANDIDATE"
12,2.1467627999999999,"external_artifact_directory_creation","complete",297.85323729999999,294.85323720000002,"E:\codes\ExactEBRP-round65\results\gf_budgeted_proof_round65\local_raw\reliability_v1\C7\reliable\external"
13,2.1478256999999998,"first_tree_ledger_opened","complete",297.85217460000001,294.85217440000002,"E:\codes\ExactEBRP-round65\results\gf_budgeted_proof_round65\local_raw\reliability_v1\C7\reliable\external\paper_tree_events.csv"
14,2.1503074,"final_result_serialization_start","start",297.84969269999999,294.84969260000003,""
15,2.1513843000000001,"final_result_serialization_complete","complete",297.8486158,294.8486158,""
16,2.1514592000000001,"process_exit","complete",297.84854089999999,294.84854089999999,"rc=0"
