number,id,leaf,event,core_observed
13,C6,L0,incomplete_LP_no_repeat,True
14,C6,L0,incomplete_LP_no_repeat,True
15,C6,L0,incomplete_LP_no_repeat,True
19,C6,L0,incomplete_LP_no_repeat,True
20,C6,L0,unknown_parent_retained,True
20,C6,L0.0,incomplete_LP_no_repeat,True
21,C6,L0,unknown_parent_retained,True
21,C6,L0.0,incomplete_LP_no_repeat,True
22,C6,L0,unknown_parent_retained,True
22,C6,L0.0,incomplete_LP_no_repeat,True
23,C6,L0,unknown_parent_retained,True
23,C6,L0.0,incomplete_LP_no_repeat,True
29,D7,L0,unknown_parent_retained,True
33,C6,L0.0.0,incomplete_LP_no_repeat,False
34,C6,L0,incomplete_LP_no_repeat,True
35,C6,L0,unknown_parent_retained,True
35,C6,L0.0,incomplete_LP_no_repeat,True
38,D7,L0.0,unknown_parent_retained,True
38,D7,L0.0.0,incomplete_LP_no_repeat,True
