run_id,instance,arm,optimize_count,lp_optimize_count,partial_mip_optimize_count,terminal_mip_optimize_count,presolve_executions,root_executions,splits,declined_splits,lp_cutoff_prunes,partial_bound_events,partial_targets_reached,open_leaves,closed_leaves,total_work,lp_work,partial_mip_work,terminal_mip_work,lifecycle_complete
stage1__V12_M1__c0_diag__300s,V12_M1,C0-DIAG,4,0,0,0,4,4,0,0,0,0,0,0,4,34.78137617640885,0,0,0,True
stage1__V12_M1__c4_candidate__300s,V12_M1,C4-CANDIDATE,233,164,0,69,233,69,77,3,0,0,0,0,81,172.85109000753008,30.732874329038196,0,142.1182156784919,True
stage1__V12_M1__c5_candidate__300s,V12_M1,C5-CANDIDATE,94,76,7,11,94,18,22,11,0,11,4,0,26,69.36952658211288,13.984081226719626,2.945610506667004,52.43983484872625,True
stage1__V12_M2__c0_diag__300s,V12_M2,C0-DIAG,8,0,0,0,8,5,1,0,0,0,0,0,5,363.6095511843065,0,0,0,True
stage1__V12_M2__c4_candidate__300s,V12_M2,C4-CANDIDATE,160,112,0,48,160,48,54,0,0,0,0,4,54,486.9899305012582,30.873837965497756,0,456.11609253576046,True
stage1__V12_M2__c5_candidate__300s,V12_M2,C5-CANDIDATE,150,100,17,33,150,50,37,10,0,34,16,0,41,381.21074053776647,27.740472615282076,17.45737720302371,336.01289071946064,True
stage1__high_imbalance_seed3202__c0_diag__300s,high_imbalance_seed3202,C0-DIAG,11,0,0,0,11,8,2,0,0,0,0,2,4,539.1726888267881,0,0,0,True
stage1__high_imbalance_seed3202__c4_candidate__300s,high_imbalance_seed3202,C4-CANDIDATE,93,68,0,25,93,25,32,0,0,0,0,9,27,576.2837950482904,45.12717780623104,0,531.1566172420594,True
stage1__high_imbalance_seed3202__c5_candidate__300s,high_imbalance_seed3202,C5-CANDIDATE,56,40,5,11,56,16,15,3,0,10,5,0,19,384.14279335048934,24.18374515156223,4.893362429394885,355.06568576953225,True
stage1__moderate_seed3302__c0_diag__300s,moderate_seed3302,C0-DIAG,9,0,0,0,9,6,1,0,0,0,0,3,2,501.9261861057847,0,0,0,True
stage1__moderate_seed3302__c4_candidate__300s,moderate_seed3302,C4-CANDIDATE,163,143,0,20,163,20,70,0,0,0,0,55,19,516.2623348131233,97.95902256806225,0,418.3033122450611,True
stage1__moderate_seed3302__c5_candidate__300s,moderate_seed3302,C5-CANDIDATE,137,107,22,8,137,30,31,7,0,68,22,28,7,546.2755917153843,86.72782077843924,58.40897436807503,401.13879656887013,True
