sequence,process_seconds,event,status,nominal_deadline_remaining_seconds,work_deadline_remaining_seconds,detail
0,0,"process_entry","start",299.99905209999997,294.99905200000001,"absolute process deadline origin"
1,0.0011444999999999999,"instance_parsing_start","start",299.99885560000001,294.99885560000001,"E:\codes\ExactEBRP\reference\regen_candidate_V12_M2_average.txt"
2,0.0019136999999999999,"instance_parsing_complete","complete",299.99808639999998,294.99808630000001,"instance=regen_candidate_V12_M2_average.txt"
3,0.0021346999999999998,"initial_model_data_preprocessing_complete","complete",299.9978653,294.9978653,"instance data initialized; empty-route incumbent independently verified"
4,0.0025051000000000001,"hga_start","start",299.99749489999999,294.99749489999999,"label=primary_hga;native_generation_stagnation_hga"
5,6.7804272000000001,"hga_generation_loop_complete","complete",293.21957320000001,288.21957300000003,"label=primary_hga;generations=2123;no_improve=2000"
6,6.7826244999999998,"hga_best_solution_extraction_start","start",293.21737569999999,288.21737560000003,"label=primary_hga"
7,6.7828558000000001,"hga_best_solution_extraction_complete","complete",293.2171444,288.21714429999997,"label=primary_hga"
8,6.7831162000000003,"hga_route_decoding_start","start",293.21688390000003,288.21688390000003,"label=primary_hga"
9,6.7835242999999998,"hga_route_decoding_complete","complete",293.216476,288.21647580000001,"label=primary_hga"
10,6.7838213999999999,"independent_hga_verification_start","start",293.21617880000002,288.2161787,"label=primary_hga"
11,6.7840660000000002,"independent_hga_verification_complete","complete",293.21593419999999,288.21593410000003,"label=primary_hga;feasible=true"
12,6.7874973000000001,"improving_gini_range_construction_complete","complete",293.21250270000002,288.21250270000002,"lower=0.000000;upper=0.718504;complete=true"
13,6.7876329999999996,"exact_phase_start","start",293.21236709999999,288.21236699999997,"arm=legacy-quanta"
14,6.7943451000000001,"gurobi_environment_creation","complete",293.20565499999998,288.20565490000001,"fixed_interval_backend"
15,184.94798750000001,"final_result_serialization_start","start",115.05201270000001,110.05201249999999,""
16,184.94912719999999,"final_result_serialization_complete","complete",115.050873,110.0508729,""
17,184.9492237,"process_exit","complete",115.0507763,110.0507763,"rc=0"
