sequence,process_seconds,event,status,nominal_deadline_remaining_seconds,work_deadline_remaining_seconds,detail
0,0,"process_entry","start",299.99920450000002,294.9992044,"absolute process deadline origin"
1,0.0009835,"instance_parsing_start","start",299.99901649999998,294.99901649999998,"E:\codes\ExactEBRP\reference\regen_candidate_V12_M2_average.txt"
2,0.0019300999999999999,"instance_parsing_complete","complete",299.99806999999998,294.99806990000002,"instance=regen_candidate_V12_M2_average.txt"
3,0.0021662000000000001,"initial_model_data_preprocessing_complete","complete",299.99783380000002,294.99783380000002,"instance data initialized; empty-route incumbent independently verified"
4,0.0026191999999999999,"hga_start","start",299.9973809,294.99738079999997,"label=primary_hga;native_generation_stagnation_hga"
5,6.7745977999999996,"hga_generation_loop_complete","complete",293.22540240000001,288.22540220000002,"label=primary_hga;generations=2123;no_improve=2000"
6,6.7764461000000002,"hga_best_solution_extraction_start","start",293.22355420000002,288.22355390000001,"label=primary_hga"
7,6.7765563000000002,"hga_best_solution_extraction_complete","complete",293.22344379999998,288.22344370000002,"label=primary_hga"
8,6.7766333999999997,"hga_route_decoding_start","start",293.22336669999999,288.22336669999999,"label=primary_hga"
9,6.7769801999999997,"hga_route_decoding_complete","complete",293.22302000000002,288.2230199,"label=primary_hga"
10,6.7770751000000002,"independent_hga_verification_start","start",293.22292499999998,288.22292499999998,"label=primary_hga"
11,6.7771540999999997,"independent_hga_verification_complete","complete",293.22284589999998,288.22284589999998,"label=primary_hga;feasible=true"
12,6.7803640999999999,"improving_gini_range_construction_complete","complete",293.21963599999998,288.21963590000001,"lower=0.000000;upper=0.718504;complete=true"
13,6.7805849,"exact_phase_start","start",293.21941520000001,288.21941509999999,"arm=round30-dual-bound-target"
14,6.7807085999999996,"connectivity_flow_preparation_complete","complete",293.2192915,288.2192915,"variant=round20-current"
15,6.7872259000000001,"gurobi_environment_creation","complete",293.21277450000002,288.21277429999998,"fixed_interval_backend"
16,6.7875996000000001,"external_backend_creation","complete",293.2124005,288.21240039999998,"backend=gurobi;arm=C5-CANDIDATE"
17,6.7881156999999996,"external_artifact_directory_creation","complete",293.21188439999997,288.21188439999997,"E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__V12_M2__c5_candidate__300s\external"
18,6.7893189999999999,"first_tree_ledger_opened","complete",293.21068120000001,288.21068100000002,"E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__V12_M2__c5_candidate__300s\external\paper_tree_events.csv"
19,6.7895871999999997,"first_external_tree_event","start",293.21041300000002,288.21041289999999,"scheduler_select_next"
20,6.7897831999999996,"root_canonical_model_construction_start","start",293.210217,288.21021689999998,"leaf=L0"
21,6.7899668000000002,"first_interval_model_build","start",293.21003330000002,288.21003330000002,"leaf=L0"
22,6.9322403000000001,"static_row_factory_preparation_complete","complete",293.06775970000001,288.06775970000001,"canonical strengthened interval row factory"
23,6.9324421000000003,"root_canonical_model_construction_complete","complete",293.06755829999997,288.06755800000002,"leaf=L0"
24,6.9327728000000004,"first_interval_model_build_complete","complete",293.06722739999998,288.06722730000001,"leaf=L0"
25,6.9328915000000002,"first_lp_optimize_launch","start",293.06710859999998,288.06710850000002,"leaf=L0"
26,228.2354746,"final_result_serialization_start","start",71.764525499999991,66.764525499999991,""
27,228.23645200000001,"final_result_serialization_complete","complete",71.763548100000008,66.763547999999986,""
28,228.23652519999999,"process_exit","complete",71.763474900000006,66.763474800000012,"rc=0"
