telemetry_seconds,event,leaf_id,gamma_L,gamma_U,status,global_lb,verified_ub,detail
0.203132,lp_complete,L0,0,0.2375,infeasible,0,1.74931,"complete_lp_relaxation"
0.609021,lp_complete,L1,0.2375,0.475,optimal,0.475,1.74931,"complete_lp_relaxation"
1.23037,atomic_split,L1,0.2375,0.475,replaced,0.475,1.74931,"complete_child_lp_infeasibility"
1.62164,lp_complete,L2,0.475,0.7125,optimal,0.7125,1.74931,"complete_lp_relaxation"
2.72835,partial_native_bound_target_reached,L2,0.475,0.7125,open,0.7125,1.74931,"backend_certified_parent_bound_requeued"
3.10887,lp_complete,L3,0.7125,0.95,infeasible,0.7125,1.74931,"complete_lp_relaxation"
3.10992,atomic_split,L2,0.475,0.7125,replaced,1.59108,1.74931,"c5_parent_native_target_reached_delayed_split"
174.885,terminal_mip_complete,L2.0,0.475,0.59375,"OPTIMAL",1.66262,1.74931,"native_terminal_mip_optimal"
175.484,atomic_split,L1.1,0.35625,0.475,replaced,1.67482,1.74931,"complete_child_lp_infeasibility"
176.103,atomic_split,L1.1.1,0.415625,0.475,replaced,1.68084,1.74931,"complete_child_lp_infeasibility"
176.828,atomic_split,L1.1.1.1,0.445312,0.475,replaced,1.68385,1.74931,"complete_child_lp_infeasibility"
177.6,atomic_split,L1.1.1.1.1,0.460156,0.475,replaced,1.68535,1.74931,"normalized_child_disjunction_gain_reaches_rho"
178.372,atomic_split,L1.1.1.1.1.1,0.467578,0.475,replaced,1.68611,1.74931,"normalized_child_disjunction_gain_reaches_rho"
179.61,partial_native_bound_target_reached,L1.1.1.1.1.1.1,0.471289,0.475,open,1.68721,1.74931,"backend_certified_parent_bound_requeued"
182.356,terminal_mip_complete,L2.1,0.59375,0.7125,"INFEASIBLE",1.6977,1.74931,"native_terminal_mip_infeasible"
182.357,atomic_split,L1.1.1.1.1.1.1,0.471289,0.475,replaced,1.6977,1.74931,"c5_parent_native_target_reached_delayed_split"
183.801,terminal_mip_complete,L1.1.1.1.1.1.1.1,0.473145,0.475,"INFEASIBLE",1.69827,1.74931,"native_terminal_mip_infeasible"
185.042,partial_native_bound_target_reached,L1.1.1.1.1.1.1.0,0.471289,0.473145,open,1.70961,1.74931,"backend_certified_parent_bound_requeued"
185.042,atomic_split,L1.1.1.1.1.1.1.0,0.471289,0.473145,replaced,1.70961,1.74931,"c5_parent_native_target_reached_delayed_split"
185.613,terminal_mip_complete,L1.1.1.1.1.1.1.0.0,0.471289,0.472217,"INFEASIBLE",1.70961,1.74931,"native_terminal_mip_infeasible"
186.284,terminal_mip_complete,L1.1.1.1.1.1.1.0.1,0.472217,0.473145,"INFEASIBLE",1.71092,1.74931,"native_terminal_mip_infeasible"
187.071,atomic_split,L1.1.1.1.1.1.0,0.467578,0.471289,replaced,1.71131,1.74931,"normalized_child_disjunction_gain_reaches_rho"
188.389,partial_native_bound_target_reached,L1.1.1.1.1.1.0.1,0.469434,0.471289,open,1.72242,1.74931,"backend_certified_parent_bound_requeued"
188.39,atomic_split,L1.1.1.1.1.1.0.1,0.469434,0.471289,replaced,1.72242,1.74931,"c5_parent_native_target_reached_delayed_split"
189.012,terminal_mip_complete,L1.1.1.1.1.1.0.1.0,0.469434,0.470361,"INFEASIBLE",1.72242,1.74931,"native_terminal_mip_infeasible"
189.62,terminal_mip_complete,L1.1.1.1.1.1.0.1.1,0.470361,0.471289,"INFEASIBLE",1.72569,1.74931,"native_terminal_mip_infeasible"
190.836,partial_native_bound_target_reached,L1.1.1.1.1.1.0.0,0.467578,0.469434,open,1.73674,1.74931,"backend_certified_parent_bound_requeued"
190.836,atomic_split,L1.1.1.1.1.1.0.0,0.467578,0.469434,replaced,1.73674,1.74931,"c5_parent_native_target_reached_delayed_split"
191.417,terminal_mip_complete,L1.1.1.1.1.1.0.0.0,0.467578,0.468506,"INFEASIBLE",1.73674,1.74931,"native_terminal_mip_infeasible"
192.055,terminal_mip_complete,L1.1.1.1.1.1.0.0.1,0.468506,0.469434,"INFEASIBLE",1.73901,1.74931,"native_terminal_mip_infeasible"
192.729,atomic_split,L1.1.1.1.1.0,0.460156,0.467578,replaced,1.73982,1.74931,"complete_child_lp_infeasibility"
193.459,atomic_split,L1.1.1.1.1.0.1,0.463867,0.467578,replaced,1.74023,1.74931,"complete_child_lp_infeasibility"
194.198,atomic_split,L1.1.1.1.1.0.1.1,0.465723,0.467578,replaced,1.74043,1.74931,"normalized_child_disjunction_gain_reaches_rho"
194.641,terminal_mip_complete,L1.1.1.1.1.0.1.1.1,0.46665,0.467578,"INFEASIBLE",1.74777,1.74931,"native_terminal_mip_infeasible"
195.315,terminal_mip_complete,L1.1.1.1.1.0.1.1.0,0.465723,0.46665,"INFEASIBLE",1.74931,1.74931,"native_terminal_mip_infeasible"
