sequence,process_seconds,event,status,nominal_deadline_remaining_seconds,work_deadline_remaining_seconds,detail
0,0,"process_entry","start",299.9991172,294.99911709999998,"absolute process deadline origin"
1,0.0010822,"instance_parsing_start","start",299.99891780000002,294.99891780000002,"E:\codes\ExactEBRP\reference\hard_stress\V20_M3\moderate_seed3302.txt"
2,0.0019438000000000001,"instance_parsing_complete","complete",299.99805620000001,294.99805620000001,"instance=moderate_seed3302.txt"
3,0.0021771,"initial_model_data_preprocessing_complete","complete",299.99782299999998,294.99782290000002,"instance data initialized; empty-route incumbent independently verified"
4,0.0025006999999999998,"hga_start","start",299.99749930000002,294.99749930000002,"label=primary_hga;native_generation_stagnation_hga"
5,19.9318144,"hga_generation_loop_complete","complete",280.06818579999998,275.06818570000002,"label=primary_hga;generations=2282;no_improve=2000"
6,19.934197999999999,"hga_best_solution_extraction_start","start",280.0658024,275.06580220000001,"label=primary_hga"
7,19.934452400000001,"hga_best_solution_extraction_complete","complete",280.06554770000002,275.06554770000002,"label=primary_hga"
8,19.9346821,"hga_route_decoding_start","start",280.06531799999999,275.06531790000003,"label=primary_hga"
9,19.936336000000001,"hga_route_decoding_complete","complete",280.06366409999998,275.06366400000002,"label=primary_hga"
10,19.9365652,"independent_hga_verification_start","start",280.06343500000003,275.0634349,"label=primary_hga"
11,19.936842299999999,"independent_hga_verification_complete","complete",280.06315790000002,275.0631578,"label=primary_hga;feasible=true"
12,19.9415224,"improving_gini_range_construction_complete","complete",280.05847790000001,275.05847770000003,"lower=0.000000;upper=0.195636;complete=true"
13,19.941963000000001,"exact_phase_start","start",280.0580372,275.05803709999998,"arm=round29-bound-gain-incremental"
14,19.942172899999999,"connectivity_flow_preparation_complete","complete",280.05782720000002,275.05782720000002,"variant=round20-current"
15,19.948618400000001,"gurobi_environment_creation","complete",280.05138190000002,275.05138169999998,"fixed_interval_backend"
16,19.948802799999999,"external_backend_creation","complete",280.05119739999998,275.05119730000001,"backend=gurobi;arm=C4-CANDIDATE"
17,19.949295299999999,"external_artifact_directory_creation","complete",280.05070480000001,275.05070480000001,"E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__moderate_seed3302__c4_candidate__300s\external"
18,19.949979899999999,"first_tree_ledger_opened","complete",280.05002020000001,275.05002020000001,"E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__moderate_seed3302__c4_candidate__300s\external\paper_tree_events.csv"
19,19.950106300000002,"first_external_tree_event","start",280.04989380000001,275.04989369999998,"scheduler_select_next"
20,19.950192099999999,"root_canonical_model_construction_start","start",280.04980790000002,275.04980790000002,"leaf=L0"
21,19.9502682,"first_interval_model_build","start",280.04973189999998,275.04973180000002,"leaf=L0"
22,20.0617558,"static_row_factory_preparation_complete","complete",279.93824430000001,274.93824430000001,"canonical strengthened interval row factory"
23,20.061883399999999,"root_canonical_model_construction_complete","complete",279.93811670000002,274.9381166,"leaf=L0"
24,20.062159600000001,"first_interval_model_build_complete","complete",279.93784069999998,274.93784049999999,"leaf=L0"
25,20.062311600000001,"first_lp_optimize_launch","start",279.93768840000001,274.93768840000001,"leaf=L0"
26,295.02540219999997,"final_result_serialization_start","start",4.9745978000000264,-0.025402199999973618,""
27,295.02631359999998,"final_result_serialization_complete","complete",4.9736864999999852,-0.026313599999980397,""
28,295.02652569999998,"process_exit","complete",4.9734743000000208,-0.026525699999979224,"rc=0"
