sequence,process_seconds,event,status,nominal_deadline_remaining_seconds,work_deadline_remaining_seconds,detail
0,0,"process_entry","start",299.99910030000001,294.99910019999999,"absolute process deadline origin"
1,0.0011959,"instance_parsing_start","start",299.9988042,294.9988042,"E:\codes\ExactEBRP\reference\heldout_round26\V20_M3\high_imbalance_seed5203.txt"
2,0.0020661999999999998,"instance_parsing_complete","complete",299.9979338,294.9979338,"instance=high_imbalance_seed5203.txt"
3,0.0023065,"initial_model_data_preprocessing_complete","complete",299.99769359999999,294.99769350000003,"instance data initialized; empty-route incumbent independently verified"
4,0.0026662000000000001,"hga_start","start",299.99733379999998,294.99733379999998,"label=primary_hga;native_generation_stagnation_hga"
5,14.2386544,"hga_generation_loop_complete","complete",285.76134580000002,280.76134560000003,"label=primary_hga;generations=2622;no_improve=2000"
6,14.241141799999999,"hga_best_solution_extraction_start","start",285.75885849999997,280.75885829999999,"label=primary_hga"
7,14.241390900000001,"hga_best_solution_extraction_complete","complete",285.75860940000001,280.75860920000002,"label=primary_hga"
8,14.2416122,"hga_route_decoding_start","start",285.75838800000002,280.7583879,"label=primary_hga"
9,14.2421202,"hga_route_decoding_complete","complete",285.75787989999998,280.75787989999998,"label=primary_hga"
10,14.242229099999999,"independent_hga_verification_start","start",285.75777099999999,280.75777099999999,"label=primary_hga"
11,14.242313299999999,"independent_hga_verification_complete","complete",285.75768679999999,280.75768670000002,"label=primary_hga;feasible=true"
12,14.248217,"improving_gini_range_construction_complete","complete",285.75178310000001,280.75178310000001,"lower=0.000000;upper=0.950000;complete=true"
13,14.248348500000001,"exact_phase_start","start",285.7516516,280.75165149999998,"arm=round30-dual-bound-target"
14,14.2484494,"connectivity_flow_preparation_complete","complete",285.75155059999997,280.75155059999997,"variant=round20-current"
15,14.255408299999999,"gurobi_environment_creation","complete",285.74459209999998,280.74459189999999,"fixed_interval_backend"
16,14.255747299999999,"external_backend_creation","complete",285.74425289999999,280.74425280000003,"backend=gurobi;arm=C5-CANDIDATE"
17,14.2567561,"external_artifact_directory_creation","complete",285.74324389999998,280.74324389999998,"E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage2__high_imbalance_seed5203__c5_candidate__300s\external"
18,14.258482900000001,"first_tree_ledger_opened","complete",285.74151740000002,280.74151719999998,"E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage2__high_imbalance_seed5203__c5_candidate__300s\external\paper_tree_events.csv"
19,14.258809299999999,"first_external_tree_event","start",285.74119089999999,280.74119080000003,"scheduler_select_next"
20,14.259043200000001,"root_canonical_model_construction_start","start",285.74095699999998,280.74095690000001,"leaf=L0"
21,14.2592038,"first_interval_model_build","start",285.74079640000002,280.7407963,"leaf=L0"
22,14.3650506,"static_row_factory_preparation_complete","complete",285.63494939999998,280.63494939999998,"canonical strengthened interval row factory"
23,14.3653525,"root_canonical_model_construction_complete","complete",285.63464779999998,280.63464759999999,"leaf=L0"
24,14.365512300000001,"first_interval_model_build_complete","complete",285.63448779999999,280.63448770000002,"leaf=L0"
25,14.365620099999999,"first_lp_optimize_launch","start",285.6343799,280.6343799,"leaf=L0"
26,253.62447839999999,"final_result_serialization_start","start",46.375521600000013,41.375521600000013,""
27,253.6256497,"final_result_serialization_complete","complete",46.374350399999997,41.374350300000003,""
28,253.62573839999999,"process_exit","complete",46.374261600000011,41.374261600000011,"rc=0"
