sequence,process_seconds,event,status,nominal_deadline_remaining_seconds,work_deadline_remaining_seconds,detail
0,0,"process_entry","start",299.99921469999998,294.99921469999998,"absolute process deadline origin"
1,0.00098210000000000007,"instance_parsing_start","start",299.99901799999998,294.99901790000001,"E:\codes\ExactEBRP\reference\heldout_round26\V50_M3\tight_T_seed6102.txt"
2,0.0021172000000000001,"instance_parsing_complete","complete",299.99788289999998,294.99788280000001,"instance=tight_T_seed6102.txt"
3,0.0024115999999999999,"initial_model_data_preprocessing_complete","complete",299.99758850000001,294.99758839999998,"instance data initialized; empty-route incumbent independently verified"
4,0.0028172000000000002,"hga_start","start",299.99718289999998,294.99718280000002,"label=primary_hga;native_generation_stagnation_hga"
5,90.756731900000005,"hga_generation_loop_complete","complete",209.24326840000001,204.24326819999999,"label=primary_hga;generations=2743;no_improve=2000"
6,90.759452699999997,"hga_best_solution_extraction_start","start",209.24054749999999,204.2405473,"label=primary_hga"
7,90.7595448,"hga_best_solution_extraction_complete","complete",209.24045519999999,204.24045519999999,"label=primary_hga"
8,90.759621899999999,"hga_route_decoding_start","start",209.24037809999999,204.24037809999999,"label=primary_hga"
9,90.7618382,"hga_route_decoding_complete","complete",209.23816189999999,204.2381618,"label=primary_hga"
10,90.762086699999998,"independent_hga_verification_start","start",209.23791360000001,204.2379134,"label=primary_hga"
11,90.762356199999999,"independent_hga_verification_complete","complete",209.23764389999999,204.2376438,"label=primary_hga;feasible=true"
12,90.772812799999997,"improving_gini_range_construction_complete","complete",209.2271873,204.2271872,"lower=0.000000;upper=0.685597;complete=true"
13,90.772949299999993,"exact_phase_start","start",209.22705070000001,204.22705070000001,"arm=round30-dual-bound-target"
14,90.773066499999999,"connectivity_flow_preparation_complete","complete",209.2269336,204.2269335,"variant=round20-current"
15,90.779724599999994,"gurobi_environment_creation","complete",209.22027550000001,204.22027539999999,"fixed_interval_backend"
16,90.779895100000005,"external_backend_creation","complete",209.2201049,204.2201049,"backend=gurobi;arm=C5-CANDIDATE"
17,90.780198499999997,"external_artifact_directory_creation","complete",209.21980150000002,204.21980150000002,"E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage2__tight_T_seed6102__c5_candidate__300s\external"
18,90.7809946,"first_tree_ledger_opened","complete",209.2190056,204.21900549999998,"E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage2__tight_T_seed6102__c5_candidate__300s\external\paper_tree_events.csv"
19,90.781260200000006,"first_external_tree_event","start",209.21874,204.2187399,"scheduler_select_next"
20,90.781448900000001,"root_canonical_model_construction_start","start",209.21855119999998,204.21855110000001,"leaf=L0"
21,90.781615299999999,"first_interval_model_build","start",209.2183848,204.2183847,"leaf=L0"
22,91.980766700000004,"static_row_factory_preparation_complete","complete",208.01923349999998,203.01923340000002,"canonical strengthened interval row factory"
23,91.980931200000001,"root_canonical_model_construction_complete","complete",208.01906889999998,203.01906889999998,"leaf=L0"
24,91.981088799999995,"first_interval_model_build_complete","complete",208.01891130000001,203.01891119999999,"leaf=L0"
25,91.981379500000003,"first_lp_optimize_launch","start",208.01862060000002,203.01862060000002,"leaf=L0"
26,295.08593830000001,"final_result_serialization_start","start",4.9140618999999788,-0.085938199999986864,""
27,295.08687939999999,"final_result_serialization_complete","complete",4.913120699999979,-0.086879399999986617,""
28,295.0869611,"process_exit","complete",4.9130389000000037,-0.08696109999999635,"rc=0"
