sequence,process_seconds,event,status,nominal_deadline_remaining_seconds,work_deadline_remaining_seconds,detail
0,0,"process_entry","start",3599.9991006999999,3584.9991006,"absolute process deadline origin"
1,0.0010939999999999999,"instance_parsing_start","start",3599.9989061000001,3584.9989061000001,"E:\codes\ExactEBRP\reference\heldout_round22\V20_M3\tight_T_seed4101.txt"
2,0.0019594999999999999,"instance_parsing_complete","complete",3599.9980406999998,3584.9980406,"instance=tight_T_seed4101.txt"
3,0.0021932000000000002,"initial_model_data_preprocessing_complete","complete",3599.9978068,3584.9978068,"instance data initialized; empty-route incumbent independently verified"
4,0.0025268999999999999,"hga_start","start",3599.9974731000002,3584.9974731000002,"label=primary_hga;native_generation_stagnation_hga"
5,9.9487660000000009,"hga_generation_loop_complete","complete",3590.0512342000002,3575.0512340999999,"label=primary_hga;generations=2232;no_improve=2000"
6,9.9527962999999993,"hga_best_solution_extraction_start","start",3590.0472039000001,3575.0472037,"label=primary_hga"
7,9.9529268000000002,"hga_best_solution_extraction_complete","complete",3590.0470731999999,3575.0470731999999,"label=primary_hga"
8,9.9530113999999994,"hga_route_decoding_start","start",3590.0469886000001,3575.0469886000001,"label=primary_hga"
9,9.9535160999999999,"hga_route_decoding_complete","complete",3590.046484,3575.046484,"label=primary_hga"
10,9.9536402000000006,"independent_hga_verification_start","start",3590.0463599,3575.0463598000001,"label=primary_hga"
11,9.9537516000000004,"independent_hga_verification_complete","complete",3590.0462484999998,3575.0462484999998,"label=primary_hga;feasible=true"
12,9.9609509000000003,"improving_gini_range_construction_complete","complete",3590.0390493999998,3575.0390493,"lower=0.000000;upper=0.604489;complete=true"
13,9.9612010000000009,"exact_phase_start","start",3590.0387992000001,3575.0387990999998,"arm=round31-nonblocking-native-bound"
14,9.9613409999999991,"connectivity_flow_preparation_complete","complete",3590.0386591000001,3575.0386589999998,"variant=round20-current"
15,9.9680187999999994,"gurobi_environment_creation","complete",3590.0319813999999,3575.0319811999998,"fixed_interval_backend"
16,9.9682010999999999,"external_backend_creation","complete",3590.0317989,3575.0317989,"backend=gurobi;arm=C6-CANDIDATE"
17,9.9685284999999997,"external_artifact_directory_creation","complete",3590.0314715999998,3575.0314715999998,"E:\codes\ExactEBRP\results\gf_c6_documentation_hga_round34\runs\transfer__tight_T_seed4101__c6_hga_full__3600s\external"
18,9.9691872000000004,"first_tree_ledger_opened","complete",3590.0308129,3575.0308129,"E:\codes\ExactEBRP\results\gf_c6_documentation_hga_round34\runs\transfer__tight_T_seed4101__c6_hga_full__3600s\external\paper_tree_events.csv"
19,9.9693164000000003,"first_external_tree_event","start",3590.0306836999998,3575.0306836,"scheduler_select_next"
20,9.9694113000000009,"root_canonical_model_construction_start","start",3590.0305887999998,3575.0305887999998,"leaf=L0"
21,9.9694996000000007,"first_interval_model_build","start",3590.0305005,3575.0305004000002,"leaf=L0"
22,10.0845143,"static_row_factory_preparation_complete","complete",3589.9154858000002,3574.9154856999999,"canonical strengthened interval row factory"
23,10.0846464,"root_canonical_model_construction_complete","complete",3589.9153537000002,3574.9153535999999,"leaf=L0"
24,10.0849046,"first_interval_model_build_complete","complete",3589.9150957000002,3574.9150955,"leaf=L0"
25,10.0852018,"first_lp_optimize_launch","start",3589.9147984000001,3574.9147982999998,"leaf=L0"
26,498.06362109999998,"final_result_serialization_start","start",3101.9363793000002,3086.9363789999998,""
27,498.06532429999999,"final_result_serialization_complete","complete",3101.9346759,3086.9346758000002,""
28,498.06553129999998,"process_exit","complete",3101.9344689,3086.9344688000001,"rc=0"
