leaf_id,solve_kind,native_status,optimize_return_code,global_deadline_remaining_at_launch,solver_runtime,work,nodes,simplex_iterations,barrier_iterations,memory_gb,model_sha256,in_memory_model_reused,integer_domain_restored,basis_reuse_status,native_log
L0,LP,"INFEASIBLE",0,3584.96,0.00199986,0.00482371,0,0,0,0.00212577,f6b614859c1f6e9149ce74605119127eb0946b1453a3069e23c5fced6948be51,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_c6_documentation_hga_round34\runs\v10__round33_v10_high_imbalance_M1_Q20_seed2098545008__c6_simple_start__3600s\external\native_logs\L0_lp.gurobi.log"
L1,LP,"INFEASIBLE",0,3584.91,0.013,0.031418,0,134,0,0.00643408,dddebfa1fea6c983a10d7e4324793b7a8926299d520d6ebeb5fbe4835ae12e53,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_c6_documentation_hga_round34\runs\v10__round33_v10_high_imbalance_M1_Q20_seed2098545008__c6_simple_start__3600s\external\native_logs\L1_lp.gurobi.log"
L2,LP,"OPTIMAL",0,3584.86,0.0180001,0.0513566,0,436,0,0.00667032,9fc2be9d3581975387b15e20625536af2e1692a1efddeb7494ad68e4dadf5650,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_c6_documentation_hga_round34\runs\v10__round33_v10_high_imbalance_M1_Q20_seed2098545008__c6_simple_start__3600s\external\native_logs\L2_lp.gurobi.log"
L3,LP,"OPTIMAL",0,3584.79,0.0150001,0.0419427,0,289,0,0.00709628,4c317735576e616402ad5ff8e90d93186af461ddced059b142c2bea251b525da,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_c6_documentation_hga_round34\runs\v10__round33_v10_high_imbalance_M1_Q20_seed2098545008__c6_simple_start__3600s\external\native_logs\L3_lp.gurobi.log"
L2,NEXT_LEAF_TARGET_MIP,"INTERRUPTED",0,3584.76,0.0969999,0.147182,1,428,0,0.00709628,9fc2be9d3581975387b15e20625536af2e1692a1efddeb7494ad68e4dadf5650,1,0,"not_requested","E:\codes\ExactEBRP\results\gf_c6_documentation_hga_round34\runs\v10__round33_v10_high_imbalance_M1_Q20_seed2098545008__c6_simple_start__3600s\external\native_logs\L2_c6_1_next_leaf_target_mip.gurobi.log"
L3,NEXT_LEAF_TARGET_MIP,"INFEASIBLE",0,3584.66,0.0279999,0.0444746,0,0,0,0.00709628,4c317735576e616402ad5ff8e90d93186af461ddced059b142c2bea251b525da,1,0,"not_requested","E:\codes\ExactEBRP\results\gf_c6_documentation_hga_round34\runs\v10__round33_v10_high_imbalance_M1_Q20_seed2098545008__c6_simple_start__3600s\external\native_logs\L3_c6_1_next_leaf_target_mip.gurobi.log"
L2.0,LP,"INFEASIBLE",0,3584.59,0.0139999,0.0395424,0,235,0,0.00830897,55dd6c8a9db413a3a603dea8d505ee2ccf4b5f1d2e8871d2c5cc81e98988d407,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_c6_documentation_hga_round34\runs\v10__round33_v10_high_imbalance_M1_Q20_seed2098545008__c6_simple_start__3600s\external\native_logs\L2.0_lp.gurobi.log"
L2.1,LP,"OPTIMAL",0,3584.53,0.016,0.0447476,0,326,0,0.00911422,9c6ee8a3209e5ba108ac58f200b56ea785d55ddb7b6ae6caec174e735f978e46,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_c6_documentation_hga_round34\runs\v10__round33_v10_high_imbalance_M1_Q20_seed2098545008__c6_simple_start__3600s\external\native_logs\L2.1_lp.gurobi.log"
L2.1.0,LP,"OPTIMAL",0,3584.47,0.0170002,0.0466248,0,359,0,0.00911422,cf73cf6ebe0cf15e138a514f7c69c22eccfbeffe736f5501c6ab2e07275d2008,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_c6_documentation_hga_round34\runs\v10__round33_v10_high_imbalance_M1_Q20_seed2098545008__c6_simple_start__3600s\external\native_logs\L2.1.0_lp.gurobi.log"
L2.1.1,LP,"OPTIMAL",0,3584.41,0.0150001,0.0404509,0,270,0,0.00911422,8c55f05b9753c42cacb7da824d511eefe84b73d20f82b07de10a1abbe3757c8e,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_c6_documentation_hga_round34\runs\v10__round33_v10_high_imbalance_M1_Q20_seed2098545008__c6_simple_start__3600s\external\native_logs\L2.1.1_lp.gurobi.log"
L2.1,MIP,"OPTIMAL",0,3584.38,0.527,0.587616,40,2925,0,0.0114313,9c6ee8a3209e5ba108ac58f200b56ea785d55ddb7b6ae6caec174e735f978e46,1,0,"not_requested","E:\codes\ExactEBRP\results\gf_c6_documentation_hga_round34\runs\v10__round33_v10_high_imbalance_M1_Q20_seed2098545008__c6_simple_start__3600s\external\native_logs\L2.1_terminal_mip.gurobi.log"
