leaf_id,parent_id,depth,gamma_L,gamma_U,terminal_valid,optimal,infeasible,bound_available,lower_bound,native_status,work,telemetry_seconds
L0,"",0,0,0.22500000000000001,1,0,1,0,0,"INFEASIBLE",0.036890968683796099,0.066649399999999998
L1,"",0,0.22500000000000001,0.45000000000000001,1,1,0,1,2.6580340076811244,"OPTIMAL",0.042969177776599012,0.12784400000000001
L2,"",0,0.45000000000000001,0.67500000000000004,1,1,0,1,2.7323570601314899,"OPTIMAL",0.038727276619461438,0.186199
L3,"",0,0.67500000000000004,0.90000000000000002,1,1,0,1,2.9522055553541366,"OPTIMAL",0.036826620093488499,0.24319370000000001
L1.0,"L1",1,0.22500000000000001,0.33750000000000002,1,0,1,0,0,"INFEASIBLE",0.032322920094376262,0.44425009999999998
L1.1,"L1",1,0.33750000000000002,0.45000000000000001,1,1,0,1,2.6857416550450299,"OPTIMAL",0.042452518574155045,0.50289379999999995
L2.0,"L2",1,0.45000000000000001,0.5625,1,1,0,1,2.7323570601314908,"OPTIMAL",0.038820115139838511,0.60820879999999999
L2.1,"L2",1,0.5625,0.67500000000000004,1,1,0,1,2.8397055553541364,"OPTIMAL",0.036413727212457773,0.66472290000000001
L1.1.0,"L1.1",2,0.33750000000000002,0.39375000000000004,1,0,1,0,0,"INFEASIBLE",0.036698986540204412,0.73147879999999998
L1.1.1,"L1.1",2,0.39375000000000004,0.45000000000000001,1,1,0,1,2.704206362593276,"OPTIMAL",0.037834296638304295,0.7902846
L1.1.1.0,"L1.1.1",3,0.39375000000000004,0.421875,1,1,0,1,2.7615277591677549,"OPTIMAL",0.042866719183215864,0.86079130000000004
L1.1.1.1,"L1.1.1",3,0.421875,0.45000000000000001,1,1,0,1,2.7150766366751662,"OPTIMAL",0.038349341032749541,0.91917910000000003
