sequence,process_seconds,event,status,nominal_deadline_remaining_seconds,work_deadline_remaining_seconds,detail
0,0,"process_entry","start",3599.9990936999998,3584.9990936999998,"absolute process deadline origin"
1,0.0011257000000000001,"instance_parsing_start","start",3599.9988745000001,3584.9988744000002,"E:\codes\ExactEBRP\reference\qualification_round33\M3_Q30\round33_v10_high_imbalance_M3_Q30_seed1765289896.txt"
2,0.0022235000000000002,"instance_parsing_complete","complete",3599.9977769000002,3584.9977766000002,"instance=round33_v10_high_imbalance_M3_Q30_seed1765289896.txt"
3,0.0026424999999999999,"initial_model_data_preprocessing_complete","complete",3599.9973574999999,3584.9973574999999,"instance data initialized; empty-route incumbent independently verified"
4,0.0040438999999999996,"improving_gini_range_construction_complete","complete",3599.9959563000002,3584.9959561999999,"lower=0.000000;upper=0.900000;complete=true"
5,0.0042744000000000002,"exact_phase_start","start",3599.9957257000001,3584.9957255999998,"arm=round31-nonblocking-native-bound"
6,0.0045285000000000004,"connectivity_flow_preparation_complete","complete",3599.9954716000002,3584.9954714999999,"variant=round20-current"
7,0.0113426,"gurobi_environment_creation","complete",3599.9886575999999,3584.9886575,"fixed_interval_backend"
8,0.0115189,"external_backend_creation","complete",3599.9884812,3584.9884812,"backend=gurobi;arm=C6-CANDIDATE"
9,0.0118814,"external_artifact_directory_creation","complete",3599.9881187999999,3584.9881187000001,"E:\codes\ExactEBRP\results\gf_c6_documentation_hga_round34\runs\v10__round33_v10_high_imbalance_M3_Q30_seed1765289896__c6_simple_start__3600s\external"
10,0.0132931,"first_tree_ledger_opened","complete",3599.9867072000002,3584.986707,"E:\codes\ExactEBRP\results\gf_c6_documentation_hga_round34\runs\v10__round33_v10_high_imbalance_M3_Q30_seed1765289896__c6_simple_start__3600s\external\paper_tree_events.csv"
11,0.013434099999999999,"first_external_tree_event","start",3599.986566,3584.986566,"scheduler_select_next"
12,0.0135237,"root_canonical_model_construction_start","start",3599.9864763999999,3584.9864763999999,"leaf=L0"
13,0.0136013,"first_interval_model_build","start",3599.9863986999999,3584.9863986999999,"leaf=L0"
14,0.076168899999999998,"static_row_factory_preparation_complete","complete",3599.9238313000001,3584.9238310999999,"canonical strengthened interval row factory"
15,0.076288900000000007,"root_canonical_model_construction_complete","complete",3599.9237112000001,3584.9237112000001,"leaf=L0"
16,0.076368199999999997,"first_interval_model_build_complete","complete",3599.9236317999998,3584.9236317999998,"leaf=L0"
17,0.076459100000000002,"first_lp_optimize_launch","start",3599.9235410000001,3584.9235408999998,"leaf=L0"
18,30.433435800000002,"final_result_serialization_start","start",3569.5665646000002,3554.5665643000002,""
19,30.435040799999999,"final_result_serialization_complete","complete",3569.5649594000001,3554.5649592999998,""
20,30.435238500000001,"process_exit","complete",3569.5647617,3554.5647616000001,"rc=0"
