sequence,process_seconds,event,status,nominal_deadline_remaining_seconds,work_deadline_remaining_seconds,detail
0,0,"process_entry","start",3599.9992043000002,3584.9992041999999,"absolute process deadline origin"
1,0.00098909999999999992,"instance_parsing_start","start",3599.9990109999999,3584.9990109,"E:\codes\ExactEBRP\reference\qualification_round33\M3_Q20\round33_v10_moderate_M3_Q20_seed935682861.txt"
2,0.0017413000000000001,"instance_parsing_complete","complete",3599.9982587999998,3584.9982587,"instance=round33_v10_moderate_M3_Q20_seed935682861.txt"
3,0.0019650000000000002,"initial_model_data_preprocessing_complete","complete",3599.9980350000001,3584.9980350000001,"instance data initialized; empty-route incumbent independently verified"
4,0.0030555000000000001,"improving_gini_range_construction_complete","complete",3599.9969445000002,3584.9969445000002,"lower=0.000000;upper=0.003358;complete=true"
5,0.0031990999999999999,"exact_phase_start","start",3599.9968011000001,3584.9968008999999,"arm=round31-nonblocking-native-bound"
6,0.0040014999999999998,"connectivity_flow_preparation_complete","complete",3599.9959987000002,3584.9959985,"variant=round20-current"
7,0.0113756,"gurobi_environment_creation","complete",3599.9886247999998,3584.9886244999998,"fixed_interval_backend"
8,0.0117231,"external_backend_creation","complete",3599.9882770999998,3584.9882769999999,"backend=gurobi;arm=C6-CANDIDATE"
9,0.0123917,"external_artifact_directory_creation","complete",3599.9876085000001,3584.9876082999999,"E:\codes\ExactEBRP\results\gf_c6_documentation_hga_round34\runs\v10__round33_v10_moderate_M3_Q20_seed935682861__c6_simple_start__3600s\external"
10,0.013251499999999999,"first_tree_ledger_opened","complete",3599.9867485999998,3584.9867485999998,"E:\codes\ExactEBRP\results\gf_c6_documentation_hga_round34\runs\v10__round33_v10_moderate_M3_Q20_seed935682861__c6_simple_start__3600s\external\paper_tree_events.csv"
11,0.013373100000000001,"first_external_tree_event","start",3599.9866268999999,3584.9866268999999,"scheduler_select_next"
12,0.013546000000000001,"root_canonical_model_construction_start","start",3599.9864541000002,3584.9864541000002,"leaf=L0"
13,0.013673599999999999,"first_interval_model_build","start",3599.9863264999999,3584.9863264999999,"leaf=L0"
14,0.079089800000000002,"static_row_factory_preparation_complete","complete",3599.9209102999998,3584.9209102,"canonical strengthened interval row factory"
15,0.079336599999999993,"root_canonical_model_construction_complete","complete",3599.9206637000002,3584.9206634000002,"leaf=L0"
16,0.0795622,"first_interval_model_build_complete","complete",3599.9204380000001,3584.9204378999998,"leaf=L0"
17,0.079798900000000006,"first_lp_optimize_launch","start",3599.9202012999999,3584.9202012000001,"leaf=L0"
18,0.2605498,"final_result_serialization_start","start",3599.7394506000001,3584.7394503,""
19,0.26280579999999998,"final_result_serialization_complete","complete",3599.7371944000001,3584.7371942,""
20,0.26305319999999999,"process_exit","complete",3599.7369469999999,3584.7369469,"rc=0"
