leaf_id,solve_kind,native_status,optimize_return_code,global_deadline_remaining_at_launch,solver_runtime,work,nodes,simplex_iterations,barrier_iterations,memory_gb,model_sha256,in_memory_model_reused,integer_domain_restored,basis_reuse_status,native_log
L0,LP,"INFEASIBLE",0,3584.39,0.0140002,0.039653,0,105,0,0.0066248,64ad5917b5997d35d8ca1b18b483ccdc0c8b39c36cf88b647207c97bde2cdfd2,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_c6_documentation_hga_round34\runs\v10__round33_v10_tight_T_M1_Q20_seed1215342007__c6_hga_light__3600s\external\native_logs\L0_lp.gurobi.log"
L1,LP,"OPTIMAL",0,3584.34,0.016,0.0415466,0,413,0,0.0067884,f61722ecdf7b8bb1a1fd613d74037f64957c111c24d19977b7f17d3c140bc6fa,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_c6_documentation_hga_round34\runs\v10__round33_v10_tight_T_M1_Q20_seed1215342007__c6_hga_light__3600s\external\native_logs\L1_lp.gurobi.log"
L2,LP,"INFEASIBLE",0,3584.28,0.000999928,0.000998514,0,0,0,0.0067884,c473d42f1eb3c0dc0d900ef8bf6216627e3b9157e09d3197184619f77631d0d7,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_c6_documentation_hga_round34\runs\v10__round33_v10_tight_T_M1_Q20_seed1215342007__c6_hga_light__3600s\external\native_logs\L2_lp.gurobi.log"
L3,LP,"INFEASIBLE",0,3584.24,0,0.000466995,0,0,0,0.0067884,974738a7468d5e63a0f94497764403f8146a5d786219020475adb09aa2ceacc6,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_c6_documentation_hga_round34\runs\v10__round33_v10_tight_T_M1_Q20_seed1215342007__c6_hga_light__3600s\external\native_logs\L3_lp.gurobi.log"
L1.0,LP,"INFEASIBLE",0,3584.19,0.013,0.0348419,0,247,0,0.00723353,7846395f02512f36925a1eadfe1834dca22e85d1fb5e77952a4710f5d2f18c62,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_c6_documentation_hga_round34\runs\v10__round33_v10_tight_T_M1_Q20_seed1215342007__c6_hga_light__3600s\external\native_logs\L1.0_lp.gurobi.log"
L1.1,LP,"OPTIMAL",0,3584.14,0.016,0.0421162,0,414,0,0.00804428,40e6b152e71001efb9a82c9c0c4cb6093e096c69c3b3c819d6c480d340c4460a,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_c6_documentation_hga_round34\runs\v10__round33_v10_tight_T_M1_Q20_seed1215342007__c6_hga_light__3600s\external\native_logs\L1.1_lp.gurobi.log"
L1.1.0,LP,"OPTIMAL",0,3584.08,0.0180001,0.0426942,0,418,0,0.00804428,5f6e139d92ed477c53c877e9924f4f569f4d2b420c899f1ba3b39831a74e91ca,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_c6_documentation_hga_round34\runs\v10__round33_v10_tight_T_M1_Q20_seed1215342007__c6_hga_light__3600s\external\native_logs\L1.1.0_lp.gurobi.log"
L1.1.1,LP,"OPTIMAL",0,3584.01,0.0149999,0.0372255,0,328,0,0.00804428,3f7a2e709827a6a154092eacf3765da4efff583460a014cd8a3883431a7c0f20,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_c6_documentation_hga_round34\runs\v10__round33_v10_tight_T_M1_Q20_seed1215342007__c6_hga_light__3600s\external\native_logs\L1.1.1_lp.gurobi.log"
L1.1.0,NEXT_LEAF_TARGET_MIP,"INFEASIBLE",0,3583.98,0.013,0.014535,1,51,0,0.00804428,5f6e139d92ed477c53c877e9924f4f569f4d2b420c899f1ba3b39831a74e91ca,1,0,"not_requested","E:\codes\ExactEBRP\results\gf_c6_documentation_hga_round34\runs\v10__round33_v10_tight_T_M1_Q20_seed1215342007__c6_hga_light__3600s\external\native_logs\L1.1.0_c6_1_next_leaf_target_mip.gurobi.log"
L1.1.1.0,LP,"OPTIMAL",0,3583.9,0.0150001,0.0392954,0,320,0,0.00804428,6c3d6a95ba58437fa8548dc51a9bc4ffb5bd3e55f912342f295a67c60e0bc0fb,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_c6_documentation_hga_round34\runs\v10__round33_v10_tight_T_M1_Q20_seed1215342007__c6_hga_light__3600s\external\native_logs\L1.1.1.0_lp.gurobi.log"
