sequence,process_seconds,event,status,nominal_deadline_remaining_seconds,work_deadline_remaining_seconds,detail
0,0,"process_entry","start",3599.9992117000002,3584.9992117000002,"absolute process deadline origin"
1,0.00097380000000000003,"instance_parsing_start","start",3599.9990262000001,3584.9990262000001,"E:\codes\ExactEBRP\reference\qualification_round33\M1_Q20\round33_v10_tight_T_M1_Q20_seed1215342007.txt"
2,0.001727,"instance_parsing_complete","complete",3599.9982731,3584.9982730000002,"instance=round33_v10_tight_T_M1_Q20_seed1215342007.txt"
3,0.0019451,"initial_model_data_preprocessing_complete","complete",3599.998055,3584.998055,"instance data initialized; empty-route incumbent independently verified"
4,0.0026413000000000001,"improving_gini_range_construction_complete","complete",3599.9973587999998,3584.9973587999998,"lower=0.000000;upper=0.900000;complete=true"
5,0.0029632,"exact_phase_start","start",3599.9970379000001,3584.9970368999998,"arm=round31-nonblocking-native-bound"
6,0.0032991000000000001,"connectivity_flow_preparation_complete","complete",3599.9967010999999,3584.996701,"variant=round20-current"
7,0.012153799999999999,"gurobi_environment_creation","complete",3599.9878463999999,3584.9878463,"fixed_interval_backend"
8,0.012301100000000001,"external_backend_creation","complete",3599.9876992,3584.9876991000001,"backend=gurobi;arm=C6-CANDIDATE"
9,0.012633699999999999,"external_artifact_directory_creation","complete",3599.9873664000002,3584.9873662999998,"E:\codes\ExactEBRP\results\gf_c6_documentation_hga_round34\runs\v10__round33_v10_tight_T_M1_Q20_seed1215342007__c6_simple_start__3600s\external"
10,0.0133201,"first_tree_ledger_opened","complete",3599.98668,3584.98668,"E:\codes\ExactEBRP\results\gf_c6_documentation_hga_round34\runs\v10__round33_v10_tight_T_M1_Q20_seed1215342007__c6_simple_start__3600s\external\paper_tree_events.csv"
11,0.013447000000000001,"first_external_tree_event","start",3599.9865531,3584.9865531,"scheduler_select_next"
12,0.0135426,"root_canonical_model_construction_start","start",3599.9864575000001,3584.9864575000001,"leaf=L0"
13,0.013620999999999999,"first_interval_model_build","start",3599.9863790999998,3584.9863789999999,"leaf=L0"
14,0.043137500000000002,"static_row_factory_preparation_complete","complete",3599.9568626,3584.9568625000002,"canonical strengthened interval row factory"
15,0.043255000000000002,"root_canonical_model_construction_complete","complete",3599.9567450999998,3584.956745,"leaf=L0"
16,0.043360500000000003,"first_interval_model_build_complete","complete",3599.9566396,3584.9566396,"leaf=L0"
17,0.043441300000000002,"first_lp_optimize_launch","start",3599.9565587000002,3584.9565587000002,"leaf=L0"
18,0.77682490000000004,"final_result_serialization_start","start",3599.2231753999999,3584.2231751999998,""
19,0.7794373,"final_result_serialization_complete","complete",3599.2205629999999,3584.2205629,""
20,0.78005060000000004,"process_exit","complete",3599.2199495999998,3584.2199494000001,"rc=0"
