sequence,process_seconds,event,status,nominal_deadline_remaining_seconds,work_deadline_remaining_seconds,detail
0,0,"process_entry","start",3599.9991977,3584.9991977,"absolute process deadline origin"
1,0.00099850000000000004,"instance_parsing_start","start",3599.9990016000002,3584.9990014999998,"E:\codes\ExactEBRP\reference\qualification_round33\M2_Q30\round33_v10_tight_T_M2_Q30_seed1783646009.txt"
2,0.0018159999999999999,"instance_parsing_complete","complete",3599.9981840999999,3584.9981840999999,"instance=round33_v10_tight_T_M2_Q30_seed1783646009.txt"
3,0.0020382999999999998,"initial_model_data_preprocessing_complete","complete",3599.9979618000002,3584.9979616999999,"instance data initialized; empty-route incumbent independently verified"
4,0.0024196999999999999,"hga_start","start",3599.9975804000001,3584.9975803000002,"label=primary_hga;native_generation_stagnation_hga"
5,0.90749199999999997,"hga_generation_loop_complete","complete",3599.0925081999999,3584.0925081,"label=primary_hga;generations=1010;no_improve=1000"
6,0.90977660000000005,"hga_best_solution_extraction_start","start",3599.0902236000002,3584.0902234,"label=primary_hga"
7,0.90999030000000003,"hga_best_solution_extraction_complete","complete",3599.0900098000002,3584.0900098000002,"label=primary_hga"
8,0.91018390000000005,"hga_route_decoding_start","start",3599.0898163000002,3584.0898161999999,"label=primary_hga"
9,0.91075609999999996,"hga_route_decoding_complete","complete",3599.0892441000001,3584.0892439999998,"label=primary_hga"
10,0.91095090000000001,"independent_hga_verification_start","start",3599.0890491999999,3584.0890491999999,"label=primary_hga"
11,0.91113049999999995,"independent_hga_verification_complete","complete",3599.0888697,3584.0888696000002,"label=primary_hga;feasible=true"
12,0.91275819999999996,"improving_gini_range_construction_complete","complete",3599.0872419000002,3584.0872417999999,"lower=0.000000;upper=0.553676;complete=true"
13,0.91298270000000004,"exact_phase_start","start",3599.0870175,3584.0870174000001,"arm=round31-nonblocking-native-bound"
14,0.91325970000000001,"connectivity_flow_preparation_complete","complete",3599.0867404999999,3584.0867404000001,"variant=round20-current"
15,0.92186920000000006,"gurobi_environment_creation","complete",3599.0781310000002,3584.0781308000001,"fixed_interval_backend"
16,0.92203679999999999,"external_backend_creation","complete",3599.0779633000002,3584.0779633000002,"backend=gurobi;arm=C6-CANDIDATE"
17,0.92269730000000005,"external_artifact_directory_creation","complete",3599.0773029000002,3584.0773027999999,"E:\codes\ExactEBRP\results\gf_c6_documentation_hga_round34\runs\v10__round33_v10_tight_T_M2_Q30_seed1783646009__c6_hga_light__3600s\external"
18,0.92378890000000002,"first_tree_ledger_opened","complete",3599.0762112000002,3584.0762110999999,"E:\codes\ExactEBRP\results\gf_c6_documentation_hga_round34\runs\v10__round33_v10_tight_T_M2_Q30_seed1783646009__c6_hga_light__3600s\external\paper_tree_events.csv"
19,0.92392099999999999,"first_external_tree_event","start",3599.0760790999998,3584.0760789999999,"scheduler_select_next"
20,0.92401690000000003,"root_canonical_model_construction_start","start",3599.0759831999999,3584.0759831,"leaf=L0"
21,0.92409169999999996,"first_interval_model_build","start",3599.0759084000001,3584.0759082999998,"leaf=L0"
22,0.96998799999999996,"static_row_factory_preparation_complete","complete",3599.0300121999999,3584.0300120000002,"canonical strengthened interval row factory"
23,0.97010580000000002,"root_canonical_model_construction_complete","complete",3599.0298941999999,3584.0298941999999,"leaf=L0"
24,0.97022269999999999,"first_interval_model_build_complete","complete",3599.0297774000001,3584.0297773000002,"leaf=L0"
25,0.97035170000000004,"first_lp_optimize_launch","start",3599.0296484,3584.0296484,"leaf=L0"
26,9.4865130000000004,"final_result_serialization_start","start",3590.5134874,3575.5134871999999,""
27,9.4886195000000004,"final_result_serialization_complete","complete",3590.5113805999999,3575.5113805999999,""
28,9.4888069000000002,"process_exit","complete",3590.5111932,3575.5111932,"rc=0"
