phase,instance_id,role,tag,family,kind,rho_F,rho_M,rho_H,lookahead,injection,scope,run_id,decision_identity_sha256,executable_sha256,correctness,certified,right_censored,failure_reason,work,process_seconds,nodes,lp_jobs,terminal_mip_jobs,split_count,final_intervals,pgrb_work,pgrb_process_seconds,shifted_work_over_pgrb,shifted_time_over_pgrb,c6_work,c6_process_seconds,shifted_work_over_c6,shifted_time_over_c6,severe_pgrb_regression,c6_advantage_gate_applies,pgrb_advantage_over_candidate,c6_advantage_retained,major_gate
mechanism,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,major_fragmentation_regression,noadaptive,no-adaptive,envelope,0.5,0.007,0.0004,fixed-d1,all,parent,stage3-witness__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__noadaptive,27aa92eacff6d7fbab2bdf81557c58de3730259d441cb07bee403a1fb79377b9,c6cd3f8c3d0220da87f96c891dc2cbbe493f6cc6e2d7b64b31210b7993e1e7fd,True,True,False,none,1671.8335188598146,749.8811409,19435.0,14,3,0,4,1607.9153648352515,934.6871832,1.0397274806503622,0.8024916386393439,4373.077783569157,1911.4661885,0.3824425631258018,0.3926245313068446,False,False,0.9617904870365528,True,True
mechanism,round39_small_medium_V10_M2_Q20_slot05_seed968549317,medium_c6_win_guard,noadaptive,no-adaptive,envelope,0.5,0.007,0.0004,fixed-d1,all,parent,stage3-mechanism__round39_small_medium_V10_M2_Q20_slot05_seed968549317__noadaptive,27aa92eacff6d7fbab2bdf81557c58de3730259d441cb07bee403a1fb79377b9,c6cd3f8c3d0220da87f96c891dc2cbbe493f6cc6e2d7b64b31210b7993e1e7fd,True,True,False,none,95.74423884861486,58.2047264,4957.0,17,4,0,4,517.2770571210964,292.1943537,0.18666510029598007,0.20192996779391933,109.91515934198168,65.3808308,0.8722363960216294,0.8918949294018176,False,False,5.3571878107604425,True,True
mechanism,round39_small_hard_V10_M1_Q20_slot01_seed561355351,hard_p_grb_win_guard,noadaptive,no-adaptive,envelope,0.5,0.007,0.0004,fixed-d1,all,parent,stage3-mechanism__round39_small_hard_V10_M1_Q20_slot01_seed561355351__noadaptive,27aa92eacff6d7fbab2bdf81557c58de3730259d441cb07bee403a1fb79377b9,c6cd3f8c3d0220da87f96c891dc2cbbe493f6cc6e2d7b64b31210b7993e1e7fd,True,True,False,none,0.7502955320985,1.4941376,1.0,11,2,0,4,0.5720710311796616,0.5189224,1.1133692418370567,1.6420441228597327,0.989274344317732,1.6887786,0.879866337741768,0.9276098820483026,False,False,0.8981746238561452,True,True
mechanism,round39_small_hard_V12_M3_Q20_slot07_seed621538683,numerical_fail_closed_endpoint,noadaptive,no-adaptive,envelope,0.5,0.007,0.0004,fixed-d1,all,parent,stage3-mechanism__round39_small_hard_V12_M3_Q20_slot07_seed621538683__noadaptive,27aa92eacff6d7fbab2bdf81557c58de3730259d441cb07bee403a1fb79377b9,c6cd3f8c3d0220da87f96c891dc2cbbe493f6cc6e2d7b64b31210b7993e1e7fd,True,True,False,none,134.99459009347234,78.2109862,2915.0,17,4,0,4,3562.7211838269295,2278.1262339,0.03816083893169036,0.03475497979085414,138.4451303784979,79.7295563,0.9752552113102859,0.9811894160007912,False,True,26.204874630509188,True,True
mechanism,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strongest_k4_positive_control,noadaptive,no-adaptive,envelope,0.5,0.007,0.0004,fixed-d1,all,parent,stage3-witness__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__noadaptive,27aa92eacff6d7fbab2bdf81557c58de3730259d441cb07bee403a1fb79377b9,c6cd3f8c3d0220da87f96c891dc2cbbe493f6cc6e2d7b64b31210b7993e1e7fd,True,True,False,none,162.60833994868105,94.8633349,8339.0,21,4,0,4,10383.731286460352,6327.6113147,0.015754701343307184,0.015147609820393005,133.73490192498448,82.5178879,1.2142981336771392,1.1478179981608465,False,True,63.473116894393804,True,True
mechanism,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,hard_c6_win_guard,noadaptive,no-adaptive,envelope,0.5,0.007,0.0004,fixed-d1,all,parent,stage3-mechanism__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__noadaptive,27aa92eacff6d7fbab2bdf81557c58de3730259d441cb07bee403a1fb79377b9,c6cd3f8c3d0220da87f96c891dc2cbbe493f6cc6e2d7b64b31210b7993e1e7fd,True,True,False,none,10.700450366810307,9.1069336,556.0,17,4,0,4,100.19984835374473,59.3698132,0.11561727173652776,0.16741700966535372,10.503884558425527,9.0603292,1.017086907243068,1.004632492543087,False,True,8.649226754622191,True,True
mechanism,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,major_fragmentation_regression,veto-f05,veto,conservative,0.5,0.007,0.0004,fixed-d1,all,parent,stage3-witness__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__veto-f05,dbfeaa96f349cf48d28c3b77445c332a3b6741a998c16191c4b3f6d93b545143,c6cd3f8c3d0220da87f96c891dc2cbbe493f6cc6e2d7b64b31210b7993e1e7fd,True,True,False,none,1675.439939039798,859.3634466,19437.0,14,3,0,4,1607.9153648352515,934.6871832,1.0419690032679008,0.919499018526259,4373.077783569157,1911.4661885,0.3832670615363081,0.4498711934221471,False,False,0.9597214474362725,True,True
mechanism,round39_small_medium_V10_M2_Q20_slot05_seed968549317,medium_c6_win_guard,veto-f05,veto,conservative,0.5,0.007,0.0004,fixed-d1,all,parent,stage3-mechanism__round39_small_medium_V10_M2_Q20_slot05_seed968549317__veto-f05,dbfeaa96f349cf48d28c3b77445c332a3b6741a998c16191c4b3f6d93b545143,c6cd3f8c3d0220da87f96c891dc2cbbe493f6cc6e2d7b64b31210b7993e1e7fd,True,True,False,none,104.44092931317385,63.0615232,5607.0,17,4,0,4,517.2770571210964,292.1943537,0.20344510308612287,0.21849507806534546,109.91515934198168,65.3808308,0.9506448887484417,0.9650605819172726,False,False,4.915330891875424,True,True
mechanism,round39_small_hard_V10_M1_Q20_slot01_seed561355351,hard_p_grb_win_guard,veto-f05,veto,conservative,0.5,0.007,0.0004,fixed-d1,all,parent,stage3-mechanism__round39_small_hard_V10_M1_Q20_slot01_seed561355351__veto-f05,dbfeaa96f349cf48d28c3b77445c332a3b6741a998c16191c4b3f6d93b545143,c6cd3f8c3d0220da87f96c891dc2cbbe493f6cc6e2d7b64b31210b7993e1e7fd,True,True,False,none,0.834577916685134,1.5459105,2.0,11,2,0,4,0.5720710311796616,0.5189224,1.166981567816621,1.6761294059525356,0.989274344317732,1.6887786,0.9222347445064673,0.9468650561262276,False,False,0.8569115636256043,True,True
mechanism,round39_small_hard_V12_M3_Q20_slot07_seed621538683,numerical_fail_closed_endpoint,veto-f05,veto,conservative,0.5,0.007,0.0004,fixed-d1,all,parent,stage3-mechanism__round39_small_hard_V12_M3_Q20_slot07_seed621538683__veto-f05,dbfeaa96f349cf48d28c3b77445c332a3b6741a998c16191c4b3f6d93b545143,c6cd3f8c3d0220da87f96c891dc2cbbe493f6cc6e2d7b64b31210b7993e1e7fd,True,True,False,none,139.2326085386873,80.4004699,2918.0,17,4,0,4,3562.7211838269295,2278.1262339,0.03935005049640203,0.03571564781679906,138.4451303784979,79.7295563,1.0056472259594287,1.008310631579676,False,True,25.41292799843891,True,True
