run_id,stage,arm,instance,certificate,status,false_certificate,completion_marker,watchdog_timeout,lower_bound,verified_upper_bound,bound_order_valid
stage3_300s__high_imbalance_seed3201__K1-r001,stage3_300s,K1-r001,high_imbalance_seed3201,False,round31_c6_external_gini_tree_time_limit,False,True,False,2.3545030031536247,2.4434031919432,True
stage3_300s__high_imbalance_seed3201__K1-r012,stage3_300s,K1-r012,high_imbalance_seed3201,False,round31_c6_external_gini_tree_time_limit,False,True,False,2.3545030031536247,2.4434031919432,True
stage3_300s__high_imbalance_seed3201__K1-r015,stage3_300s,K1-r015,high_imbalance_seed3201,False,round31_c6_external_gini_tree_time_limit,False,True,False,2.3545030031536247,2.4434031919432,True
stage3_300s__high_imbalance_seed3201__K1-r020,stage3_300s,K1-r020,high_imbalance_seed3201,False,round31_c6_external_gini_tree_time_limit,False,True,False,2.3545030031536247,2.4434031919432,True
stage3_300s__high_imbalance_seed3201__K1-r050,stage3_300s,K1-r050,high_imbalance_seed3201,False,round31_c6_external_gini_tree_time_limit,False,True,False,2.304690794004673,2.4434031919432,True
stage3_300s__high_imbalance_seed3201__K4-r001,stage3_300s,K4-r001,high_imbalance_seed3201,False,round31_c6_external_gini_tree_time_limit,False,True,False,2.2866395288965413,2.4434031919432,True
stage3_300s__high_imbalance_seed3201__K4-r012,stage3_300s,K4-r012,high_imbalance_seed3201,False,round31_c6_external_gini_tree_time_limit,False,True,False,2.2866395288965413,2.4434031919432,True
stage3_300s__high_imbalance_seed3201__K4-r015,stage3_300s,K4-r015,high_imbalance_seed3201,False,round31_c6_external_gini_tree_time_limit,False,True,False,2.2866395288965413,2.4434031919432,True
stage3_300s__high_imbalance_seed3201__K4-r020,stage3_300s,K4-r020,high_imbalance_seed3201,False,round31_c6_external_gini_tree_time_limit,False,True,False,2.2866395288965413,2.4434031919432,True
stage3_300s__high_imbalance_seed3201__K4-r050,stage3_300s,K4-r050,high_imbalance_seed3201,False,round31_c6_external_gini_tree_time_limit,False,True,False,2.2866395288965413,2.4434031919432,True
stage3_300s__high_imbalance_seed3201__P-GRB,stage3_300s,P-GRB,high_imbalance_seed3201,False,time_limit,False,True,False,2.05655260557183,2.4434031919432,True
stage3_300s__moderate_seed3301__K1-r001,stage3_300s,K1-r001,moderate_seed3301,False,round31_c6_external_gini_tree_time_limit,False,True,False,0.04686395844899715,0.04915255266474515,True
stage3_300s__moderate_seed3301__K1-r012,stage3_300s,K1-r012,moderate_seed3301,False,round31_c6_external_gini_tree_time_limit,False,True,False,0.04686395844899715,0.04915255266474515,True
stage3_300s__moderate_seed3301__K1-r015,stage3_300s,K1-r015,moderate_seed3301,False,round31_c6_external_gini_tree_time_limit,False,True,False,0.04686395844899715,0.04915255266474515,True
stage3_300s__moderate_seed3301__K1-r020,stage3_300s,K1-r020,moderate_seed3301,False,round31_c6_external_gini_tree_time_limit,False,True,False,0.04437919174734002,0.04915255266474515,True
stage3_300s__moderate_seed3301__K1-r050,stage3_300s,K1-r050,moderate_seed3301,False,round31_c6_external_gini_tree_time_limit,False,True,False,0.04437919174734002,0.04915255266474515,True
stage3_300s__moderate_seed3301__K4-r001,stage3_300s,K4-r001,moderate_seed3301,False,round31_c6_external_gini_tree_time_limit,False,True,False,0.04363065333581688,0.04915255266474515,True
stage3_300s__moderate_seed3301__K4-r012,stage3_300s,K4-r012,moderate_seed3301,False,round31_c6_external_gini_tree_time_limit,False,True,False,0.04363065333581688,0.04915255266474515,True
stage3_300s__moderate_seed3301__K4-r015,stage3_300s,K4-r015,moderate_seed3301,False,round31_c6_external_gini_tree_time_limit,False,True,False,0.04363065333581688,0.04915255266474515,True
stage3_300s__moderate_seed3301__K4-r020,stage3_300s,K4-r020,moderate_seed3301,False,round31_c6_external_gini_tree_time_limit,False,True,False,0.04363065333581688,0.04915255266474515,True
stage3_300s__moderate_seed3301__K4-r050,stage3_300s,K4-r050,moderate_seed3301,False,round31_c6_external_gini_tree_time_limit,False,True,False,0.04363065333581688,0.04915255266474515,True
stage3_300s__moderate_seed3301__P-GRB,stage3_300s,P-GRB,moderate_seed3301,False,time_limit,False,True,False,0.048388162833931284,0.04952337284115889,True
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K1-r001,stage3_300s,K1-r001,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,True,optimal,False,True,False,0.021337006039780566,0.021337006039780566,True
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K1-r012,stage3_300s,K1-r012,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,True,optimal,False,True,False,0.02133700603978056,0.021337006039780566,True
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K1-r015,stage3_300s,K1-r015,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,True,optimal,False,True,False,0.02133700603978056,0.021337006039780566,True
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K1-r020,stage3_300s,K1-r020,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,True,optimal,False,True,False,0.02133700603978056,0.021337006039780566,True
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K1-r050,stage3_300s,K1-r050,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,True,optimal,False,True,False,0.02133700603978056,0.021337006039780566,True
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K4-r001,stage3_300s,K4-r001,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,True,optimal,False,True,False,0.021337006039780566,0.021337006039780566,True
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K4-r012,stage3_300s,K4-r012,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,True,optimal,False,True,False,0.021337006039780566,0.021337006039780566,True
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K4-r015,stage3_300s,K4-r015,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,True,optimal,False,True,False,0.021337006039780566,0.021337006039780566,True
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K4-r020,stage3_300s,K4-r020,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,True,optimal,False,True,False,0.021337006039780566,0.021337006039780566,True
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K4-r050,stage3_300s,K4-r050,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,True,optimal,False,True,False,0.021337006039780566,0.021337006039780566,True
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__P-GRB,stage3_300s,P-GRB,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,True,optimal,False,True,False,0.02133700603978057,0.021337006039780566,True
stage3_300s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K1-r001,stage3_300s,K1-r001,round39_small_hard_V10_M1_Q20_slot01_seed561355351,True,optimal,False,True,False,0.8585174613256055,0.8585174613256055,True
stage3_300s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K1-r012,stage3_300s,K1-r012,round39_small_hard_V10_M1_Q20_slot01_seed561355351,True,optimal,False,True,False,0.8585174613256094,0.8585174613256055,True
stage3_300s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K1-r015,stage3_300s,K1-r015,round39_small_hard_V10_M1_Q20_slot01_seed561355351,True,optimal,False,True,False,0.8585174613256094,0.8585174613256055,True
