scenario_id,scenario_sha256,expected_gurobi_model_fingerprint,canonical_model_sha256,objective_fingerprint_sha256,num_vars,num_rows,num_nonzeros,native_domain_audit_passed,one_original_compact_model,strengthened,gini_decomposition,tailored_cuts,custom_branching,HGA_or_imported_routes,expected_fingerprint_frozen_before_solve,scope_status
cb443_V08_compact_r2_shortage_M01_Q30_T01800,c123cf304959f623997758bb735af8cc95b7d3589e460eced8a957ab061e2b04,-1994228849,4b783bde6094e21c203c404e8aae40d72840214510913332f6f176fa150d42fa,8e550cca8f3c12be5a9241dffc8e4aec2bbcc4b4e2d1d903761854de7763bfce,261,509,1876.0,True,True,False,False,False,False,False,True,PASS
cb443_V08_compact_r2_balanced_M02_Q20_T03600,973cedb2324851b0897e3fefd55ef44dc5343fd64519a2b1fb2fa62eba545a9e,-1147989987,ee14d9b9f7dae77510c8cb07f8e2098706115cc53c2e33e70e02a7e3dad11040,8e550cca8f3c12be5a9241dffc8e4aec2bbcc4b4e2d1d903761854de7763bfce,381,785,3116.0,True,True,False,False,False,False,False,True,PASS
cb443_V08_compact_r1_surplus_M01_Q20_T10800,41601e77f6193728daeb6b8169f0c6c1fe4ac6cd75975a454633c20b0a02c841,1081812522,bc26e469908de88597bea2a7cdb13de6fd4cedb04d228502977849c66dad2a7d,a230811472d839973a73707705137edceabd098a6e2dae01b619622fad8fef9b,261,509,1876.0,True,True,False,False,False,False,False,True,PASS
cb443_V08_regional_r2_shortage_M02_Q20_T18000,832281b60362d18f133a10954978a57afd67762f3b0e60d9509cc7ac3068b88c,-1710876728,3be35fac3bdbd6956d9cae2f9681b0f7b12c8373ae8ac5981437601a1128ef80,158827cd7bac5c31bb6839ee09cb204dc150c0d6956f99bb6d0acbef7c8e431d,381,785,3116.0,True,True,False,False,False,False,False,True,PASS
cb443_V08_regional_r1_balanced_M01_Q30_T01800,e1e5f19de349f262558f1b9c174c68a638acb226a45136701c21e604dd9c3c4c,-556439695,81dfcaa4bf4f6d3d5257dba91b2f88be3268039ab8535502c898e1adb8593ce3,e455a8688f99ae3dd0547048e683e9f8c2cd2de5fd51773ab6a753960b35016a,271,524,1921.0,True,True,False,False,False,False,False,True,PASS
cb443_V08_regional_r2_surplus_M02_Q30_T03600,ee934c2ace05a76466235ebdd5af74dd095ebc1bd12675d861bf25e66ba30e13,842068610,cf9912f9dcb84d8b4fa6d81518de3478413dd7ee49fd756d3d1cc29369347a5a,158827cd7bac5c31bb6839ee09cb204dc150c0d6956f99bb6d0acbef7c8e431d,381,785,3116.0,True,True,False,False,False,False,False,True,PASS
cb443_V12_compact_r2_shortage_M02_Q30_T03600,632fee1d715210f5ed0669afb08646147272e63d37e04c077720e9e848c827a6,-1715841480,0df6877ce9a155071b13ee8dcad94048000229730a6ffddac4486f003363e16e,9b20b735de94f13a57dcb2f4e968be27c2a0dc878c032d7c37efb18c10ba032a,701,1524,6419.0,True,True,False,False,False,False,False,True,PASS
cb443_V12_compact_r1_balanced_M01_Q20_T10800,2ff389df69db282c2fdc601ac8f3d6b17e9c2b50a0dacd70cd946c08303e331e,210424938,0f3886b67c82f91a88b54292b23eb4a9484d04aa7d7f4ba0674c56ef2d623331,cebcc863cb9185cd17ab1b5342ac01cba597935f90a8bf8e008bde512972a23f,459,947,3732.0,True,True,False,False,False,False,False,True,PASS
cb443_V12_compact_r1_surplus_M02_Q20_T18000,e94fcfdcad4b199b6706147b1658fbc3279f66228e57de39c51c334ab6b4dd86,1204232048,0d7d8d5d177cc1899b4f61f988fd6a176289d573720f8467615f6993b98e501c,cebcc863cb9185cd17ab1b5342ac01cba597935f90a8bf8e008bde512972a23f,687,1503,6348.0,True,True,False,False,False,False,False,True,PASS
cb443_V12_regional_r1_shortage_M01_Q20_T01800,3b2c669f042006cd5b542c2829877f54282a38695180c85dbe04675ee7023a9d,-1613065719,9c44f9aeadbc52e52590c532c318088899ae4b5cc4f947f814517c8049585dce,e37b6c53d285df94ebc9dc222d3fd8ffd09b94bc4d6a8f3752d3c5f3ccee598c,473,968,3795.0,True,True,False,False,False,False,False,True,PASS
cb443_V12_regional_r2_balanced_M02_Q30_T03600,706f2069ae529da4bda334dce183b7b4139719f77c0a88627a11d276b32a2976,1326563843,67b5fa0e10dd6b555989e698297ef2791737a3e86afd5871ddcd9db221cbea1a,69a99f6eff79a108734271e255cfccb91a9044b50946ea2539059d59c3fd0f3b,691,1509,6378.0,True,True,False,False,False,False,False,True,PASS
cb443_V12_regional_r1_surplus_M01_Q30_T10800,632b261dcba2b74a0c51415c582dbde53e4b59eabaed9fc4d88452537949b84c,72275223,df2361eefd69e6b5de0b9c61372e094663f5ac87002fd7a8520ac64518b4de20,e37b6c53d285df94ebc9dc222d3fd8ffd09b94bc4d6a8f3752d3c5f3ccee598c,473,968,3795.0,True,True,False,False,False,False,False,True,PASS
cb443_V20_compact_r2_shortage_M02_Q20_T10800,36e503d62786652247ba59ddbcd55cd5aa364accdc03605570b5d90b1edce034,1303462215,905b7e8b154b218e446b0e116f6035acd2c6b03431e910e1d0040b7171c07cc0,1ecedd243d92b96189c7a7b7e9498dd8f506ff49aca00f56c5e7b276255f913d,1551,3629,16310.0,True,True,False,False,False,False,False,True,PASS
cb443_V20_compact_r1_balanced_M03_Q30_T18000,475869ee4fc63bf642775a8ef710a55edb2cd6829aca13d03b604255b1e66527,-1279869392,c30ef1e2b3ab8b75dec4421b084412a14e152a8a8a7f39ebf7d2fb54db21ed25,a6a9614234b78e717f26c2e8aacc47784bbe139ff028ca0c47cd37f3f4d2918f,2099,5045,23286.0,True,True,False,False,False,False,False,True,PASS
cb443_V20_compact_r1_surplus_M02_Q30_T01800,4852b08701f76c32e34504748cc4dab9cdef3a81d3b2dd601426701b6267ddb4,51964193,c575bdcdf695403630ba7ab1a675970792b4e69e19ddfa90cae6a9e49436ffda,a6a9614234b78e717f26c2e8aacc47784bbe139ff028ca0c47cd37f3f4d2918f,1559,3641,16334.0,True,True,False,False,False,False,False,True,PASS
