scope,factor,counts,integer_balance_target,maximum_minus_minimum,passed,note
complete,panel_class,"{""matched_route_horizon"":20,""primary_structural"":30}",30 primary / 20 matched,10,True,
complete,V,"{""8"":10,""12"":10,""20"":10,""30"":10,""50"":10}",10 per V,0,True,
complete,geographic_regime,"{""compact"":25,""regional"":25}",25 each,0,True,
complete,inventory_regime,"{""balanced"":16,""shortage"":18,""surplus"":16}",all represented; closest integer balance,2,True,
complete,Q,"{""20"":15,""30"":35}",both represented; matched panel is frozen at Q=30,20,True,
complete,T,"{""1800"":8,""3600"":18,""10800"":7,""18000"":17}",all four represented; matched panel adds 3600/18000,11,True,
primary,M_level,"{""high"":15,""low"":15}",15 low / 15 high,0,True,
primary,Q,"{""20"":15,""30"":15}",15 each,0,True,
primary,T,"{""1800"":8,""3600"":8,""10800"":7,""18000"":7}",8/8/7/7 as integer-optimal over 30,1,True,
primary,M_x_Q,"{""H_Q20"":8,""H_Q30"":7,""L_Q20"":7,""L_Q30"":8}",cell counts 7 or 8; not perfectly confounded,1,True,
primary_V08,M_level,"{""high"":3,""low"":3}",3/3,0,True,
primary_V08,Q,"{""20"":3,""30"":3}",3/3,0,True,
primary_V08,T,"{""1800"":2,""3600"":2,""10800"":1,""18000"":1}",2/2/1/1,1,True,
primary_V12,M_level,"{""high"":3,""low"":3}",3/3,0,True,
primary_V12,Q,"{""20"":3,""30"":3}",3/3,0,True,
primary_V12,T,"{""1800"":1,""3600"":2,""10800"":2,""18000"":1}",2/2/1/1,1,True,
primary_V20,M_level,"{""high"":3,""low"":3}",3/3,0,True,
primary_V20,Q,"{""20"":3,""30"":3}",3/3,0,True,
primary_V20,T,"{""1800"":1,""3600"":1,""10800"":2,""18000"":2}",2/2/1/1,1,True,
primary_V30,M_level,"{""high"":3,""low"":3}",3/3,0,True,
primary_V30,Q,"{""20"":3,""30"":3}",3/3,0,True,
primary_V30,T,"{""1800"":2,""3600"":1,""10800"":1,""18000"":2}",2/2/1/1,1,True,
primary_V50,M_level,"{""high"":3,""low"":3}",3/3,0,True,
primary_V50,Q,"{""20"":3,""30"":3}",3/3,0,True,
primary_V50,T,"{""1800"":2,""3600"":2,""10800"":1,""18000"":1}",2/2/1/1,1,True,
execution_order,first_method,"{""k1_am_sf"":35,""pgrb"":15}",deterministic SHA parity; descriptive balance only,20,True,
