file,method,algorithm_preset,status,certified_original_problem,verifier_passed,thread_fairness_class,audit_passed,failures
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M1_low_gini_hard_seed7101_compact_bc_300s.json,wrapper_error,,wrapper_error,False,,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M1_low_gini_hard_seed7101_plain_cplex_300s.json,cplex,custom,optimal,True,True,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M1_low_gini_hard_seed7101_relaxation_only_300s.json,wrapper_error,,wrapper_error,False,,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_compact_bc_300s.json,wrapper_error,,wrapper_error,False,,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_compact_bc_300s_auto_oracle\interval_17.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_closed,False,False,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_compact_bc_300s_auto_oracle\interval_19.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_closed,False,False,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_compact_bc_300s_auto_oracle\interval_20.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_closed,False,False,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_plain_cplex_300s.json,cplex,custom,optimal,True,True,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V12_M2_tight_cutoff_hard_seed7102_relaxation_only_300s.json,wrapper_error,,wrapper_error,False,,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V16_M2_balanced_fractional_seed7103_compact_bc_300s.json,gcap-frontier,paper-gf-compact-bc,optimal,True,True,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V16_M2_balanced_fractional_seed7103_plain_cplex_300s.json,cplex,custom,optimal,True,True,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V16_M2_balanced_fractional_seed7103_relaxation_only_300s.json,gcap-frontier,paper-gf-compact-bc,optimal,True,True,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V20_M2_high_transfer_seed7104_compact_bc_300s.json,wrapper_error,,wrapper_timeout,False,,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V20_M2_high_transfer_seed7104_plain_cplex_300s.json,cplex,custom,not_certified,False,True,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V20_M2_high_transfer_seed7104_relaxation_only_300s.json,wrapper_error,,wrapper_timeout,False,,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V20_M3_dense_duration_seed7105_compact_bc_300s.json,wrapper_error,,wrapper_timeout,False,,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V20_M3_dense_duration_seed7105_plain_cplex_300s.json,cplex,custom,not_certified,False,True,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\generated_diag_V20_M3_dense_duration_seed7105_relaxation_only_300s.json,wrapper_error,,wrapper_timeout,False,,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_1_combined_safe_1200s.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_1_combined_safe_300s.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_1_combined_safe_3600s.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_1_combined_safe_60s.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_1_current_tailored_300s.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_1_current_tailored_60s.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_1_plain_300s.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_1_plain_60s.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_1_s_range_refinement_300s.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_closed,False,False,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_1_s_range_refinement_60s.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_closed,False,False,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_1_sp_product_estimator_300s.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_1_sp_product_estimator_60s.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_1_variable_s_centering_300s.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_1_variable_s_centering_60s.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_2_combined_safe_300s.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_2_combined_safe_60s.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_2_current_tailored_300s.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_2_current_tailored_60s.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_2_plain_300s.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_2_plain_60s.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_2_s_range_refinement_300s.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_closed,False,False,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_2_s_range_refinement_60s.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_closed,False,False,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_2_sp_product_estimator_300s.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_2_sp_product_estimator_60s.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_2_variable_s_centering_300s.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\interval_moderate_low_gini_2_variable_s_centering_60s.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
results\gf_compact_bc_lowgini_round\raw\smoke_lowgini_newcuts.json,interval-cutoff-oracle,paper-gf-compact-bc,interval_unresolved_timeout,False,False,one_thread_fair,True,
