leaf_id,parent_id,depth,gamma_L,gamma_U,terminal_valid,optimal,infeasible,bound_available,lower_bound,native_status,work,iterations,telemetry_seconds
R,"",0,0,0.71850407075497091,1,1,0,1,0.31853648128774964,"OPTIMAL",0.26255777862122487,793,0.29083890000000001
R.0,"R",1,0,0.35925203537748546,1,0,1,0,0,"INFEASIBLE",0.33386327446442821,1053,0.5771944
R.1,"R",1,0.35925203537748546,0.71850407075497091,1,1,0,1,0.58128060012152361,"OPTIMAL",0.25548053865977155,786,0.85012869999999996
R.1.0,"R.1",2,0.35925203537748546,0.53887805306622816,1,1,0,1,0.58956333674838779,"OPTIMAL",0.23994064385656891,791,1.1192963
R.1.1,"R.1",2,0.53887805306622816,0.71850407075497091,1,0,1,0,0,"INFEASIBLE",0.24981117661376259,800,1.3839273999999999
R.1.0.0,"R.1.0",3,0.35925203537748546,0.44906504422185678,1,1,0,1,0.59521651627960104,"OPTIMAL",0.27211377330155317,816,1.6665629
R.1.0.1,"R.1.0",3,0.44906504422185678,0.53887805306622816,1,1,0,1,0.65720345116560386,"OPTIMAL",0.22830240540637875,737,1.9322717
R.1.0.0.0,"R.1.0.0",4,0.35925203537748546,0.40415853979967109,1,0,1,0,0,"INFEASIBLE",0.82005651248080502,2881,2.3471728000000001
R.1.0.0.1,"R.1.0.0",4,0.40415853979967109,0.44906504422185678,1,1,0,1,0.62598346543560446,"OPTIMAL",0.25298816186376255,771,2.6271357000000002
R.1.0.0.1.0,"R.1.0.0.1",5,0.40415853979967109,0.42661179201076393,1,1,0,1,0.63382281055275735,"OPTIMAL",0.2459899249472989,725,2.9010818999999999
R.1.0.0.1.1,"R.1.0.0.1",5,0.42661179201076393,0.44906504422185678,1,1,0,1,0.64191703742822726,"OPTIMAL",0.28045296276647963,874,3.1840541
R.1.0.0.1.0.0,"R.1.0.0.1.0",6,0.40415853979967109,0.41538516590521751,1,1,0,1,0.64066258845288426,"OPTIMAL",0.25660536119093119,789,3.4670369999999999
R.1.0.0.1.0.1,"R.1.0.0.1.0",6,0.41538516590521751,0.42661179201076393,1,1,0,1,0.64125221213751948,"OPTIMAL",0.2599547112316572,796,3.7423947000000002
R.1.0.0.1.0.0.1,"R.1.0.0.1.0.0",7,0.40977185285244433,0.41538516590521751,1,1,0,1,0.64437119090041706,"OPTIMAL",0.25987086728354269,832,4.0175907999999998
R.1.0.0.1.0.0.0,"R.1.0.0.1.0.0",7,0.40415853979967109,0.40977185285244433,1,0,1,0,0,"INFEASIBLE",0.63707583041864513,2230,4.3828116000000001
R.1.0.0.1.0.1.0,"R.1.0.0.1.0.1",7,0.41538516590521751,0.4209984789579907,1,1,0,1,0.64462785072376405,"OPTIMAL",0.24766457458569222,746,4.6554814000000002
R.1.0.0.1.0.1.1,"R.1.0.0.1.0.1",7,0.4209984789579907,0.42661179201076393,1,1,0,1,0.64496380683157462,"OPTIMAL",0.25434139933086108,806,4.9306565999999998
R.1.0.0.1.1.0,"R.1.0.0.1.1",6,0.42661179201076393,0.43783841811631036,1,1,0,1,0.64354252678624313,"OPTIMAL",0.24467601548797449,736,5.2034960000000003
R.1.0.0.1.1.1,"R.1.0.0.1.1",6,0.43783841811631036,0.44906504422185678,1,1,0,1,0.65004542008588062,"OPTIMAL",0.25131347917175867,775,5.4791135000000004
R.1.0.0.1.1.0.1,"R.1.0.0.1.1.0",7,0.43222510506353717,0.43783841811631036,1,1,0,1,0.64728989048119678,"OPTIMAL",0.24774532364133314,805,5.7512052000000002
R.1.0.0.1.1.0.0,"R.1.0.0.1.1.0",7,0.42661179201076393,0.43222510506353717,1,1,0,1,0.64585288129205443,"OPTIMAL",0.26643563302394579,889,6.0258966000000003
R.1.0.0.1.0.0.1.0,"R.1.0.0.1.0.0.1",8,0.40977185285244433,0.41257850937883089,1,1,0,1,0.64614465406015587,"OPTIMAL",0.23667245627441236,795,6.2945216999999998
R.1.0.0.1.0.0.1.1,"R.1.0.0.1.0.0.1",8,0.41257850937883089,0.41538516590521751,1,1,0,1,0.64622584885353807,"OPTIMAL",0.25450597596142471,862,6.5720821000000003
R.1.0.0.1.0.1.0.1,"R.1.0.0.1.0.1.0",8,0.41819182243160413,0.4209984789579907,1,1,0,1,0.64649171787083803,"OPTIMAL",0.23948142913466947,761,6.8414263999999996
R.1.0.0.1.0.1.0.0,"R.1.0.0.1.0.1.0",8,0.41538516590521751,0.41819182243160413,1,1,0,1,0.64635313287071205,"OPTIMAL",0.2479892417078931,823,7.1164860000000001
R.1.0.0.1.0.1.1.0,"R.1.0.0.1.0.1.1",8,0.4209984789579907,0.42380513548437732,1,1,0,1,0.64664965967539945,"OPTIMAL",0.26758310217340786,852,7.3928576000000001
R.1.0.0.1.0.1.1.1,"R.1.0.0.1.0.1.1",8,0.42380513548437732,0.42661179201076393,1,1,0,1,0.64681876652863413,"OPTIMAL",0.2649226680280144,843,7.6718823
R.1.0.0.1.1.0.0.0,"R.1.0.0.1.1.0.0",8,0.42661179201076393,0.42941844853715055,1,1,0,1,0.64711741082489194,"OPTIMAL",0.23579420596888992,759,7.9379026000000001
R.1.0.0.1.1.0.0.1,"R.1.0.0.1.1.0.0",8,0.42941844853715055,0.43222510506353717,1,1,0,1,0.6477249198806212,"OPTIMAL",0.25469945606973626,781,8.2101775999999997
R.1.0.0.1.0.0.1.0.0,"R.1.0.0.1.0.0.1.0",9,0.40977185285244433,0.41117518111563761,1,0,1,0,0,"INFEASIBLE",0.71401660343367224,2309,8.5907754000000001
R.1.0.0.1.0.0.1.0.1,"R.1.0.0.1.0.0.1.0",9,0.41117518111563761,0.41257850937883089,1,1,0,1,0.64706858873231399,"OPTIMAL",0.23072063648536681,737,8.8585618000000004
R.1.0.0.1.0.0.1.1.1,"R.1.0.0.1.0.0.1.1",9,0.41398183764202423,0.41538516590521751,1,1,0,1,0.64715326930984096,"OPTIMAL",0.25931718634724615,807,9.1314595000000001
R.1.0.0.1.0.0.1.1.0,"R.1.0.0.1.0.0.1.1",9,0.41257850937883089,0.41398183764202423,1,1,0,1,0.64709642290801894,"OPTIMAL",0.26143869405058962,815,9.4035328000000007
R.1.0.0.1.0.1.0.0.0,"R.1.0.0.1.0.1.0.0",9,0.41538516590521751,0.41678849416841079,1,1,0,1,0.64721675819062729,"OPTIMAL",0.25660185017235898,785,9.6795547000000006
R.1.0.0.1.0.1.0.0.1,"R.1.0.0.1.0.1.0.0",9,0.41678849416841079,0.41819182243160413,1,1,0,1,0.64728293167277029,"OPTIMAL",0.25020357894676482,837,9.9472404000000001
R.1.0.0.1.0.1.0.1.0,"R.1.0.0.1.0.1.0.1",9,0.41819182243160413,0.41959515069479741,1,1,0,1,0.64735178169574548,"OPTIMAL",0.23846212508141662,775,10.215195400000001
R.1.0.0.1.0.1.0.1.1,"R.1.0.0.1.0.1.0.1",9,0.41959515069479741,0.4209984789579907,1,1,0,1,0.64742365858477768,"OPTIMAL",0.26076589539258455,862,10.4868703
R.1.0.0.1.0.1.1.0.1,"R.1.0.0.1.0.1.1.0",9,0.42240180722118403,0.42380513548437732,1,1,0,1,0.64757942464016383,"OPTIMAL",0.23408587956379509,787,10.7532025
R.1.0.0.1.0.1.1.0.0,"R.1.0.0.1.0.1.1.0",9,0.4209984789579907,0.42240180722118403,1,1,0,1,0.64750007010943478,"OPTIMAL",0.2701622894304862,817,11.029393300000001
R.1.0.0.1.0.1.1.1.0,"R.1.0.0.1.0.1.1.1",9,0.42380513548437732,0.4252084637475706,1,1,0,1,0.64766141344707207,"OPTIMAL",0.25734802217097791,787,11.297080599999999
R.1.0.0.1.0.1.1.1.1,"R.1.0.0.1.0.1.1.1",9,0.4252084637475706,0.42661179201076393,1,1,0,1,0.64774602867594633,"OPTIMAL",0.24585284343217573,740,11.5642315
R.1.0.0.1.0.0.1.0.1.0,"R.1.0.0.1.0.0.1.0.1",10,0.41117518111563761,0.41187684524723422,1,0,1,0,0,"INFEASIBLE",0.7478166382199023,2638,11.955039299999999
R.1.0.0.1.0.0.1.0.1.1,"R.1.0.0.1.0.0.1.0.1",10,0.41187684524723422,0.41257850937883089,1,1,0,1,0.64753058429447252,"OPTIMAL",0.24251505236223606,795,12.2313955
R.1.0.0.1.0.0.1.1.0.0,"R.1.0.0.1.0.0.1.1.0",10,0.41257850937883089,0.41328017351042756,1,1,0,1,0.64754452985783972,"OPTIMAL",0.25479410974615752,822,13.0156563
R.1.0.0.1.0.0.1.1.0.1,"R.1.0.0.1.0.0.1.1.0",10,0.41328017351042756,0.41398183764202423,1,1,0,1,0.64755919915457205,"OPTIMAL",0.24872083108240053,739,13.8444501
R.1.0.0.1.1.0.0.0.1,"R.1.0.0.1.1.0.0.0",9,0.42801512027395727,0.42941844853715055,1,1,0,1,0.64804556723641782,"OPTIMAL",0.27550805469090284,841,14.644049000000001
R.1.0.0.1.1.0.0.0.0,"R.1.0.0.1.1.0.0.0",9,0.42661179201076393,0.42801512027395727,1,1,0,1,0.64789244159814152,"OPTIMAL",0.26079666521936024,883,14.912489900000001
R.1.0.0.1.0.0.1.1.1.1,"R.1.0.0.1.0.0.1.1.1",10,0.4146835017736209,0.41538516590521751,1,1,0,1,0.64761700270304434,"OPTIMAL",0.26645721438537617,776,15.182199799999999
R.1.0.0.1.0.0.1.1.1.0,"R.1.0.0.1.0.0.1.1.1",10,0.41398183764202423,0.4146835017736209,1,1,0,1,0.64758597094085002,"OPTIMAL",0.25339414031481061,832,16.393981799999999
R.1.0.0.1.0.1.0.0.0.0,"R.1.0.0.1.0.1.0.0.0",10,0.41538516590521751,0.41608683003681413,1,1,0,1,0.64764870858051804,"OPTIMAL",0.28005592713831962,879,17.159002399999999
R.1.0.0.1.0.1.0.0.0.1,"R.1.0.0.1.0.1.0.0.0",10,0.41608683003681413,0.41678849416841079,1,1,0,1,0.64768108755735743,"OPTIMAL",0.25492458823356129,820,18.382841299999999
R.1.0.0.1.0.1.0.0.1.0,"R.1.0.0.1.0.1.0.0.1",10,0.41678849416841079,0.41749015830000746,1,1,0,1,0.64771413861968863,"OPTIMAL",0.24808371269241197,810,19.604953200000001
R.1.0.0.1.0.1.0.0.1.1,"R.1.0.0.1.0.1.0.0.1",10,0.41749015830000746,0.41819182243160413,1,1,0,1,0.64774786075567481,"OPTIMAL",0.25853615871532842,799,20.8464858
R.1.0.0.1.1.0.1.0,"R.1.0.0.1.1.0.1",8,0.43222510506353717,0.43503176158992374,1,1,0,1,0.64839969555890897,"OPTIMAL",0.22903809199822614,760,22.266546900000002
R.1.0.0.1.1.0.1.1,"R.1.0.0.1.1.0.1",8,0.43503176158992374,0.43783841811631036,1,1,0,1,0.64916275927619016,"OPTIMAL",0.25230006090292856,849,22.535671199999999
R.1.0.0.1.0.1.0.1.0.1,"R.1.0.0.1.0.1.0.1.0",10,0.4188934865632008,0.41959515069479741,1,1,0,1,0.64781731421139988,"OPTIMAL",0.26826840211714836,874,22.802174999999998
R.1.0.0.1.0.1.0.1.0.0,"R.1.0.0.1.0.1.0.1.0",10,0.41819182243160413,0.4188934865632008,1,1,0,1,0.64778225295550584,"OPTIMAL",0.2404438846615988,729,23.979527699999998
R.1.0.0.1.0.1.0.1.1.0,"R.1.0.0.1.0.1.0.1.1",10,0.41959515069479741,0.42029681482639403,1,1,0,1,0.64785304351759354,"OPTIMAL",0.25177802123163839,780,25.186745299999998
R.1.0.0.1.0.1.0.1.1.1,"R.1.0.0.1.0.1.0.1.1",10,0.42029681482639403,0.4209984789579907,1,1,0,1,0.6478896306601144,"OPTIMAL",0.25296440211474563,783,26.481407900000001
R.1.0.0.1.0.1.1.0.0.0,"R.1.0.0.1.0.1.1.0.0",10,0.4209984789579907,0.42170014308958736,1,1,0,1,0.6479271901419269,"OPTIMAL",0.25707287092352055,795,27.662031899999999
R.1.0.0.1.0.1.1.0.0.1,"R.1.0.0.1.0.1.1.0.0",10,0.42170014308958736,0.42240180722118403,1,1,0,1,0.64796555174025228,"OPTIMAL",0.24743651128693714,861,28.833292700000001
R.1.0.0.1.0.1.1.0.1.1,"R.1.0.0.1.0.1.1.0.1",10,0.4231034713527807,0.42380513548437732,1,1,0,1,0.64804426217154187,"OPTIMAL",0.26365754998602431,888,30.0435151
R.1.0.0.1.0.1.1.0.1.0,"R.1.0.0.1.0.1.1.0.1",10,0.42240180722118403,0.4231034713527807,1,1,0,1,0.64800457608105033,"OPTIMAL",0.25405694971135134,738,31.209749899999998
R.1.0.0.1.0.1.1.1.0.0,"R.1.0.0.1.0.1.1.1.0",10,0.42380513548437732,0.42450679961597393,1,1,0,1,0.64808460902093123,"OPTIMAL",0.25802431748349647,815,32.402135999999999
R.1.0.0.1.0.1.1.1.0.1,"R.1.0.0.1.0.1.1.1.0",10,0.42450679961597393,0.4252084637475706,1,1,0,1,0.64812561564039828,"OPTIMAL",0.24731919127829169,766,34.241015400000002
R.1.0.0.1.1.0.0.1.0,"R.1.0.0.1.1.0.0.1",9,0.42941844853715055,0.43082177680034384,1,1,0,1,0.64833931947551271,"OPTIMAL",0.25132159749685318,819,36.553447499999997
R.1.0.0.1.1.0.0.1.1,"R.1.0.0.1.1.0.0.1",9,0.43082177680034384,0.43222510506353717,1,1,0,1,0.64866073826128534,"OPTIMAL",0.24430133832629083,739,36.815635800000003
R.1.0.0.1.0.1.1.1.1.0,"R.1.0.0.1.0.1.1.1.1",10,0.4252084637475706,0.42591012787916727,1,1,0,1,0.64816728104309584,"OPTIMAL",0.27911333495254814,812,37.085777899999997
R.1.0.0.1.0.1.1.1.1.1,"R.1.0.0.1.0.1.1.1.1",10,0.42591012787916727,0.42661179201076393,1,1,0,1,0.64820960424414387,"OPTIMAL",0.28545224019914522,859,39.248304300000001
R.1.0.0.1.1.0.0.0.0.0,"R.1.0.0.1.1.0.0.0.0",10,0.42661179201076393,0.4273134561423606,1,1,0,1,0.64828178364644606,"OPTIMAL",0.25727175298947813,741,41.302558400000002
R.1.0.0.1.1.0.0.0.0.1,"R.1.0.0.1.1.0.0.0.0",10,0.4273134561423606,0.42801512027395727,1,1,0,1,0.64835715019679363,"OPTIMAL",0.25159216004743368,740,44.019599200000002
