run_id,child_uid,parent_uid,sibling_uid,creation_time,first_process_time,delay_seconds,creation_node_count,first_process_node_count,delay_processed_nodes,child_estimate,domain_estimate,estimate_lift,estimate_mode
stage1__high_imbalance_seed3202__s0_cplex__300s,1,0,2,5.8343246000000004,5.8354480999999998,0.0011234999999993889,0,1,1,1.4533943380542116,0.58921478404014316,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,2,0,1,5.8343246000000004,6.2124442999999996,0.37811969999999917,0,2,2,1.4533943380542116,1.0642147840401432,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,3,2,4,6.4722849,6.4737749000000004,0.0014900000000004354,2,3,1,1.6500930407672763,1.0642147840401432,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,5,3,6,6.5716466000000002,6.5728707999999996,0.0012241999999993425,3,4,1,1.6508998110975803,1.0642147840401432,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,6,3,5,6.5716466000000002,7.0487656999999997,0.47711909999999946,3,5,2,1.6508998110975803,1.1829647840401432,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,7,5,8,6.6872530000000001,7.1368431000000001,0.44959009999999999,4,6,2,1.6529318662048271,1.0642147840401432,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,11,7,12,7.2939714000000002,7.3334071999999999,0.039435799999999688,6,7,1,1.6570110581061983,1.0642147840401432,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,12,7,11,7.2939714000000002,7.9805320000000002,0.68656059999999997,6,8,2,1.6570110581061983,1.0939022840401431,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,15,12,16,8.16418,8.1657858999999995,0.0016058999999994938,8,9,1,1.6642545768642398,1.0939022840401431,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,16,12,15,8.16418,8.3795757000000002,0.21539570000000019,8,10,2,1.6642545768642398,1.1087460340401432,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,19,16,20,8.5199385000000003,8.5262723000000005,0.0063338000000001671,10,11,1,1.6683017516413803,1.1087460340401432,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,21,19,22,8.6343248999999993,8.6357861000000007,0.0014612000000013836,11,12,1,1.6684098823318048,1.1087460340401432,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,22,19,21,8.6343248999999993,8.7680305000000001,0.13370560000000076,11,13,2,1.6684098823318048,1.1124569715401431,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,23,21,24,8.7332683000000007,8.8941120999999992,0.16084379999999854,12,14,2,1.6685118073279597,1.1087460340401432,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,24,21,23,8.7332683000000007,9.0334640000000004,0.30019569999999973,12,15,3,1.6685118073279597,1.1106015027901432,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,29,24,30,9.1339682,9.1357537999999998,0.0017855999999998318,15,16,1,1.6689957615265174,1.1106015027901432,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,8,5,7,6.6872530000000001,16.7129482,10.025695199999999,4,43,39,1.6529318662048271,1.1235897840401432,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,77,8,78,16.788296200000001,16.789870100000002,0.00157390000000035,43,44,1,1.6790561987779848,1.1235897840401432,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,78,8,77,16.788296200000001,16.9163979,0.12810169999999843,43,45,2,1.6790561987779848,1.1532772840401431,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,79,77,80,16.8503221,17.004817299999999,0.1544951999999995,44,46,2,1.6790561987779848,1.1235897840401432,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,80,77,79,16.8503221,17.080438999999998,0.23011689999999874,44,47,3,1.6790561987779848,1.1384335340401432,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,83,79,84,17.069758,17.157851699999998,0.088093699999998165,46,48,2,1.6790561987779848,1.1235897840401432,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,84,79,83,17.069758,17.234347,0.16458899999999943,46,49,3,1.6790561987779848,1.1310116590401433,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,87,83,88,17.2236011,17.314616699999998,0.091015599999998642,48,50,2,1.6790561987779848,1.1235897840401432,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,88,83,87,17.2236011,17.862583399999998,0.63898229999999856,48,51,3,1.6790561987779848,1.1273007215401432,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,91,87,92,17.3799016,17.990440100000001,0.61053850000000054,50,52,2,1.6790561987779848,1.1235897840401432,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,92,87,91,17.3799016,18.085548500000002,0.70564690000000141,50,53,3,1.6790561987779848,1.1254452527901431,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,95,91,96,18.072648000000001,18.167396700000001,0.094748700000000241,52,54,2,1.6790561987779848,1.1235897840401432,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,96,91,95,18.072648000000001,18.336653299999998,0.26400529999999733,52,55,3,1.6790561987779848,1.1245175184151432,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,20,16,19,8.5199385000000003,22.042930599999998,13.522992099999998,10,94,84,1.6683017516413803,1.1161679090401431,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,167,20,168,22.137234100000001,22.1385653,0.0013311999999991997,94,95,1,1.6716592047556986,1.1161679090401431,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,169,167,170,22.2288614,22.230070000000001,0.0012086000000017805,95,96,1,1.6716592047557028,1.1161679090401431,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,171,169,172,22.318845700000001,22.320230800000001,0.00138510000000025,96,97,1,1.6716592047557028,1.1161679090401431,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,18,15,17,8.3254522000000009,24.041471399999999,15.716019199999998,9,142,133,1.6687369319556937,1.1013241590401432,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,257,18,258,24.169049699999999,24.179062999999999,0.010013300000000669,142,143,1,1.6692337389215144,1.1013241590401432,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,258,18,257,24.169049699999999,24.355634599999998,0.18658489999999972,142,144,2,1.6692337389215144,1.1050350965401432,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,261,258,262,24.499313099999998,24.518905100000001,0.01959200000000294,144,145,1,1.6694841954438497,1.1050350965401432,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,263,261,264,24.707622199999999,24.717650500000001,0.010028300000001877,145,146,1,1.670662638810579,1.1050350965401432,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,264,261,263,24.707622199999999,24.839930899999999,0.13230869999999939,145,147,2,1.670662638810579,1.1059628309151432,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,17,15,18,8.3254522000000009,26.1337388,17.808286599999999,9,181,172,1.6687369319556937,1.0939022840401431,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,329,17,330,26.305263499999999,26.3322705,0.027007000000001113,181,182,1,1.67522020108771,1.0939022840401431,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,330,17,329,26.305263499999999,26.4714396,0.16617610000000127,181,183,2,1.67522020108771,1.0976132215401431,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,333,330,334,26.561407200000001,26.5836018,0.022194599999998843,183,184,1,1.6752202010877102,1.0976132215401431,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,334,330,333,26.561407200000001,26.726285099999998,0.16487789999999691,183,185,2,1.6752202010877102,1.0994686902901432,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,337,334,338,26.818252300000001,26.8514199,0.033167599999998743,185,186,1,1.6752202010877102,1.0994686902901432,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,338,334,337,26.818252300000001,26.949822300000001,0.13156999999999996,185,187,2,1.6752202010877102,1.1003964246651432,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,28,23,27,9.0182397000000005,29.106467899999998,20.088228199999996,14,239,225,1.6687485068912156,1.1096737684151432,0,parent-copy
stage1__high_imbalance_seed3202__s0_cplex__300s,27,23,28,9.0182397000000005,31.5190263,22.500786599999998,14,277,263,1.6687485068912156,1.1087460340401432,0,parent-copy
