telemetry_seconds,event,leaf_id,gamma_L,gamma_U,status,global_lb,verified_ub,detail
0.407659,lp_complete,R,0,0.95,open,0.785838,1.15425,"complete_optimal_interval_lp_bound"
0.407686,atomic_unconditional_split,R,0,0.95,replaced,0.785838,1.15425,"initial_partition"
0.810953,lp_complete,R.0,0,0.475,open,0.785838,1.15425,"complete_optimal_interval_lp_bound"
0.810975,atomic_unconditional_split,R.0,0,0.475,replaced,0.785838,1.15425,"initial_partition"
1.15002,lp_complete,R.1,0.475,0.95,open,0.827463,1.15425,"complete_optimal_interval_lp_bound"
1.15005,atomic_unconditional_split,R.1,0.475,0.95,replaced,0.827463,1.15425,"initial_partition"
1.3885,lp_infeasible,R.0.0,0,0.2375,empty,0.827463,1.15425,"complete_interval_lp_infeasible"
1.81416,lp_complete,R.0.1,0.2375,0.475,open,0.937301,1.15425,"complete_optimal_interval_lp_bound"
1.81418,atomic_unconditional_split,R.0.1,0.2375,0.475,replaced,0.937301,1.15425,"adaptive_refinement"
2.28598,lp_complete,R.0.1.0,0.2375,0.35625,open,0.937301,1.15425,"complete_optimal_interval_lp_bound"
2.28601,atomic_unconditional_split,R.0.1.0,0.2375,0.35625,replaced,0.937301,1.15425,"adaptive_refinement"
2.70199,lp_complete,R.0.1.1,0.35625,0.475,open,0.989354,1.15425,"complete_optimal_interval_lp_bound"
2.70201,atomic_unconditional_split,R.0.1.1,0.35625,0.475,replaced,0.989354,1.15425,"adaptive_refinement"
3.16453,lp_complete,R.0.1.0.1,0.296875,0.35625,open,0.989354,1.15425,"complete_optimal_interval_lp_bound"
3.16456,atomic_unconditional_split,R.0.1.0.1,0.296875,0.35625,replaced,0.989354,1.15425,"adaptive_refinement"
3.42081,lp_infeasible,R.0.1.0.0,0.2375,0.296875,empty,0.997604,1.15425,"complete_interval_lp_infeasible"
3.8139,lp_complete,R.0.1.1.0,0.35625,0.415625,open,0.997604,1.15425,"complete_optimal_interval_lp_bound"
3.81393,atomic_unconditional_split,R.0.1.1.0,0.35625,0.415625,replaced,0.997604,1.15425,"adaptive_refinement"
4.18715,lp_complete,R.0.1.1.1,0.415625,0.475,open,0.999981,1.15425,"complete_optimal_interval_lp_bound"
4.18718,atomic_unconditional_split,R.0.1.1.1,0.415625,0.475,replaced,0.999981,1.15425,"adaptive_refinement"
4.61149,lp_complete,R.0.1.1.0.0,0.35625,0.385937,open,0.999981,1.15425,"complete_optimal_interval_lp_bound"
4.61152,atomic_unconditional_split,R.0.1.1.0.0,0.35625,0.385937,replaced,0.999981,1.15425,"adaptive_refinement"
5.02663,lp_complete,R.0.1.1.0.1,0.385937,0.415625,open,1.00418,1.15425,"complete_optimal_interval_lp_bound"
5.02665,atomic_unconditional_split,R.0.1.1.0.1,0.385937,0.415625,replaced,1.00418,1.15425,"adaptive_refinement"
5.46736,lp_complete,R.0.1.1.0.0.0,0.35625,0.371094,open,1.00418,1.15425,"complete_optimal_interval_lp_bound"
5.46739,atomic_unconditional_split,R.0.1.1.0.0.0,0.35625,0.371094,replaced,1.00418,1.15425,"adaptive_refinement"
5.93185,lp_complete,R.0.1.1.0.0.1,0.371094,0.385937,open,1.01069,1.15425,"complete_optimal_interval_lp_bound"
5.93187,atomic_unconditional_split,R.0.1.1.0.0.1,0.371094,0.385937,replaced,1.01069,1.15425,"adaptive_refinement"
