leaf_id,parent_id,child_index,depth,gamma_L,gamma_U,base_lower_bound,current_lower_bound,cutoff,status,lp_complete,lp_optimal,lp_infeasible,lp_bound,lp_native_status,terminal_mip_started,terminal_native_status,closure_source,model_sha256,row_signature,parent_child_coverage_valid,parent_replaced,lower_bound_sources
R,"",-1,0,0,0.16885733659692667,0,0.051024838969237298,0.16885733659692667,replaced,1,1,0,0.051024838969237298,"OPTIMAL",0,"not_run","",19ccbf7c36eabf4e4bff0b1f7619fb031ece9b2277e6eb1d2888c8cedda6e62d,19ccbf7c36eabf4e4bff0b1f7619fb031ece9b2277e6eb1d2888c8cedda6e62d,1,1,"objective_nonnegative_penalty_and_root_gini_floor;complete_optimal_interval_lp_bound"
R.0,"R",0,1,0,0.084428668298463336,0.051024838969237298,0.052569881358447715,0.16885733659692667,replaced,1,1,0,0.052569881358447715,"OPTIMAL",0,"not_run","",15600f9e500bea7332d728a5f02163d4988dba8a64d93c9f35343485409f3d4b,15600f9e500bea7332d728a5f02163d4988dba8a64d93c9f35343485409f3d4b,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.1,"R",1,1,0.084428668298463336,0.16885733659692667,0.051024838969237298,0.11831215236881806,0.16885733659692667,replaced,1,1,0,0.11831215236881806,"OPTIMAL",0,"not_run","",af40174128798b2beed2ebc9a1ff56fc245098d20d2fd864f7085abe2f4f3c88,af40174128798b2beed2ebc9a1ff56fc245098d20d2fd864f7085abe2f4f3c88,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0,"R.0",0,2,0,0.042214334149231668,0.052569881358447715,0.057144635390030694,0.16885733659692667,replaced,1,1,0,0.057144635390030694,"OPTIMAL",0,"not_run","",09a058fdbe18f974c9d0fa8110e9e6c72f6ccbd3479b7202ef35ca097ecadfc6,09a058fdbe18f974c9d0fa8110e9e6c72f6ccbd3479b7202ef35ca097ecadfc6,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.1,"R.0",1,2,0.042214334149231668,0.084428668298463336,0.052569881358447715,0.083514114925258745,0.16885733659692667,replaced,1,1,0,0.083514114925258745,"OPTIMAL",0,"not_run","",bce4d7a211042eb11e954de410476993f47bd78db51695be748b5558957ac07e,bce4d7a211042eb11e954de410476993f47bd78db51695be748b5558957ac07e,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.1.0,"R.1",0,2,0.084428668298463336,0.126643002447695,0.11831215236881806,0.11831215236881806,0.16885733659692667,open,0,0,0,0,"not_run",0,"not_run","",,,1,0,"inherited_complete_parent_lp_bound"
R.1.1,"R.1",1,2,0.126643002447695,0.16885733659692667,0.11831215236881806,0.11831215236881806,0.16885733659692667,open,0,0,0,0,"not_run",0,"not_run","",,,1,0,"inherited_complete_parent_lp_bound"
R.0.0.0,"R.0.0",0,3,0,0.021107167074615834,0.057144635390030694,0.06615752602729702,0.16885733659692667,replaced,1,1,0,0.06615752602729702,"OPTIMAL",0,"not_run","",a66ec0d83ff6775c6324cde9fb0ae6cba1f2b46385ff51fb272b31bd6eea6ba3,a66ec0d83ff6775c6324cde9fb0ae6cba1f2b46385ff51fb272b31bd6eea6ba3,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0.1,"R.0.0",1,3,0.021107167074615834,0.042214334149231668,0.057144635390030694,0.070914965519364548,0.16885733659692667,replaced,1,1,0,0.070914965519364548,"OPTIMAL",0,"not_run","",206014ab49ee7b722a060e3ac5a2dcc435cad255a09082f6e55c9e9cae0ecf1a,206014ab49ee7b722a060e3ac5a2dcc435cad255a09082f6e55c9e9cae0ecf1a,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.1.0,"R.0.1",0,3,0.042214334149231668,0.063321501223847498,0.083514114925258745,0.083514114925258745,0.16885733659692667,open,0,0,0,0,"not_run",0,"not_run","",,,1,0,"inherited_complete_parent_lp_bound"
