leaf_id,solve_kind,native_status,optimize_return_code,global_deadline_remaining_at_launch,solver_runtime,work,nodes,simplex_iterations,barrier_iterations,memory_gb,model_sha256,in_memory_model_reused,integer_domain_restored,basis_reuse_status,native_log
L0,LP,"INFEASIBLE",0,158.7511619,0.053999900817871094,0.17199923510163037,0,428,0,0.017374671000000001,ac2cd14b2ffdede149b41de827edec418f598a33c4fe0bc00fd4ec1c458710d0,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gini_geometry_mechanism_round37\baseline_equivalence_post_implementation_runs\V12_M1__round37_candidate_default_off\external\native_logs\L0_lp.gurobi.log"
L1,LP,"OPTIMAL",0,158.5875092,0.056999921798706055,0.17555800061836424,0,687,0,0.017579405999999999,0c91630b5a9a013aff2995611b0c57c7c85fa4a13aebf8a6cd43db3535c748e9,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gini_geometry_mechanism_round37\baseline_equivalence_post_implementation_runs\V12_M1__round37_candidate_default_off\external\native_logs\L1_lp.gurobi.log"
L2,LP,"OPTIMAL",0,158.420491,0.067000150680541992,0.20622882313992469,0,757,0,0.018831067999999999,d6df33007543347a48dd57fce7519bccad9c1dc3318dd9a727fc143bb269026e,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gini_geometry_mechanism_round37\baseline_equivalence_post_implementation_runs\V12_M1__round37_candidate_default_off\external\native_logs\L2_lp.gurobi.log"
L3,LP,"OPTIMAL",0,158.2442528,0.057000160217285156,0.17539664207825542,0,698,0,0.019938055,1e3f5f7b4fc0372159ef8067260a575e5a553745de7be14e2034f16f83bd8c53,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gini_geometry_mechanism_round37\baseline_equivalence_post_implementation_runs\V12_M1__round37_candidate_default_off\external\native_logs\L3_lp.gurobi.log"
L1,NEXT_LEAF_TARGET_MIP,"INFEASIBLE",0,158.1600258,0.21899986267089844,0.42898643887836202,1,753,0,0.025412549,0c91630b5a9a013aff2995611b0c57c7c85fa4a13aebf8a6cd43db3535c748e9,1,0,"not_requested","E:\codes\ExactEBRP\results\gf_gini_geometry_mechanism_round37\baseline_equivalence_post_implementation_runs\V12_M1__round37_candidate_default_off\external\native_logs\L1_c6_1_next_leaf_target_mip.gurobi.log"
L2,NEXT_LEAF_TARGET_MIP,"INTERRUPTED",0,157.9290067,21.184000015258789,31.865077239562901,2659,71915,0,0.068509657000000002,d6df33007543347a48dd57fce7519bccad9c1dc3318dd9a727fc143bb269026e,1,0,"not_requested","E:\codes\ExactEBRP\results\gf_gini_geometry_mechanism_round37\baseline_equivalence_post_implementation_runs\V12_M1__round37_candidate_default_off\external\native_logs\L2_c6_1_next_leaf_target_mip.gurobi.log"
L3,NEXT_LEAF_TARGET_MIP,"INFEASIBLE",0,136.7326626,0.2649998664855957,0.45765353304680662,1,720,0,0.068509657000000002,1e3f5f7b4fc0372159ef8067260a575e5a553745de7be14e2034f16f83bd8c53,1,0,"not_requested","E:\codes\ExactEBRP\results\gf_gini_geometry_mechanism_round37\baseline_equivalence_post_implementation_runs\V12_M1__round37_candidate_default_off\external\native_logs\L3_c6_1_next_leaf_target_mip.gurobi.log"
L2.0,LP,"OPTIMAL",0,136.3734441,0.059000015258789062,0.19439865000503831,0,697,0,0.068509657000000002,1ec97f83afc4ab522fa588f01f375523a508a22fe606c473dd005d63399fecee,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gini_geometry_mechanism_round37\baseline_equivalence_post_implementation_runs\V12_M1__round37_candidate_default_off\external\native_logs\L2.0_lp.gurobi.log"
L2.1,LP,"OPTIMAL",0,136.2028923,0.060999870300292969,0.20738895353203288,0,840,0,0.068509657000000002,0c7d6c9bc90373102ae2dc8e56df44be7cadc0d78d37866f787c99a062575077,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gini_geometry_mechanism_round37\baseline_equivalence_post_implementation_runs\V12_M1__round37_candidate_default_off\external\native_logs\L2.1_lp.gurobi.log"
L2,MIP,"OPTIMAL",0,136.11498929999999,0.86800003051757812,1.5804979237797714,3206,80608,0,0.068509657000000002,d6df33007543347a48dd57fce7519bccad9c1dc3318dd9a727fc143bb269026e,1,0,"not_requested","E:\codes\ExactEBRP\results\gf_gini_geometry_mechanism_round37\baseline_equivalence_post_implementation_runs\V12_M1__round37_candidate_default_off\external\native_logs\L2_terminal_mip.gurobi.log"
