sequence,process_seconds,event,status,nominal_deadline_remaining_seconds,work_deadline_remaining_seconds,detail
0,0,"process_entry","start",179.99912710000001,164.99912710000001,"absolute process deadline origin"
1,0.0010836999999999999,"instance_parsing_start","start",179.99891640000001,164.99891629999999,"E:\codes\ExactEBRP\reference\qualification_round32\V20_M2\round32_multi_m_high_imbalance_V20_M2_seed1052706459.txt"
2,0.0019846,"instance_parsing_complete","complete",179.99801550000001,164.99801540000001,"instance=round32_multi_m_high_imbalance_V20_M2_seed1052706459.txt"
3,0.002238,"initial_model_data_preprocessing_complete","complete",179.99776199999999,164.99776199999999,"instance data initialized; empty-route incumbent independently verified"
4,0.0026256999999999999,"hga_start","start",179.99737429999999,164.99737429999999,"label=primary_hga;native_generation_stagnation_hga"
5,7.0443356000000001,"hga_generation_loop_complete","complete",172.95566460000001,157.95566439999999,"label=primary_hga;generations=2905;no_improve=2000"
6,7.0491764000000003,"hga_best_solution_extraction_start","start",172.95082379999999,157.95082360000001,"label=primary_hga"
7,7.0493236000000001,"hga_best_solution_extraction_complete","complete",172.95067649999999,157.95067639999999,"label=primary_hga"
8,7.0494694999999998,"hga_route_decoding_start","start",172.95053060000001,157.95053050000001,"label=primary_hga"
9,7.0498137999999999,"hga_route_decoding_complete","complete",172.95018619999999,157.95018619999999,"label=primary_hga"
10,7.0499207999999998,"independent_hga_verification_start","start",172.9500793,157.9500793,"label=primary_hga"
11,7.0500045,"independent_hga_verification_complete","complete",172.9499955,157.9499955,"label=primary_hga;feasible=true"
12,7.0589282999999998,"improving_gini_range_construction_complete","complete",172.9410718,157.94107170000001,"lower=0.000000;upper=0.950000;complete=true"
13,7.0590532000000001,"exact_phase_start","start",172.9409469,157.94094680000001,"arm=round31-nonblocking-native-bound"
14,7.0591768000000004,"connectivity_flow_preparation_complete","complete",172.94082320000001,157.94082320000001,"variant=round20-current"
15,7.0666222000000003,"gurobi_environment_creation","complete",172.933378,157.93337779999999,"fixed_interval_backend"
16,7.0667948999999997,"external_backend_creation","complete",172.9332053,157.9332052,"backend=gurobi;arm=C6-CANDIDATE"
17,7.0672952999999996,"external_artifact_directory_creation","complete",172.93270480000001,157.93270480000001,"E:\codes\ExactEBRP\results\gf_gini_geometry_mechanism_round37\baseline_equivalence_post_implementation_runs\round32_multi_m_high_imbalance_V20_M2_seed1052706459__round36_frozen\external"
18,7.0687389999999999,"first_tree_ledger_opened","complete",172.93126119999999,157.93126100000001,"E:\codes\ExactEBRP\results\gf_gini_geometry_mechanism_round37\baseline_equivalence_post_implementation_runs\round32_multi_m_high_imbalance_V20_M2_seed1052706459__round36_frozen\external\paper_tree_events.csv"
19,7.0690258000000004,"first_external_tree_event","start",172.9309743,157.93097420000001,"scheduler_select_next"
20,7.0691360000000003,"root_canonical_model_construction_start","start",172.93086399999999,157.93086399999999,"leaf=L0"
21,7.0693596000000003,"first_interval_model_build","start",172.9306406,157.93064050000001,"leaf=L0"
22,7.1573551000000002,"static_row_factory_preparation_complete","complete",172.84264519999999,157.8426451,"canonical strengthened interval row factory"
23,7.1575031999999998,"root_canonical_model_construction_complete","complete",172.84249690000001,157.84249679999999,"leaf=L0"
24,7.1575873999999997,"first_interval_model_build_complete","complete",172.84241270000001,157.84241270000001,"leaf=L0"
25,7.1576934000000003,"first_lp_optimize_launch","start",172.8423066,157.8423066,"leaf=L0"
26,10.9331063,"final_result_serialization_start","start",169.06689399999999,154.0668938,""
27,10.9345584,"final_result_serialization_complete","complete",169.0654418,154.06544159999999,""
28,10.934650299999999,"process_exit","complete",169.06534980000001,154.06534970000001,"rc=0"
