sequence,process_seconds,event,status,nominal_deadline_remaining_seconds,work_deadline_remaining_seconds,detail
0,0,"process_entry","start",179.99907909999999,164.9990789,"absolute process deadline origin"
1,0.0013351000000000001,"instance_parsing_start","start",179.99866510000001,164.99866499999999,"E:\codes\ExactEBRP\reference\qualification_round32\V20_M2\round32_multi_m_high_imbalance_V20_M2_seed1052706459.txt"
2,0.0024277999999999999,"instance_parsing_complete","complete",179.9975723,164.99757220000001,"instance=round32_multi_m_high_imbalance_V20_M2_seed1052706459.txt"
3,0.0026901,"initial_model_data_preprocessing_complete","complete",179.9973099,164.9973099,"instance data initialized; empty-route incumbent independently verified"
4,0.0034242999999999999,"hga_start","start",179.99657579999999,164.99657569999999,"label=primary_hga;native_generation_stagnation_hga"
5,6.8490919000000003,"hga_generation_loop_complete","complete",173.1509082,158.15090810000001,"label=primary_hga;generations=2905;no_improve=2000"
6,6.8534040000000003,"hga_best_solution_extraction_start","start",173.1465963,158.14659610000001,"label=primary_hga"
7,6.8534930000000003,"hga_best_solution_extraction_complete","complete",173.1465072,158.14650710000001,"label=primary_hga"
8,6.8535664000000001,"hga_route_decoding_start","start",173.14643359999999,158.14643359999999,"label=primary_hga"
9,6.8538519000000004,"hga_route_decoding_complete","complete",173.1461482,158.1461482,"label=primary_hga"
10,6.8539377000000004,"independent_hga_verification_start","start",173.14606240000001,158.14606240000001,"label=primary_hga"
11,6.8540163999999999,"independent_hga_verification_complete","complete",173.14598359999999,158.14598359999999,"label=primary_hga;feasible=true"
12,6.8625335999999999,"improving_gini_range_construction_complete","complete",173.13746649999999,158.13746649999999,"lower=0.000000;upper=0.950000;complete=true"
13,6.8626386999999998,"exact_phase_start","start",173.13736130000001,158.13736130000001,"arm=round31-nonblocking-native-bound"
14,6.8627661,"connectivity_flow_preparation_complete","complete",173.13723390000001,158.13723390000001,"variant=round20-current"
15,6.8694544000000004,"gurobi_environment_creation","complete",173.13054579999999,158.1305457,"fixed_interval_backend"
16,6.8696029999999997,"external_backend_creation","complete",173.13039710000001,158.13039699999999,"backend=gurobi;arm=C6-CANDIDATE"
17,6.8699699000000001,"external_artifact_directory_creation","complete",173.13003019999999,158.13003019999999,"E:\codes\ExactEBRP\results\gf_gini_geometry_mechanism_round37\baseline_equivalence_runs\round32_multi_m_high_imbalance_V20_M2_seed1052706459__round36_frozen\external"
18,6.8709461999999997,"first_tree_ledger_opened","complete",173.1290539,158.1290539,"E:\codes\ExactEBRP\results\gf_gini_geometry_mechanism_round37\baseline_equivalence_runs\round32_multi_m_high_imbalance_V20_M2_seed1052706459__round36_frozen\external\paper_tree_events.csv"
19,6.8712127000000001,"first_external_tree_event","start",173.1287873,158.1287873,"scheduler_select_next"
20,6.8713224000000004,"root_canonical_model_construction_start","start",173.1286776,158.1286776,"leaf=L0"
21,6.8714158999999997,"first_interval_model_build","start",173.12858420000001,158.12858410000001,"leaf=L0"
22,6.9572012000000001,"static_row_factory_preparation_complete","complete",173.042799,158.04279890000001,"canonical strengthened interval row factory"
23,6.9573235999999996,"root_canonical_model_construction_complete","complete",173.0426765,158.0426764,"leaf=L0"
24,6.9574042,"first_interval_model_build_complete","complete",173.04259579999999,158.04259579999999,"leaf=L0"
25,6.9574940999999999,"first_lp_optimize_launch","start",173.042506,158.04250590000001,"leaf=L0"
26,10.7130264,"final_result_serialization_start","start",169.2869738,154.2869737,""
27,10.7146349,"final_result_serialization_complete","complete",169.2853653,154.2853652,""
28,10.714787599999999,"process_exit","complete",169.28521240000001,154.28521240000001,"rc=0"
