sequence,process_seconds,event,status,nominal_deadline_remaining_seconds,work_deadline_remaining_seconds,detail
0,0,"process_entry","start",479.99916780000001,464.99916780000001,"absolute process deadline origin"
1,0.0010134,"instance_parsing_start","start",479.99898660000002,464.99898660000002,"E:\codes\ExactEBRP\reference\heldout_round26\V50_M3\high_imbalance_seed6202.txt"
2,0.0026974,"instance_parsing_complete","complete",479.99730269999998,464.99730260000001,"instance=high_imbalance_seed6202.txt"
3,0.0030257000000000001,"initial_model_data_preprocessing_complete","complete",479.9969744,464.99697429999998,"instance data initialized; empty-route incumbent independently verified"
4,0.0035557000000000002,"hga_start","start",479.99644439999997,464.99644439999997,"label=primary_hga;native_generation_stagnation_hga"
5,21.258970600000001,"hga_generation_loop_complete","complete",458.74102959999999,443.74102950000002,"label=primary_hga;generations=3137;no_improve=2000"
6,21.2673405,"hga_best_solution_extraction_start","start",458.73265980000002,443.73265959999998,"label=primary_hga"
7,21.267565999999999,"hga_best_solution_extraction_complete","complete",458.7324342,443.73243409999998,"label=primary_hga"
8,21.267803900000001,"hga_route_decoding_start","start",458.73219640000002,443.73219619999998,"label=primary_hga"
9,21.2687463,"hga_route_decoding_complete","complete",458.73125390000001,443.73125379999999,"label=primary_hga"
10,21.268951099999999,"independent_hga_verification_start","start",458.73104910000001,443.73104899999998,"label=primary_hga"
11,21.269153500000002,"independent_hga_verification_complete","complete",458.73084670000003,443.73084660000001,"label=primary_hga;feasible=true"
12,21.279852399999999,"improving_gini_range_construction_complete","complete",458.72014769999998,443.72014760000002,"lower=0.000000;upper=0.980000;complete=true"
13,21.280105500000001,"exact_phase_start","start",458.71989480000002,443.71989459999998,"arm=round31-nonblocking-native-bound"
14,21.2804213,"connectivity_flow_preparation_complete","complete",458.71957900000001,443.71957880000002,"variant=round20-current"
15,21.2886165,"gurobi_environment_creation","complete",458.71138359999998,443.71138350000001,"fixed_interval_backend"
16,21.2887716,"external_backend_creation","complete",458.7112285,443.71122839999998,"backend=gurobi;arm=C6-CANDIDATE"
17,21.289236899999999,"external_artifact_directory_creation","complete",458.71076319999997,443.71076319999997,"E:\codes\ExactEBRP\results\gf_gini_geometry_mechanism_round37\diagnostic_runs\diagnostic_r36_10_high_imbalance_seed6202__c6\external"
18,21.290106099999999,"first_tree_ledger_opened","complete",458.70989400000002,443.70989400000002,"E:\codes\ExactEBRP\results\gf_gini_geometry_mechanism_round37\diagnostic_runs\diagnostic_r36_10_high_imbalance_seed6202__c6\external\paper_tree_events.csv"
19,21.290338899999998,"first_external_tree_event","start",458.70966120000003,443.70966110000001,"scheduler_select_next"
20,21.2904433,"root_canonical_model_construction_start","start",458.70955670000001,443.70955670000001,"leaf=L0"
21,21.2905187,"first_interval_model_build","start",458.70948129999999,443.70948129999999,"leaf=L0"
22,22.3723037,"static_row_factory_preparation_complete","complete",457.62769650000001,442.62769639999999,"canonical strengthened interval row factory"
23,22.3724752,"root_canonical_model_construction_complete","complete",457.6275248,442.6275248,"leaf=L0"
24,22.372556100000001,"first_interval_model_build_complete","complete",457.6274439,442.6274439,"leaf=L0"
25,22.372724099999999,"first_lp_optimize_launch","start",457.62727610000002,442.62727589999997,"leaf=L0"
26,465.123628,"final_result_serialization_start","start",14.876372100000026,-0.12362799999999652,""
27,465.12471579999999,"final_result_serialization_complete","complete",14.875284299999976,-0.1247157000000243,""
28,465.12479289999999,"process_exit","complete",14.875207199999977,-0.12479289999998855,"rc=0"
