run_id,child_uid,parent_uid,sibling_uid,creation_time,first_process_time,delay_seconds,creation_node_count,first_process_node_count,delay_processed_nodes,child_estimate,domain_estimate,estimate_lift,estimate_mode
diagnostic_eager__V12_M2__eager_only__60s,2,0,1,1.7612901999999999,1.8585369,0.09724670000000013,0,2,2,0.37089921896969874,0.39032331004409287,0,parent-copy
diagnostic_eager__V12_M2__eager_only__60s,3,2,4,1.8700220999999999,1.9147373000000001,0.044715200000000177,2,3,1,0.59260465066808332,0.39032331004409287,0,parent-copy
diagnostic_eager__V12_M2__eager_only__60s,5,3,6,1.9253442999999999,2.0435387999999999,0.11819449999999998,3,5,2,0.60648049114095948,0.39032331004409287,0,parent-copy
diagnostic_eager__V12_M2__eager_only__60s,6,3,5,1.9253442999999999,2.1190408000000001,0.19369650000000016,3,6,3,0.60648049114095948,0.4801363188884642,0,parent-copy
diagnostic_eager__V12_M2__eager_only__60s,8,5,7,2.0538897999999999,2.2148341,0.16094430000000015,5,8,3,0.61732313578808129,0.43522981446627851,0,parent-copy
diagnostic_eager__V12_M2__eager_only__60s,11,8,12,2.2250331000000001,2.2484367999999999,0.023403699999999805,8,9,1,0.63956469844194008,0.43522981446627851,0,parent-copy
diagnostic_eager__V12_M2__eager_only__60s,12,8,11,2.2250331000000001,2.2781128000000002,0.053079700000000063,8,10,2,0.63956469844194008,0.45768306667737135,0,parent-copy
diagnostic_eager__V12_M2__eager_only__60s,14,11,13,2.2585267999999998,2.4236339999999998,0.16510720000000001,9,12,3,0.64480258888837472,0.44645644057182493,0,parent-copy
diagnostic_eager__V12_M2__eager_only__60s,17,14,18,2.4344313999999998,2.4485603999999999,0.014129000000000058,12,13,1,0.64905246638473046,0.44645644057182493,0,parent-copy
diagnostic_eager__V12_M2__eager_only__60s,18,14,17,2.4344313999999998,2.4743536000000002,0.039922200000000352,12,14,2,0.64905246638473046,0.45206975362459811,0,parent-copy
diagnostic_eager__V12_M2__eager_only__60s,19,17,20,2.4588871000000001,2.4984438999999998,0.039556799999999726,13,15,2,0.65137144075797837,0.44645644057182493,0,parent-copy
diagnostic_eager__V12_M2__eager_only__60s,20,17,19,2.4588871000000001,2.5204724999999999,0.06158539999999979,13,16,3,0.65137144075797837,0.44926309709821155,0,parent-copy
