run_id,child_uid,parent_uid,sibling_uid,creation_time,first_process_time,delay_seconds,creation_node_count,first_process_node_count,delay_processed_nodes,child_estimate,domain_estimate,estimate_lift,estimate_mode
diagnostic_eager__tight_T_seed3101__eager_only__60s,1,0,2,1.9835556000000001,1.9981574,0.014601799999999887,0,1,1,0.0077339630292814808,0,0,parent-copy
diagnostic_eager__tight_T_seed3101__eager_only__60s,2,0,1,1.9835556000000001,2.1190837999999999,0.13552819999999977,0,2,2,0.0077339630292814808,0.053626367066970722,0,parent-copy
diagnostic_eager__tight_T_seed3101__eager_only__60s,3,1,4,2.034805,2.1691419999999999,0.13433699999999993,1,3,2,0.0077378492799194728,0,0,parent-copy
diagnostic_eager__tight_T_seed3101__eager_only__60s,4,1,3,2.034805,2.2872026000000001,0.25239760000000011,1,4,3,0.0077378492799194728,0.026813183533485361,0,parent-copy
diagnostic_eager__tight_T_seed3101__eager_only__60s,7,3,8,2.2043997000000002,2.3947473000000001,0.19034759999999995,3,5,2,0.0079331488068195913,0,0,parent-copy
diagnostic_eager__tight_T_seed3101__eager_only__60s,8,3,7,2.2043997000000002,2.4578747000000001,0.25347499999999989,3,6,3,0.0079331488068195913,0.01340659176674268,0,parent-copy
diagnostic_eager__tight_T_seed3101__eager_only__60s,11,7,12,2.4304915999999999,2.7478767999999998,0.31738519999999992,5,7,2,0.0103953837718305,0,0,parent-copy
diagnostic_eager__tight_T_seed3101__eager_only__60s,12,7,11,2.4304915999999999,2.8945156000000001,0.46402400000000021,5,8,3,0.0103953837718305,0.0067032958833713402,0,parent-copy
diagnostic_eager__tight_T_seed3101__eager_only__60s,17,12,18,2.9295469000000001,2.9669919,0.037444999999999951,8,9,1,0.013773718171098733,0.0067032958833713402,0,parent-copy
diagnostic_eager__tight_T_seed3101__eager_only__60s,18,12,17,2.9295469000000001,3.0258183999999999,0.096271499999999843,8,10,2,0.013773718171098733,0.010054943825057011,0,parent-copy
diagnostic_eager__tight_T_seed3101__eager_only__60s,19,17,20,3.0032128,3.2526603999999999,0.24944759999999988,9,11,2,0.015421747327140189,0.0067032958833713402,0,parent-copy
diagnostic_eager__tight_T_seed3101__eager_only__60s,23,19,24,3.2893393,3.4137914999999999,0.1244521999999999,11,12,1,0.017836940611541761,0.0067032958833713402,0,parent-copy
diagnostic_eager__tight_T_seed3101__eager_only__60s,24,19,23,3.2893393,3.4799891999999999,0.19064989999999993,11,13,2,0.017836940611541761,0.0075412078687927576,0,parent-copy
diagnostic_eager__tight_T_seed3101__eager_only__60s,27,24,28,3.5164357000000002,3.5572794000000001,0.040843699999999927,13,14,1,0.018086520922463996,0.0075412078687927576,0,parent-copy
