run_id,parent_uid,parent_parent_uid,parent_native_depth,parent_gini_generation,child_gini_generation,parent_gamma_L,parent_gamma_U,split,parent_relaxation,lower_uid,lower_gamma_L,lower_gamma_U,lower_estimate,lower_gamma_floor,lower_weighted_penalty_lb,lower_domain_estimate,lower_lift,lower_station_deviation_lbs,upper_uid,upper_gamma_L,upper_gamma_U,upper_estimate,upper_gamma_floor,upper_weighted_penalty_lb,upper_domain_estimate,upper_lift,upper_station_deviation_lbs,estimate_mode,sibling_discriminated,creation_time,creation_node_count,open_nodes,simplex_iterations,validity_status,failure_reason
mip_gate__V12_M1__mip_start_only__30s,0,-1,0,0,1,0,0.34414394035087892,0.17860029160420776,0.24154981534663586,1,0,0.17860029160420776,0.24154981534663586,0,0.029589285714285714,0.0044383928571428569,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,2,0.17860029160420776,0.34414394035087892,0.24154981534663586,0.17860029160420776,0.029589285714285714,0.18303868446135063,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,parent-copy,false,0.97990619999999995,0,1,909,passed,
mip_gate__V12_M1__mip_start_only__30s,2,0,1,1,2,0.17860029160420776,0.34414394035087892,0.26790043740631164,0.3120018350678998,3,0.17860029160420776,0.26790043740631164,0.3120018350678998,0.17860029160420776,0.029589285714285714,0.18303868446135063,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,4,0.26790043740631164,0.34414394035087892,0.3120018350678998,0.26790043740631164,0.029589285714285714,0.27233883026345451,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,parent-copy,false,1.0536806999999999,2,1,1202,passed,
mip_gate__V12_M1__mip_start_only__30s,3,2,2,2,3,0.17860029160420776,0.26790043740631164,0.2232503645052597,0.31436829845313857,5,0.17860029160420776,0.2232503645052597,0.31436829845313857,0.17860029160420776,0.029589285714285714,0.18303868446135063,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,6,0.2232503645052597,0.26790043740631164,0.31436829845313857,0.2232503645052597,0.029589285714285714,0.22768875736240257,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,parent-copy,false,1.0806009000000001,3,2,1635,passed,
mip_gate__V12_M1__mip_start_only__30s,5,3,3,3,4,0.17860029160420776,0.2232503645052597,0.20092532805473373,0.316151723004515,7,0.17860029160420776,0.20092532805473373,0.316151723004515,0.17860029160420776,0.029589285714285714,0.18303868446135063,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,8,0.20092532805473373,0.2232503645052597,0.316151723004515,0.20092532805473373,0.029589285714285714,0.2053637209118766,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,parent-copy,false,1.1042893,4,3,1688,passed,
mip_gate__V12_M1__mip_start_only__30s,6,3,3,3,4,0.2232503645052597,0.26790043740631164,0.24557540095578567,0.33011192486308699,9,0.2232503645052597,0.24557540095578567,0.33011192486308699,0.2232503645052597,0.029589285714285714,0.22768875736240257,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,10,0.24557540095578567,0.26790043740631164,0.33011192486308699,0.24557540095578567,0.029589285714285714,0.25001379381292854,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,parent-copy,false,1.1408172999999999,5,4,1744,passed,
mip_gate__V12_M1__mip_start_only__30s,7,5,4,4,5,0.17860029160420776,0.20092532805473373,0.18976280982947075,0.3189176628692858,11,0.17860029160420776,0.18976280982947075,0.3189176628692858,0.17860029160420776,0.029589285714285714,0.18303868446135063,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,12,0.18976280982947075,0.20092532805473373,0.3189176628692858,0.18976280982947075,0.029589285714285714,0.19420120268661362,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,parent-copy,false,1.1684526,6,5,1918,passed,
mip_gate__V12_M1__mip_start_only__30s,8,5,4,4,5,0.20092532805473373,0.2232503645052597,0.21208784627999672,0.3217483948417505,13,0.20092532805473373,0.21208784627999672,0.3217483948417505,0.20092532805473373,0.029589285714285714,0.2053637209118766,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,14,0.21208784627999672,0.2232503645052597,0.3217483948417505,0.21208784627999672,0.029589285714285714,0.21652623913713959,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,parent-copy,false,1.1969620000000001,7,6,1970,passed,
mip_gate__V12_M1__mip_start_only__30s,11,7,5,5,6,0.17860029160420776,0.18976280982947075,0.18418155071683925,0.32364333434471348,15,0.17860029160420776,0.18418155071683925,0.32364333434471348,0.17860029160420776,0.029589285714285714,0.18303868446135063,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,16,0.18418155071683925,0.18976280982947075,0.32364333434471348,0.18418155071683925,0.029589285714285714,0.18861994357398212,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,parent-copy,false,1.228164,8,7,2059,passed,
mip_gate__V12_M1__mip_start_only__30s,12,7,5,5,6,0.18976280982947075,0.20092532805473373,0.19534406894210224,0.32068409897442252,17,0.18976280982947075,0.19534406894210224,0.32068409897442252,0.18976280982947075,0.029589285714285714,0.19420120268661362,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,18,0.19534406894210224,0.20092532805473373,0.32068409897442252,0.19534406894210224,0.029589285714285714,0.19978246179924511,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,parent-copy,false,1.2583823000000001,9,8,2185,passed,
mip_gate__V12_M1__mip_start_only__30s,17,12,6,6,7,0.18976280982947075,0.19534406894210224,0.19255343938578651,0.32164741021443849,19,0.18976280982947075,0.19255343938578651,0.32164741021443849,0.18976280982947075,0.029589285714285714,0.19420120268661362,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,20,0.19255343938578651,0.19534406894210224,0.32164741021443849,0.19255343938578651,0.029589285714285714,0.19699183224292938,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,parent-copy,false,1.2824310000000001,10,9,2226,passed,
mip_gate__V12_M1__mip_start_only__30s,19,17,7,7,8,0.18976280982947075,0.19255343938578651,0.19115812460762863,0.32232735996008288,21,0.18976280982947075,0.19115812460762863,0.32232735996008288,0.18976280982947075,0.029589285714285714,0.19420120268661362,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,22,0.19115812460762863,0.19255343938578651,0.32232735996008288,0.19115812460762863,0.029589285714285714,0.1955965174647715,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,parent-copy,false,1.3113771000000001,11,10,2260,passed,
mip_gate__V12_M1__mip_start_only__30s,20,17,7,7,8,0.19255343938578651,0.19534406894210224,0.19394875416394436,0.32207668197644312,23,0.19255343938578651,0.19394875416394436,0.32207668197644312,0.19255343938578651,0.029589285714285714,0.19699183224292938,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,24,0.19394875416394436,0.19534406894210224,0.32207668197644312,0.19394875416394436,0.029589285714285714,0.19838714702108723,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,parent-copy,false,1.3375357000000001,12,11,2316,passed,
mip_gate__V12_M1__mip_start_only__30s,23,20,8,8,9,0.19255343938578651,0.19394875416394436,0.19325109677486543,0.32237054650630709,25,0.19255343938578651,0.19325109677486543,0.32237054650630709,0.19255343938578651,0.029589285714285714,0.19699183224292938,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,26,0.19325109677486543,0.19394875416394436,0.32237054650630709,0.19325109677486543,0.029589285714285714,0.1976894896320083,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,parent-copy,false,1.3623828,13,12,2351,passed,
mip_gate__V12_M1__mip_start_only__30s,25,23,9,9,10,0.19255343938578651,0.19325109677486543,0.19290226808032596,0.32254376446510685,27,0.19255343938578651,0.19290226808032596,0.32254376446510685,0.19255343938578651,0.029589285714285714,0.19699183224292938,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,28,0.19290226808032596,0.19325109677486543,0.32254376446510685,0.19290226808032596,0.029589285714285714,0.19734066093746883,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,parent-copy,false,1.3860646999999999,14,13,2408,passed,
mip_gate__V12_M1__mip_start_only__30s,26,23,9,9,10,0.19325109677486543,0.19394875416394436,0.19359992546940491,0.32246841563334172,29,0.19325109677486543,0.19359992546940491,0.32246841563334172,0.19325109677486543,0.029589285714285714,0.1976894896320083,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,30,0.19359992546940491,0.19394875416394436,0.32246841563334172,0.19359992546940491,0.029589285714285714,0.19803831832654778,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,parent-copy,false,1.4137919999999999,15,14,2447,passed,
mip_gate__V12_M1__mip_start_only__30s,4,2,2,2,3,0.26790043740631164,0.34414394035087892,0.30602218887859528,0.35686130011403155,45,0.26790043740631164,0.30602218887859528,0.35686130011403155,0.26790043740631164,0.029589285714285714,0.27233883026345451,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,46,0.30602218887859528,0.34414394035087892,0.35686130011403155,0.30602218887859528,0.029589285714285714,0.31046058173573815,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,parent-copy,false,1.9597272999999999,24,16,2699,passed,
mip_gate__V12_M1__mip_start_only__30s,18,12,6,6,7,0.19534406894210224,0.20092532805473373,0.19813469849841797,0.32156726001596636,47,0.19534406894210224,0.19813469849841797,0.32156726001596636,0.19534406894210224,0.029589285714285714,0.19978246179924511,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,48,0.19813469849841797,0.20092532805473373,0.32156726001596636,0.19813469849841797,0.029589285714285714,0.20257309135556084,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,parent-copy,false,1.9885463000000001,27,15,3025,passed,
mip_gate__V12_M1__mip_start_only__30s,47,18,7,7,8,0.19534406894210224,0.19813469849841797,0.19673938372026012,0.3220306699509583,49,0.19534406894210224,0.19673938372026012,0.3220306699509583,0.19534406894210224,0.029589285714285714,0.19978246179924511,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,50,0.19673938372026012,0.19813469849841797,0.3220306699509583,0.19673938372026012,0.029589285714285714,0.20117777657740299,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,parent-copy,false,2.0120163999999998,28,16,3058,passed,
