run_id,child_uid,parent_uid,sibling_uid,creation_time,first_process_time,delay_seconds,creation_node_count,first_process_node_count,delay_processed_nodes,child_estimate,domain_estimate,estimate_lift,estimate_mode
optional__V12_M2__root_flow_only__300s,1,0,2,3.4495368000000002,3.4502473,0.00071049999999983626,0,1,1,0.37900224097543045,0.031071274666607397,0,parent-copy
optional__V12_M2__root_flow_only__300s,2,0,1,3.4495368000000002,3.5812816000000001,0.13174479999999988,0,2,2,0.37900224097543045,0.39032331004409287,0,parent-copy
optional__V12_M2__root_flow_only__300s,3,2,4,3.7557236999999999,3.7565211999999999,0.00079750000000000654,2,3,1,0.59788589489194532,0.39032331004409287,0,parent-copy
optional__V12_M2__root_flow_only__300s,5,3,6,3.8250837,4.1947641999999998,0.36968049999999986,3,5,2,0.61224683358524368,0.39032331004409287,0,parent-copy
optional__V12_M2__root_flow_only__300s,6,3,5,3.8250837,4.4070621000000001,0.58197840000000012,3,6,3,0.61224683358524368,0.4801363188884642,0,parent-copy
optional__V12_M2__root_flow_only__300s,7,5,8,4.2628228999999997,4.5003709000000001,0.23754800000000031,5,7,2,0.62275733598777394,0.39032331004409287,0,parent-copy
optional__V12_M2__root_flow_only__300s,8,5,7,4.2628228999999997,4.5514995999999996,0.2886766999999999,5,8,3,0.62275733598777394,0.43522981446627851,0,parent-copy
optional__V12_M2__root_flow_only__300s,11,8,12,4.5845824999999998,4.5856123999999996,0.001029899999999806,8,9,1,0.64481550938749055,0.43522981446627851,0,parent-copy
optional__V12_M2__root_flow_only__300s,12,8,11,4.5845824999999998,4.6357431,0.051160600000000223,8,10,2,0.64481550938749055,0.45768306667737135,0,parent-copy
optional__V12_M2__root_flow_only__300s,13,11,14,4.6181510000000001,4.6843456999999997,0.066194699999999607,9,11,2,0.65133307773465254,0.43522981446627851,0,parent-copy
optional__V12_M2__root_flow_only__300s,14,11,13,4.6181510000000001,4.7169366000000004,0.098785600000000251,9,12,3,0.65133307773465254,0.44645644057182493,0,parent-copy
optional__V12_M2__root_flow_only__300s,17,14,18,4.7403253999999997,4.7413109999999996,0.00098559999999991987,12,13,1,0.6561712307781622,0.44645644057182493,0,parent-copy
optional__V12_M2__root_flow_only__300s,18,14,17,4.7403253999999997,4.7755789999999996,0.035253599999999885,12,14,2,0.6561712307781622,0.45206975362459811,0,parent-copy
