run_id,node_uid,parent_uid,native_depth,gini_generation,relaxation_pass,gamma_L,gamma_U,pre_local_row_relaxation,post_local_row_relaxation,delta_rows_attached,duplicates_omitted,row_factory_seconds,row_api_seconds,status
stage1__tight_T_seed3101__factory_full__300s,1,0,1,1,1,0,0.053626367066970722,0.0077339630292814808,,1442,0,0.0140868,0.0004549,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,1,0,1,1,2,0,0.053626367066970722,0.0077339630292814808,0.0077378492799194728,,,0.0140868,0.0004549,passed
stage1__tight_T_seed3101__factory_full__300s,3,1,2,2,1,0,0.026813183533485361,0.0077378492799194728,,1442,0,0.014313599999999999,0.0003815,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,3,1,2,2,2,0,0.026813183533485361,0.0077378492799194728,0.0079331488068200839,,,0.014313599999999999,0.0003815,passed
stage1__tight_T_seed3101__factory_full__300s,5,3,3,3,1,0,0.01340659176674268,0.0079331488068195531,,1442,0,0.0143559,0.00036939999999999998,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,5,3,3,3,2,0,0.01340659176674268,0.0079331488068195531,0.010395383771830372,,,0.0143559,0.00036939999999999998,passed
stage1__tight_T_seed3101__factory_full__300s,7,5,4,4,1,0,0.0067032958833713402,0.010395383771830372,,1442,0,0.017648299999999999,0.00037720000000000001,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,7,5,4,4,2,0,0.0067032958833713402,0.010395383771830372,0.019939492206306385,,,0.017648299999999999,0.00037720000000000001,passed
stage1__tight_T_seed3101__factory_full__300s,8,5,4,4,1,0.0067032958833713402,0.01340659176674268,0.010970421994653305,,1442,0,0.0149812,0.00039199999999999999,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,8,5,4,4,2,0.0067032958833713402,0.01340659176674268,0.010970421994653305,0.013773718171102513,,,0.0149812,0.00039199999999999999,passed
stage1__tight_T_seed3101__factory_full__300s,11,8,5,5,1,0.0067032958833713402,0.010054943825057011,0.013773718171100175,,1442,0,0.0145749,0.00039449999999999999,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,11,8,5,5,2,0.0067032958833713402,0.010054943825057011,0.013773718171100175,0.015421747327208933,,,0.0145749,0.00039449999999999999,passed
stage1__tight_T_seed3101__factory_full__300s,12,8,5,5,1,0.010054943825057011,0.01340659176674268,0.014061363147112985,,1442,0,0.015467099999999999,0.0003748,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,12,8,5,5,2,0.010054943825057011,0.01340659176674268,0.014061363147112985,0.015468490998140544,,,0.015467099999999999,0.0003748,passed
stage1__tight_T_seed3101__factory_full__300s,15,12,6,6,1,0.010054943825057011,0.011730767795899846,0.015468490998140697,,1442,0,0.014818599999999999,0.00040690000000000002,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,15,12,6,6,2,0.010054943825057011,0.011730767795899846,0.015468490998140697,0.016123740541880829,,,0.014818599999999999,0.00040690000000000002,passed
stage1__tight_T_seed3101__factory_full__300s,17,15,7,7,1,0.010054943825057011,0.010892855810478427,0.016123740541880836,,1442,0,0.0148013,0.00039560000000000002,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,17,15,7,7,2,0.010054943825057011,0.010892855810478427,0.016123740541880836,0.016482690338001052,,,0.0148013,0.00039560000000000002,passed
stage1__tight_T_seed3101__factory_full__300s,19,17,8,8,1,0.010054943825057011,0.01047389981776772,0.016482690338000056,,1442,0,0.014450599999999999,0.00038719999999999998,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,19,17,8,8,2,0.010054943825057011,0.01047389981776772,0.016482690338000056,0.016663793206685807,,,0.014450599999999999,0.00038719999999999998,passed
stage1__tight_T_seed3101__factory_full__300s,20,17,8,8,1,0.01047389981776772,0.010892855810478427,0.016507352264569151,,1442,0,0.014555500000000001,0.00049459999999999999,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,20,17,8,8,2,0.01047389981776772,0.010892855810478427,0.016507352264569151,0.016676177264561987,,,0.014555500000000001,0.00049459999999999999,passed
stage1__tight_T_seed3101__factory_full__300s,23,20,9,9,1,0.01047389981776772,0.010683377814123074,0.01667617726456198,,1442,0,0.014754099999999999,0.0003879,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,23,20,9,9,2,0.01047389981776772,0.010683377814123074,0.01667617726456198,0.016766739629847423,,,0.014754099999999999,0.0003879,passed
stage1__tight_T_seed3101__factory_full__300s,24,20,9,9,1,0.010683377814123074,0.010892855810478427,0.016688504776105156,,1442,0,0.0145842,0.0003814,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,24,20,9,9,2,0.010683377814123074,0.010892855810478427,0.016688504776105156,0.016772921930423068,,,0.0145842,0.0003814,passed
stage1__tight_T_seed3101__factory_full__300s,27,24,10,10,1,0.010683377814123074,0.010788116812300751,0.016772921930423047,,1442,0,0.014639599999999999,0.00038699999999999997,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,27,24,10,10,2,0.010683377814123074,0.010788116812300751,0.016772921930423047,0.016818205843567614,,,0.014639599999999999,0.00038699999999999997,passed
stage1__tight_T_seed3101__factory_full__300s,28,24,10,10,1,0.010788116812300751,0.010892855810478427,0.016779084822981467,,1442,0,0.015397299999999999,0.00039960000000000001,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,28,24,10,10,2,0.010788116812300751,0.010892855810478427,0.016779084822981467,0.016821294563459363,,,0.015397299999999999,0.00039960000000000001,passed
stage1__tight_T_seed3101__factory_full__300s,2,0,1,1,1,0.053626367066970722,0.10725273413399999,0.057319702985058139,,1443,0,0.0146537,0.0020328,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,2,0,1,1,2,0.053626367066970722,0.10725273413399999,0.057319702985058139,0.057319702985058139,,,0.0146537,0.0020328,passed
stage1__tight_T_seed3101__factory_full__300s,103,2,2,2,1,0.053626367066970722,0.080439550600456086,0.057319702985058139,,1443,0,0.014179600000000001,0.00040489999999999998,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,103,2,2,2,2,0.053626367066970722,0.080439550600456086,0.057319702985058139,0.057319702985058139,,,0.014179600000000001,0.00040489999999999998,passed
stage1__tight_T_seed3101__factory_full__300s,105,103,3,3,1,0.053626367066970722,0.067032958833713407,0.057319702985058139,,1443,0,0.014600999999999999,0.00038109999999999999,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,105,103,3,3,2,0.053626367066970722,0.067032958833713407,0.057319702985058139,0.057319702985058139,,,0.014600999999999999,0.00038109999999999999,passed
stage1__tight_T_seed3101__factory_full__300s,107,105,4,4,1,0.053626367066970722,0.060329662950342061,0.057319702985058139,,1443,0,0.014147099999999999,0.00040630000000000001,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,107,105,4,4,2,0.053626367066970722,0.060329662950342061,0.057319702985058139,0.057319702985058139,,,0.014147099999999999,0.00040630000000000001,passed
stage1__tight_T_seed3101__factory_full__300s,109,107,5,5,1,0.053626367066970722,0.056978015008656388,0.057319702985058139,,1443,0,0.014396900000000001,0.00039290000000000001,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,109,107,5,5,2,0.053626367066970722,0.056978015008656388,0.057319702985058139,0.057319702985058139,,,0.014396900000000001,0.00039290000000000001,passed
stage1__tight_T_seed3101__factory_full__300s,110,107,5,5,1,0.056978015008656388,0.060329662950342061,0.060671350926743806,,1443,0,0.015683099999999998,0.00039409999999999998,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,110,107,5,5,2,0.056978015008656388,0.060329662950342061,0.060671350926743806,0.060671350926743806,,,0.015683099999999998,0.00039409999999999998,passed
stage1__tight_T_seed3101__factory_full__300s,111,109,6,6,1,0.053626367066970722,0.055302191037813558,0.057319702985058139,,1443,0,0.014380499999999999,0.0003791,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,111,109,6,6,2,0.053626367066970722,0.055302191037813558,0.057319702985058139,0.057319702985058139,,,0.014380499999999999,0.0003791,passed
stage1__tight_T_seed3101__factory_full__300s,112,109,6,6,1,0.055302191037813558,0.056978015008656388,0.058995526955900976,,1443,0,0.014653299999999999,0.00037889999999999999,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,112,109,6,6,2,0.055302191037813558,0.056978015008656388,0.058995526955900976,0.058995526955900976,,,0.014653299999999999,0.00037889999999999999,passed
stage1__tight_T_seed3101__factory_full__300s,115,111,7,7,1,0.053626367066970722,0.054464279052392137,0.057319702985058139,,1443,0,0.014839400000000001,0.00040630000000000001,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,115,111,7,7,2,0.053626367066970722,0.054464279052392137,0.057319702985058139,0.057319702985058139,,,0.014839400000000001,0.00040630000000000001,passed
stage1__tight_T_seed3101__factory_full__300s,116,111,7,7,1,0.054464279052392137,0.055302191037813558,0.058157614970479554,,1443,0,0.0144425,0.00039209999999999999,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,116,111,7,7,2,0.054464279052392137,0.055302191037813558,0.058157614970479554,0.058157614970479554,,,0.0144425,0.00039209999999999999,passed
stage1__tight_T_seed3101__factory_full__300s,119,115,8,8,1,0.053626367066970722,0.054045323059681433,0.057319702985058139,,1443,0,0.0144113,0.00038630000000000001,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,119,115,8,8,2,0.053626367066970722,0.054045323059681433,0.057319702985058139,0.057319702985058139,,,0.0144113,0.00038630000000000001,passed
stage1__tight_T_seed3101__factory_full__300s,120,115,8,8,1,0.054045323059681433,0.054464279052392137,0.05773865897776885,,1443,0,0.014746,0.00039500000000000001,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,120,115,8,8,2,0.054045323059681433,0.054464279052392137,0.05773865897776885,0.05773865897776885,,,0.014746,0.00039500000000000001,passed
stage1__tight_T_seed3101__factory_full__300s,123,119,9,9,1,0.053626367066970722,0.053835845063326074,0.057319702985058139,,1443,0,0.014356300000000001,0.00037849999999999998,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,123,119,9,9,2,0.053626367066970722,0.053835845063326074,0.057319702985058139,0.057319702985058139,,,0.014356300000000001,0.00037849999999999998,passed
stage1__tight_T_seed3101__factory_full__300s,124,119,9,9,1,0.053835845063326074,0.054045323059681433,0.057529180981413491,,1443,0,0.0147463,0.00045340000000000002,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,124,119,9,9,2,0.053835845063326074,0.054045323059681433,0.057529180981413491,0.057529180981413491,,,0.0147463,0.00045340000000000002,passed
stage1__tight_T_seed3101__factory_full__300s,127,123,10,10,1,0.053626367066970722,0.053731106065148401,0.057319702985058139,,1443,0,0.015103,0.00040309999999999999,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,127,123,10,10,2,0.053626367066970722,0.053731106065148401,0.057319702985058139,0.057319702985058139,,,0.015103,0.00040309999999999999,passed
stage1__tight_T_seed3101__factory_full__300s,128,123,10,10,1,0.053731106065148401,0.053835845063326074,0.057424441983235819,,1443,0,0.0155505,0.00038460000000000002,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,128,123,10,10,2,0.053731106065148401,0.053835845063326074,0.057424441983235819,0.057424441983235819,,,0.0155505,0.00038460000000000002,passed
stage1__tight_T_seed3101__factory_full__300s,4,1,2,2,1,0.026813183533485361,0.053626367066970722,0.030506653033277018,,1442,0,0.014507000000000001,0.0015696,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,4,1,2,2,2,0.026813183533485361,0.053626367066970722,0.030506653033277018,0.030506653033277018,,,0.014507000000000001,0.0015696,passed
stage1__tight_T_seed3101__factory_full__300s,231,4,3,3,1,0.026813183533485361,0.040219775300228043,0.030506653033277018,,1442,0,0.014734499999999999,0.00044190000000000001,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,231,4,3,3,2,0.026813183533485361,0.040219775300228043,0.030506653033277018,0.030506653033277018,,,0.014734499999999999,0.00044190000000000001,passed
stage1__tight_T_seed3101__factory_full__300s,233,231,4,4,1,0.026813183533485361,0.033516479416856704,0.030506653033277018,,1442,0,0.0141932,0.00038259999999999998,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,233,231,4,4,2,0.026813183533485361,0.033516479416856704,0.030506653033277018,0.030506653033277018,,,0.0141932,0.00038259999999999998,passed
stage1__tight_T_seed3101__factory_full__300s,235,233,5,5,1,0.026813183533485361,0.030164831475171031,0.030506653033277018,,1442,0,0.014455900000000001,0.00037829999999999998,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,235,233,5,5,2,0.026813183533485361,0.030164831475171031,0.030506653033277018,0.030506653033277018,,,0.014455900000000001,0.00037829999999999998,passed
stage1__tight_T_seed3101__factory_full__300s,236,233,5,5,1,0.030164831475171031,0.033516479416856704,0.033858300974962688,,1442,0,0.0145737,0.00038479999999999997,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,236,233,5,5,2,0.030164831475171031,0.033516479416856704,0.033858300974962688,0.033858300974962688,,,0.0145737,0.00038479999999999997,passed
stage1__tight_T_seed3101__factory_full__300s,237,235,6,6,1,0.026813183533485361,0.028489007504328194,0.030506653033277018,,1442,0,0.014221299999999999,0.0003637,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,237,235,6,6,2,0.026813183533485361,0.028489007504328194,0.030506653033277018,0.030506653033277018,,,0.014221299999999999,0.0003637,passed
stage1__tight_T_seed3101__factory_full__300s,238,235,6,6,1,0.028489007504328194,0.030164831475171031,0.032182477004119851,,1442,0,0.0143237,0.00034630000000000001,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,238,235,6,6,2,0.028489007504328194,0.030164831475171031,0.032182477004119851,0.032182477004119851,,,0.0143237,0.00034630000000000001,passed
stage1__tight_T_seed3101__factory_full__300s,241,237,7,7,1,0.026813183533485361,0.027651095518906779,0.030506653033277018,,1442,0,0.0144952,0.00037619999999999998,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,241,237,7,7,2,0.026813183533485361,0.027651095518906779,0.030506653033277018,0.030506653033277018,,,0.0144952,0.00037619999999999998,passed
stage1__tight_T_seed3101__factory_full__300s,242,237,7,7,1,0.027651095518906779,0.028489007504328194,0.031344565018698436,,1442,0,0.014283300000000001,0.000379,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,242,237,7,7,2,0.027651095518906779,0.028489007504328194,0.031344565018698436,0.031344565018698436,,,0.014283300000000001,0.000379,passed
stage1__tight_T_seed3101__factory_full__300s,245,241,8,8,1,0.026813183533485361,0.027232139526196068,0.030506653033277018,,1442,0,0.0154462,0.0003994,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,245,241,8,8,2,0.026813183533485361,0.027232139526196068,0.030506653033277018,0.030506653033277018,,,0.0154462,0.0003994,passed
stage1__tight_T_seed3101__factory_full__300s,246,241,8,8,1,0.027232139526196068,0.027651095518906779,0.030925609025987726,,1442,0,0.014425,0.00037790000000000002,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,246,241,8,8,2,0.027232139526196068,0.027651095518906779,0.030925609025987726,0.030925609025987726,,,0.014425,0.00037790000000000002,passed
stage1__tight_T_seed3101__factory_full__300s,249,245,9,9,1,0.026813183533485361,0.027022661529840716,0.030506653033277018,,1442,0,0.014508800000000001,0.00039540000000000002,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,249,245,9,9,2,0.026813183533485361,0.027022661529840716,0.030506653033277018,0.030506653033277018,,,0.014508800000000001,0.00039540000000000002,passed
stage1__tight_T_seed3101__factory_full__300s,250,245,9,9,1,0.027022661529840716,0.027232139526196068,0.030716131029632374,,1442,0,0.014806100000000001,0.00041879999999999999,awaiting_reoptimization
stage1__tight_T_seed3101__factory_full__300s,250,245,9,9,2,0.027022661529840716,0.027232139526196068,0.030716131029632374,0.030716131029632374,,,0.014806100000000001,0.00041879999999999999,passed
