run_id,child_uid,parent_uid,sibling_uid,creation_time,first_process_time,delay_seconds,creation_node_count,first_process_node_count,delay_processed_nodes,child_estimate,domain_estimate,estimate_lift,estimate_mode
stage2__high_imbalance_seed3202__baseline__900s,1,0,2,3.1895798000000002,3.1903991999999999,0.0008193999999996926,0,1,1,1.3860197691885761,0.58921478404014316,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,2,0,1,3.1895798000000002,3.5669867000000002,0.37740689999999999,0,2,2,1.3860197691885761,1.0642147840401432,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,5,2,6,3.7191656000000002,3.7202980000000001,0.0011323999999999224,2,3,1,1.5929602116237016,1.0642147840401432,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,7,5,8,3.7985312000000002,3.7993771000000001,0.000845899999999844,3,4,1,1.593190630570704,1.0642147840401432,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,8,5,7,3.7985312000000002,4.1367368999999998,0.33820569999999961,3,5,2,1.593190630570704,1.1829647840401432,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,9,7,10,3.9034365000000002,4.208412,0.30497549999999984,4,6,2,1.5934887725357108,1.0642147840401432,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,13,9,14,4.3251008000000004,4.3259907999999996,0.00088999999999916923,6,7,1,1.5946788532438145,1.0642147840401432,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,14,9,13,4.3251008000000004,4.5703465999999997,0.24524579999999929,6,8,2,1.5946788532438145,1.0939022840401431,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,15,13,16,4.5185537,4.9204853999999996,0.40193169999999956,7,9,2,1.5990446963566884,1.0642147840401432,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,16,13,15,4.5185537,5.0593342000000003,0.54078050000000033,7,10,3,1.5990446963566884,1.0790585340401431,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,21,16,22,5.2359131000000003,5.2423890999999996,0.0064759999999992601,10,11,1,1.6018242823482363,1.0790585340401431,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,22,16,21,5.2359131000000003,5.3929375999999998,0.15702449999999946,10,12,2,1.6018242823482363,1.086480409040143,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,23,21,24,5.3859719000000004,5.5514504999999996,0.16547859999999925,11,13,2,1.6050015629188521,1.0790585340401431,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,24,21,23,5.3859719000000004,5.6877706999999997,0.30179879999999937,11,14,3,1.6050015629188521,1.0827694715401432,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,29,24,30,5.7875923,5.7900125999999998,0.0024202999999998198,14,15,1,1.6052842540125374,1.0827694715401432,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,31,29,32,5.9294886,5.9432796999999997,0.013791099999999723,15,16,1,1.6065596618426641,1.0827694715401432,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,32,29,31,5.9294886,7.0082430000000002,1.0787544000000002,15,17,2,1.6065596618426641,1.0836972059151431,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,10,7,9,3.9034365000000002,12.143260400000001,8.2398239000000011,4,32,28,1.5934887725357108,1.1235897840401432,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,59,10,60,12.204134099999999,12.2055709,0.0014368000000004599,32,33,1,1.6280816804971239,1.1235897840401432,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,60,10,59,12.204134099999999,12.299591100000001,0.095457000000001457,32,34,2,1.6280816804971239,1.1532772840401431,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,61,59,62,12.263935200000001,12.3655501,0.10161489999999951,33,35,2,1.6280816804971239,1.1235897840401432,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,62,59,61,12.263935200000001,12.4361523,0.17221709999999923,33,36,3,1.6280816804971239,1.1384335340401432,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,65,61,66,12.428399300000001,12.504459900000001,0.076060599999999923,35,37,2,1.6280816804971239,1.1235897840401432,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,66,61,65,12.428399300000001,12.5760378,0.14763849999999934,35,38,3,1.6280816804971239,1.1310116590401433,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,69,65,70,12.5676088,12.651380100000001,0.083771300000000437,37,39,2,1.6280816804971239,1.1235897840401432,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,70,65,69,12.5676088,12.7232833,0.15567449999999994,37,40,3,1.6280816804971239,1.1273007215401432,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,73,69,74,12.713984,12.8452833,0.13129930000000023,39,41,2,1.6280816804971239,1.1235897840401432,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,74,69,73,12.713984,12.919696800000001,0.20571280000000058,39,42,3,1.6280816804971239,1.1254452527901431,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,77,73,78,12.9094242,12.995744200000001,0.086320000000000618,41,43,2,1.6280816804971239,1.1235897840401432,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,78,73,77,12.9094242,13.3277313,0.41830709999999982,41,44,3,1.6280816804971239,1.1245175184151432,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,25,22,26,5.5339020000000003,17.0645174,11.530615399999999,12,129,117,1.6035568052632443,1.086480409040143,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,231,25,232,17.180163,17.181241100000001,0.0010781000000008589,129,130,1,1.6044149746153185,1.086480409040143,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,233,231,234,17.299081000000001,17.307231399999999,0.0081503999999981147,130,131,1,1.6049620583304915,1.086480409040143,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,26,22,25,5.5339020000000003,19.3029318,13.769029799999998,12,145,133,1.6035568052632443,1.0901913465401432,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,259,26,260,19.394867900000001,19.3960747,0.0012067999999985091,145,146,1,1.6043886627013979,1.0901913465401432,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,260,26,259,19.394867900000001,19.511245200000001,0.11637729999999991,145,147,2,1.6043886627013979,1.0920468152901432,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,263,260,264,19.6005672,19.6018914,0.0013241999999991094,147,148,1,1.6048384641193199,1.0920468152901432,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,264,260,263,19.6005672,19.676196000000001,0.075628800000000496,147,149,2,1.6048384641193199,1.0929745496651431,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,4,1,3,3.4030931999999998,22.331361900000001,18.9282687,1,192,191,1.6038245411468228,0.8267147840401432,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,346,4,345,22.413640900000001,22.691543200000002,0.27790230000000093,192,194,2,1.6601119312431931,0.94546478404014311,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,348,346,347,22.764106099999999,22.836802299999999,0.072696199999999322,194,196,2,1.6826819365790944,1.0048397840401431,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,349,348,350,22.923911199999999,23.002943200000001,0.079032000000001545,196,197,1,1.6840731656486119,1.0048397840401431,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,350,348,349,22.923911199999999,23.123697499999999,0.19978629999999953,196,198,2,1.6840731656486119,1.0345272840401432,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,351,350,352,23.1907794,23.299513399999999,0.10873399999999833,198,199,1,1.6840731656486114,1.0345272840401432,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,352,350,351,23.1907794,23.4004549,0.20967549999999946,198,200,2,1.6840731656486114,1.0493710340401432,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,353,352,354,23.469754399999999,23.562602300000002,0.092847900000002426,200,201,1,1.6840731656486114,1.0493710340401432,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,354,352,353,23.469754399999999,23.788575000000002,0.31882060000000223,200,202,2,1.6840731656486114,1.0567929090401431,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,357,354,358,23.8584763,23.9531685,0.094692200000000781,202,203,1,1.6840731656486114,1.0567929090401431,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,358,354,357,23.8584763,24.140793500000001,0.28231720000000138,202,204,2,1.6840731656486114,1.0605038465401431,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,361,358,362,24.213417700000001,24.2622803,0.048862599999999645,204,205,1,1.6840731656486114,1.0605038465401431,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,362,358,361,24.213417700000001,24.364840900000001,0.15142319999999998,204,206,2,1.6840731656486114,1.0623593152901432,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,365,362,366,24.438649300000002,24.492994400000001,0.054345099999999036,206,207,1,1.6840731656486114,1.0623593152901432,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,366,362,365,24.438649300000002,24.570623399999999,0.13197409999999721,206,208,2,1.6840731656486114,1.0632870496651432,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,232,25,231,17.180163,25.6439837,8.4638206999999994,129,214,85,1.6044149746153185,1.0883358777901431,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,375,232,376,25.740051399999999,25.741197799999998,0.0011463999999996588,214,215,1,1.604833856298657,1.0883358777901431,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,262,259,261,19.503212000000001,27.3315664,7.8283543999999985,146,244,98,1.6048074701957753,1.0911190809151432,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,261,259,262,19.503212000000001,29.679553200000001,10.1763412,146,280,134,1.6048074701957753,1.0901913465401432,0,parent-copy
stage2__high_imbalance_seed3202__baseline__900s,376,232,375,25.740051399999999,31.1744959,5.4344445000000015,214,324,110,1.604833856298657,1.0892636121651431,0,parent-copy
