run_id,parent_uid,parent_parent_uid,parent_native_depth,parent_gini_generation,child_gini_generation,parent_gamma_L,parent_gamma_U,split,lower_uid,lower_gamma_L,lower_gamma_U,lower_estimate,lower_gamma_floor,lower_weighted_penalty_lb,lower_domain_estimate,lower_lift,lower_station_deviation_lbs,upper_uid,upper_gamma_L,upper_gamma_U,upper_estimate,upper_gamma_floor,upper_weighted_penalty_lb,upper_domain_estimate,upper_lift,upper_station_deviation_lbs,estimate_mode,creation_time,creation_node_count,open_nodes,simplex_iterations,validity_status,failure_reason
smoke,0,-1,0,0,1,0,0.34414394035087892,0.17860029160420776,1,0,0.17860029160420776,0.24154981534663589,0,0.029589285714285714,0.0044383928571428569,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,2,0.17860029160420776,0.34414394035087892,0.24154981534663589,0.17860029160420776,0.029589285714285714,0.18303868446135063,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,parent-copy,1.4859951,0,1,909,passed,
smoke,2,0,1,1,2,0.17860029160420776,0.34414394035087892,0.26790043740631164,3,0.17860029160420776,0.26790043740631164,0.31200183506790052,0.17860029160420776,0.029589285714285714,0.18303868446135063,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,4,0.26790043740631164,0.34414394035087892,0.31200183506790052,0.26790043740631164,0.029589285714285714,0.27233883026345451,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,parent-copy,1.5749993,2,1,1149,passed,
smoke,3,2,2,2,3,0.17860029160420776,0.26790043740631164,0.2232503645052597,5,0.17860029160420776,0.2232503645052597,0.31436829845313824,0.17860029160420776,0.029589285714285714,0.18303868446135063,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,6,0.2232503645052597,0.26790043740631164,0.31436829845313824,0.2232503645052597,0.029589285714285714,0.22768875736240257,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,parent-copy,1.6214085,3,2,1587,passed,
smoke,5,3,3,3,4,0.17860029160420776,0.2232503645052597,0.20092532805473373,7,0.17860029160420776,0.20092532805473373,0.31615172300451516,0.17860029160420776,0.029589285714285714,0.18303868446135063,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,8,0.20092532805473373,0.2232503645052597,0.31615172300451516,0.20092532805473373,0.029589285714285714,0.2053637209118766,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,parent-copy,1.6681973999999999,4,3,1645,passed,
smoke,6,3,3,3,4,0.2232503645052597,0.26790043740631164,0.24557540095578567,9,0.2232503645052597,0.24557540095578567,0.33011192486308705,0.2232503645052597,0.029589285714285714,0.22768875736240257,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,10,0.24557540095578567,0.26790043740631164,0.33011192486308705,0.24557540095578567,0.029589285714285714,0.25001379381292854,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,parent-copy,1.7317172999999999,5,4,1687,passed,
smoke,7,5,4,4,5,0.17860029160420776,0.20092532805473373,0.18976280982947075,11,0.17860029160420776,0.18976280982947075,0.3189176628692908,0.17860029160420776,0.029589285714285714,0.18303868446135063,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,12,0.18976280982947075,0.20092532805473373,0.3189176628692908,0.18976280982947075,0.029589285714285714,0.19420120268661362,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,parent-copy,1.7856394,6,5,1873,passed,
smoke,8,5,4,4,5,0.20092532805473373,0.2232503645052597,0.21208784627999672,13,0.20092532805473373,0.21208784627999672,0.32174839484175066,0.20092532805473373,0.029589285714285714,0.2053637209118766,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,14,0.21208784627999672,0.2232503645052597,0.32174839484175066,0.21208784627999672,0.029589285714285714,0.21652623913713959,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,parent-copy,1.8447557000000001,7,6,1927,passed,
smoke,11,7,5,5,6,0.17860029160420776,0.18976280982947075,0.18418155071683925,15,0.17860029160420776,0.18418155071683925,0.32364333434471371,0.17860029160420776,0.029589285714285714,0.18303868446135063,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,16,0.18418155071683925,0.18976280982947075,0.32364333434471371,0.18418155071683925,0.029589285714285714,0.18861994357398212,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,parent-copy,1.9225648,8,7,2019,passed,
smoke,12,7,5,5,6,0.18976280982947075,0.20092532805473373,0.19534406894210224,17,0.18976280982947075,0.19534406894210224,0.32068409897442246,0.18976280982947075,0.029589285714285714,0.19420120268661362,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,18,0.19534406894210224,0.20092532805473373,0.32068409897442246,0.19534406894210224,0.029589285714285714,0.19978246179924511,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,parent-copy,1.9931028,9,8,2133,passed,
smoke,17,12,6,6,7,0.18976280982947075,0.19534406894210224,0.19255343938578651,19,0.18976280982947075,0.19255343938578651,0.32164741021443838,0.18976280982947075,0.029589285714285714,0.19420120268661362,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,20,0.19255343938578651,0.19534406894210224,0.32164741021443838,0.19255343938578651,0.029589285714285714,0.19699183224292938,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,parent-copy,2.0670839000000001,10,9,2175,passed,
