run_id,instance,arm,budget_seconds,time_to_gap_20pct,time_to_gap_10pct,time_to_gap_5pct,time_to_gap_1pct,time_to_gap_0
diagnostic_eager__high_imbalance_seed3202__eager_only__60s,high_imbalance_seed3202,eager_only,60,60.020268099999996,60.020268099999996,nan,nan,nan
diagnostic_eager__moderate_seed3302__eager_only__60s,moderate_seed3302,eager_only,60,nan,nan,nan,nan,nan
diagnostic_eager__tight_T_seed3101__eager_only__60s,tight_T_seed3101,eager_only,60,nan,nan,nan,nan,nan
diagnostic_eager__V12_M2__eager_only__60s,V12_M2,eager_only,60,59.996410100000006,59.996410100000006,nan,nan,nan
eager_gate__high_imbalance_seed3202__eager_only__presolve_off__30s,high_imbalance_seed3202,eager_only,30,30.0159579,30.0159579,nan,nan,nan
eager_gate__high_imbalance_seed3202__eager_only__presolve_on__30s,high_imbalance_seed3202,eager_only,30,30.012479999999996,30.012479999999996,nan,nan,nan
eager_gate__moderate_seed3302__eager_only__presolve_off__30s,moderate_seed3302,eager_only,30,nan,nan,nan,nan,nan
eager_gate__moderate_seed3302__eager_only__presolve_on__30s,moderate_seed3302,eager_only,30,nan,nan,nan,nan,nan
eager_gate__tight_T_seed3101__eager_only__presolve_off__30s,tight_T_seed3101,eager_only,30,nan,nan,nan,nan,nan
eager_gate__tight_T_seed3101__eager_only__presolve_on__30s,tight_T_seed3101,eager_only,30,nan,nan,nan,nan,nan
eager_gate__tight_T_seed3102__eager_only__presolve_off__30s,tight_T_seed3102,eager_only,30,nan,nan,nan,nan,nan
eager_gate__tight_T_seed3102__eager_only__presolve_on__30s,tight_T_seed3102,eager_only,30,30.0180256,nan,nan,nan,nan
eager_gate__V12_M1__eager_only__presolve_off__30s,V12_M1,eager_only,30,30.0184647,30.0184647,nan,nan,nan
eager_gate__V12_M1__eager_only__presolve_on__30s,V12_M1,eager_only,30,30.013078500000002,30.013078500000002,nan,nan,nan
eager_gate__V12_M2__eager_only__presolve_off__30s,V12_M2,eager_only,30,30.02192,30.02192,nan,nan,nan
eager_gate__V12_M2__eager_only__presolve_on__30s,V12_M2,eager_only,30,30.0134264,30.0134264,nan,nan,nan
forensic__high_imbalance_seed3202__baseline__300s,high_imbalance_seed3202,baseline,300,300.0246069,300.0246069,nan,nan,nan
forensic__moderate_seed3302__baseline__300s,moderate_seed3302,baseline,300,nan,nan,nan,nan,nan
forensic__tight_T_seed3101__baseline__300s,tight_T_seed3101,baseline,300,nan,nan,nan,nan,nan
forensic__tight_T_seed3102__baseline__300s,tight_T_seed3102,baseline,300,300.0272962,nan,nan,nan,nan
forensic__V12_M1__baseline__300s,V12_M1,baseline,300,112.15817660000002,112.15817660000002,112.15817660000002,112.15817660000002,nan
forensic__V12_M2__baseline__300s,V12_M2,baseline,300,300.0219734,300.0219734,300.0219734,300.0219734,nan
gate__high_imbalance_seed3202__baseline__presolve_off__30s,high_imbalance_seed3202,baseline,30,30.0179227,30.0179227,nan,nan,nan
gate__high_imbalance_seed3202__baseline__presolve_on__30s,high_imbalance_seed3202,baseline,30,30.020401200000002,30.020401200000002,nan,nan,nan
gate__moderate_seed3302__baseline__presolve_off__30s,moderate_seed3302,baseline,30,nan,nan,nan,nan,nan
gate__moderate_seed3302__baseline__presolve_on__30s,moderate_seed3302,baseline,30,nan,nan,nan,nan,nan
gate__tight_T_seed3101__baseline__presolve_off__30s,tight_T_seed3101,baseline,30,nan,nan,nan,nan,nan
gate__tight_T_seed3101__baseline__presolve_on__30s,tight_T_seed3101,baseline,30,nan,nan,nan,nan,nan
gate__tight_T_seed3102__baseline__presolve_off__30s,tight_T_seed3102,baseline,30,nan,nan,nan,nan,nan
gate__tight_T_seed3102__baseline__presolve_on__30s,tight_T_seed3102,baseline,30,30.0273737,nan,nan,nan,nan
gate__V12_M1__baseline__presolve_off__30s,V12_M1,baseline,30,29.9973806,29.9973806,nan,nan,nan
gate__V12_M1__baseline__presolve_on__30s,V12_M1,baseline,30,30.0077098,30.0077098,nan,nan,nan
gate__V12_M2__baseline__presolve_off__30s,V12_M2,baseline,30,30.0053336,30.0053336,nan,nan,nan
