run_id,record_type,checkpoint_seconds,observation_available,freshness,source_observation_time_seconds,observation_age_seconds,native_best_bound,processed_nodes,open_nodes,simplex_iterations,gini_branch_count,ordinary_branch_count,common_same_run_ub,same_run_project_gap
round23_stage1__V12_M2__s0m__300s,checkpoint,1,True,fresh,0.79913540000000005,0.20086459999999995,0.37874589033134765,0,1,2863,0,0,0.7185040707549709,0.4728688315803431
round23_stage1__V12_M2__s0m__300s,checkpoint,2,True,fresh,1.0864514999999999,0.9135485000000001,0.37875660869276095,0,1,2926,0,0,0.7185040707549709,0.47285391397326254
round23_stage1__V12_M2__s0m__300s,checkpoint,5,True,fresh,4.9489675999999996,0.05103240000000042,0.64349991059840128,9,4,10406,6,0,0.7185040707549709,0.1043893322382415
round23_stage1__V12_M2__s0m__300s,checkpoint,10,True,fresh,9.8590192000000005,0.14098079999999946,0.65841871143286745,180,63,27234,33,88,0.7185040707549709,0.08362563521591261
round23_stage1__V12_M2__s0m__300s,checkpoint,15,True,fresh,14.9859866,0.01401339999999962,0.66237585976230373,463,159,54857,45,266,0.7185040707549709,0.07811815308671842
round23_stage1__V12_M2__s0m__300s,checkpoint,20,True,fresh,19.832200100000001,0.16779989999999856,0.66614400681478014,820,376,83567,64,534,0.7185040707549709,0.0728737192611494
round23_stage1__V12_M2__s0m__300s,checkpoint,30,True,fresh,29.985463500000002,0.014536499999998398,0.67305217079706547,1520,711,150405,74,1042,0.7185040707549709,0.06325907090567584
round23_stage1__V12_M2__s0m__300s,checkpoint,45,True,fresh,44.989210800000002,0.010789199999997834,0.67986949041695199,2613,1182,242204,87,1813,0.7185040707549709,0.053770857968032784
round23_stage1__V12_M2__s0m__300s,checkpoint,60,True,fresh,59.992032399999999,0.00796760000000063,0.68343956025819808,3567,1550,328847,101,2462,0.7185040707549709,0.04880210415499618
round23_stage1__V12_M2__s0m__300s,checkpoint,90,True,fresh,89.824131499999993,0.1758685000000071,0.68926531138786107,5053,1773,465973,107,3312,0.7185040707549709,0.04069393696877334
round23_stage1__V12_M2__s0m__300s,checkpoint,120,True,fresh,119.9310653,0.0689346999999998,0.69444920558341794,6640,2039,603968,117,4229,0.7185040707549709,0.03347909378756509
round23_stage1__V12_M2__s0m__300s,checkpoint,180,True,fresh,179.9947981,0.005201900000002979,0.70099322972335087,10047,2660,860704,119,6241,0.7185040707549709,0.024371248186834147
round23_stage1__V12_M2__s0m__300s,checkpoint,240,True,fresh,239.9201037,0.07989630000000147,0.70501582419724729,13365,3291,1081638,134,8210,0.7185040707549709,0.018772679385867363
round23_stage1__V12_M2__s0m__300s,checkpoint,300,True,stale,268.8110709,31.188929099999996,0.70641452857275733,14958,3603,1181980,135,9168,0.7185040707549709,0.016825989822869692
round23_stage1__V12_M2__s0m__300s,solver_final,solver_final,True,solver_final,268.81181859999998,0,0.70641452857275733,14958,3603,1181980,135,9168,0.7185040707549709,0.016825989822869692
