run_id,child_uid,parent_uid,sibling_uid,creation_time,first_process_time,delay_seconds,creation_node_count,first_process_node_count,delay_processed_nodes,child_estimate,domain_estimate,estimate_lift,estimate_mode
round23_stage1__tight_T_seed3101__s0m__300s,1,0,2,7.8944495999999997,7.8954753999999996,0.0010257999999998546,0,1,1,0.016086380287779742,0,0,dispersion-coupled
round23_stage1__tight_T_seed3101__s0m__300s,3,1,4,7.9946593999999997,7.9955996000000003,0.00094020000000050175,1,2,1,0.016595465717091112,0,0,dispersion-coupled
round23_stage1__tight_T_seed3101__s0m__300s,5,3,6,8.3410168999999996,8.3422871999999995,0.0012702999999998354,2,3,1,0.022394409019306106,0,0,dispersion-coupled
round23_stage1__tight_T_seed3101__s0m__300s,6,3,5,8.3410168999999996,8.7090198999999995,0.36800299999999986,2,4,2,0.022394409019306106,0.013607930311007672,0,dispersion-coupled
round23_stage1__tight_T_seed3101__s0m__300s,7,6,8,8.8235782999999994,8.8249147000000008,0.0013364000000013476,4,5,1,0.028030991142103844,0.013607930311007672,0,dispersion-coupled
round23_stage1__tight_T_seed3101__s0m__300s,8,6,7,8.8235782999999994,9.3464279000000001,0.52284960000000069,4,6,2,0.028030991142103844,0.020411895466511506,0,dispersion-coupled
round23_stage1__tight_T_seed3101__s0m__300s,9,8,10,9.4544841000000002,9.4558972000000008,0.0014131000000006111,6,7,1,0.031177797112631793,0.020411895466511506,0,dispersion-coupled
round23_stage1__tight_T_seed3101__s0m__300s,10,8,9,9.4544841000000002,9.7707414999999997,0.31625739999999958,6,8,2,0.031177797112631793,0.023813878044263426,0,dispersion-coupled
round23_stage1__tight_T_seed3101__s0m__300s,13,10,14,9.8902923000000005,9.8917724000000007,0.0014801000000002063,8,9,1,0.03295046103203448,0.023813878044263426,0,dispersion-coupled
round23_stage1__tight_T_seed3101__s0m__300s,15,13,16,10.0450648,10.0462191,0.0011542999999996084,9,10,1,0.033467831730585561,0.023813878044263426,0,dispersion-coupled
round23_stage1__tight_T_seed3101__s0m__300s,16,13,15,10.0450648,10.207732099999999,0.16266729999999896,9,11,2,0.033467831730585561,0.024664373688701405,0,dispersion-coupled
round23_stage1__tight_T_seed3101__s0m__300s,19,16,20,10.3109331,10.312289,0.0013559000000000765,11,12,1,0.03381039037577336,0.024664373688701405,0,dispersion-coupled
round23_stage1__tight_T_seed3101__s0m__300s,21,19,22,10.428135299999999,10.4293634,0.0012281000000005093,12,13,1,0.034038671260951107,0.024664373688701405,0,dispersion-coupled
