run_id,stage,instance,arm,flow_variant,root_model_rows,root_model_columns,root_model_nonzeros,flow_columns,flow_upper_link_rows,flow_lower_link_rows,flow_station_balance_rows,flow_depot_balance_rows,flow_start_upper_rows,flow_start_lower_rows,flow_total_rows,flow_total_nonzeros,presolve_eliminated_rows_total,presolve_eliminated_columns_total,reduced_model_rows,reduced_model_columns,reduced_model_nonzeros,root_lp_time_seconds,root_uncut_relaxation,post_root_cut_relaxation,native_cut_counts
stage0__high_imbalance_seed3202__f2__30s,stage0,high_imbalance_seed3202,F2,normalized,13035,3310,68864,1200,1200,1200,60,3,0,0,2463,7320,4752,66,10578,3250,50386,0.36,1.3018,1.4325,cover=4|gub_cover=6|flow_cover=71|clique=1|fractional=0|mir=43|flow_path=0|disjunctive=0|implied_bound=97|zero_half=22|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
stage0__moderate_seed3301__f2__30s,stage0,moderate_seed3301,F2,normalized,13065,3318,69296,1200,1200,1200,60,3,0,0,2463,7320,2258,102,11835,3223,62963,0.45,0.0328,0.0348,cover=6|gub_cover=1|flow_cover=28|clique=0|fractional=4|mir=39|flow_path=0|disjunctive=0|implied_bound=20|zero_half=4|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
stage0__round21_toy_V2_M1__f0__30s,stage0,round21_toy_V2_M1,F0,round20-current,111,42,269,6,6,0,2,1,0,0,9,28,222,80,0,2,0,0.0,,,cover=0|gub_cover=0|flow_cover=0|clique=0|fractional=0|mir=0|flow_path=0|disjunctive=0|implied_bound=0|zero_half=0|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
stage0__round21_toy_V2_M1__f1__30s,stage0,round21_toy_V2_M1,F1,zero-return,109,40,261,4,4,0,2,1,0,0,7,20,218,76,0,2,0,0.0,,,cover=0|gub_cover=0|flow_cover=0|clique=0|fractional=0|mir=0|flow_path=0|disjunctive=0|implied_bound=0|zero_half=0|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
stage0__round21_toy_V2_M1__f2__30s,stage0,round21_toy_V2_M1,F2,normalized,113,40,269,4,4,4,2,1,0,0,11,28,226,76,0,2,0,0.0,,,cover=0|gub_cover=0|flow_cover=0|clique=0|fractional=0|mir=0|flow_path=0|disjunctive=0|implied_bound=0|zero_half=0|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
stage0__round21_toy_V2_M1__f3__30s,stage0,round21_toy_V2_M1,F3,normalized-start-coupled,117,40,283,4,4,4,2,1,2,2,15,42,234,76,0,2,0,0.0,,,cover=0|gub_cover=0|flow_cover=0|clique=0|fractional=0|mir=0|flow_path=0|disjunctive=0|implied_bound=0|zero_half=0|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
stage0__round21_toy_V2_M1__off__30s,stage0,round21_toy_V2_M1,off,off,102,36,241,0,0,0,0,0,0,0,0,0,204,68,0,2,0,0.0,,,cover=0|gub_cover=0|flow_cover=0|clique=0|fractional=0|mir=0|flow_path=0|disjunctive=0|implied_bound=0|zero_half=0|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
stage0__tight_T_seed3101__f2__30s,stage0,tight_T_seed3101,F2,normalized,13079,3322,69330,1200,1200,1200,60,3,0,0,2463,7320,3404,156,11277,3204,61658,0.8,0.0029,0.015,cover=1|gub_cover=4|flow_cover=88|clique=0|fractional=4|mir=34|flow_path=0|disjunctive=0|implied_bound=63|zero_half=22|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
stage0__V12_M1__f2__30s,stage0,V12_M1,F2,normalized,6357,634,59447,144,144,144,12,1,0,0,301,888,1690,4,5476,608,55679,0.08,0.1965,0.2411,cover=3|gub_cover=0|flow_cover=6|clique=43|fractional=2|mir=10|flow_path=0|disjunctive=0|implied_bound=113|zero_half=1|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=4|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
stage0__V12_M2__f2__30s,stage0,V12_M2,F2,normalized,11615,1008,113920,288,288,288,24,2,0,0,602,1776,2472,12,10334,981,107714,0.22,0.3423,0.3793,cover=4|gub_cover=2|flow_cover=41|clique=9|fractional=2|mir=26|flow_path=0|disjunctive=0|implied_bound=61|zero_half=1|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
