run_id,stage,instance,instance_class,arm,flow_variant,nominal_process_wall_seconds,native_time_limit_seconds,finalization_reserve_seconds,actual_runtime_seconds,final_process_wall_time_seconds,solver_status,native_status_code,native_status_text,strict_certificate_class,strict_certified_original_problem,strict_rejection_reason,native_objective,native_best_bound,verified_incumbent_objective,serialized_lower_bound,serialized_upper_bound,serialized_gap,native_absolute_gap,native_signed_bound_residual,native_bound_inversion,native_project_relative_gap,native_cplex_relative_gap,verified_absolute_gap,verified_signed_bound_residual,verified_bound_inversion,verified_project_relative_gap,nodes_processed,open_nodes,native_solution_count,simplex_iterations,simplex_iterations_per_processed_node,nodes_per_second,time_to_first_gini_branch,gini_branch_count,ordinary_branch_count,maximum_gini_sibling_delay,native_cut_counts,root_model_rows,root_model_columns,root_model_nonzeros,first_valid_lb_improvement_seconds,last_valid_lb_improvement_seconds,bound_trajectory_path,executable_sha256,root_uncut_relaxation,post_root_cut_relaxation,root_lp_time_seconds,root_completion_elapsed_seconds,maximum_tree_memory_mb,reduced_model_rows,reduced_model_columns,reduced_model_nonzeros,presolve_eliminated_rows_total,presolve_eliminated_columns_total,branch_and_cut_time_seconds
stage2__high_imbalance_seed3201__f0__900s,stage2,high_imbalance_seed3201,V20-control,F0,round20-current,900,882.0,18.0,882.3902803,882.3930946,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",time_limit_valid_bound,False,none,,2.354289796945837,2.4434031919432,2.354289796945837,2.4434031919432,0.03647101521811984,,,False,,,0.08911339499736304,0.08911339499736304,False,0.03647101521811984,13014,7670,0,4761683,365.8892730905179,14.748575874584008,6.7431051,93,10265,707.0868217000001,cover=44|gub_cover=5|flow_cover=188|clique=0|fractional=2|mir=41|flow_path=0|disjunctive=0|implied_bound=713|zero_half=25|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,11916,3376,66725,0.0127891,862.0742697,results/gf_global_gini_tree_strict_flow_round/runs/stage2__high_imbalance_seed3201__f0__900s/global_bound_trajectory.csv,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,2.0445,2.1311,0.31,6.73,857.03,9853,3292,48804,4030,120,875.6602803
stage2__high_imbalance_seed3201__f3__900s,stage2,high_imbalance_seed3201,V20-control,F3,normalized-start-coupled,900,882.0,18.0,882.3725077,882.3756038,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",time_limit_valid_bound,False,none,,2.3615384055165625,2.4434031919432,2.3615384055165625,2.4434031919432,0.03350441167326615,,,False,,,0.08186478642663753,0.08186478642663753,False,0.03350441167326615,11896,6466,0,4048305,340.3080867518494,13.48183436835336,6.1692877,91,9112,503.7859376,cover=46|gub_cover=9|flow_cover=111|clique=0|fractional=3|mir=56|flow_path=0|disjunctive=0|implied_bound=624|zero_half=28|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,13176,3316,71465,0.0126418,862.0644486,results/gf_global_gini_tree_strict_flow_round/runs/stage2__high_imbalance_seed3201__f3__900s/global_bound_trajectory.csv,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,2.0445,2.1399,0.42,6.16,728.42,11035,3232,52017,4186,120,876.2125077000001
stage2__high_imbalance_seed3201__plain__900s,stage2,high_imbalance_seed3201,V20-control,plain,plain,900,882.0,18.0,882.0456285,882.0472831,time_limit,107,time limit exceeded,time_limit_valid_bound,False,none,2.443403191940941,2.0454744604803006,2.4434031919432,2.0454744604803006,2.4434031919432,0.16285839880009037,0.39792873146064034,0.39792873146064034,False,0.16285839879931638,0.16285839879265115,0.3979287314628994,0.3979287314628994,False,0.16285839880009037,69112,34769,42,0,0.0,78.35422314549797,-1,0,0,,,0,0,0,882.0456285,882.0456285,,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,1.6859,1.7679,0.06,2.12,82.56,4880,2051,22257,290,70,879.9256285
stage2__high_imbalance_seed3202__f0__900s,stage2,high_imbalance_seed3202,V20-control,F0,round20-current,900,882.0,18.0,882.1989459,882.2024955,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",time_limit_valid_bound,False,none,,1.711104860232672,1.7493134520506337,1.711104860232672,1.7493134520506337,0.021842049961470156,,,False,,,0.03820859181796177,0.03820859181796177,False,0.021842049961470156,6659,3200,0,3826888,574.6940982129449,7.548184035979134,7.2352944,108,4825,642.052201,cover=32|gub_cover=5|flow_cover=343|clique=1|fractional=0|mir=41|flow_path=0|disjunctive=0|implied_bound=859|zero_half=37|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,11895,3370,66704,0.0140684,861.9919176,results/gf_global_gini_tree_strict_flow_round/runs/stage2__high_imbalance_seed3202__f0__900s/global_bound_trajectory.csv,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,1.3017,1.4488,0.28,7.22,360.01,9441,3310,48232,4746,66,874.9789459
stage2__high_imbalance_seed3202__f3__900s,stage2,high_imbalance_seed3202,V20-control,F3,normalized-start-coupled,900,882.0,18.0,882.2339928,882.2378943,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",time_limit_valid_bound,False,none,,1.699286432788388,1.7493134520506337,1.699286432788388,1.7493134520506337,0.02859808755463546,,,False,,,0.05002701926224562,0.05002701926224562,False,0.02859808755463546,6753,3302,0,3395783,502.85547164223306,7.6544318798775715,6.116027,94,4943,325.385439,cover=44|gub_cover=5|flow_cover=118|clique=1|fractional=0|mir=51|flow_path=0|disjunctive=0|implied_bound=729|zero_half=29|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,13155,3310,71444,0.0130361,861.9999778,results/gf_global_gini_tree_strict_flow_round/runs/stage2__high_imbalance_seed3202__f3__900s/global_bound_trajectory.csv,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,1.3018,1.4313,0.44,6.11,370.24,10585,3250,51478,5026,66,876.1239928
stage2__high_imbalance_seed3202__plain__900s,stage2,high_imbalance_seed3202,V20-control,plain,plain,900,882.0,18.0,882.6816002,882.6834069,time_limit,107,time limit exceeded,time_limit_valid_bound,False,none,1.8233520046098808,1.0958078442164707,1.8233520046098812,1.0958078442164707,1.8233520046098812,0.39901464914838186,0.7275441603934101,0.7275441603934101,False,0.39901464914838175,0.39901464912649814,0.7275441603934105,0.7275441603934105,False,0.39901464914838186,59100,19306,59,0,0.0,66.95506056386469,-1,0,0,,,0,0,0,882.6816002,882.6816002,,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,0.8661,0.9396,0.06,1.7,1072.99,4888,2065,22702,234,34,880.9816002
stage2__moderate_seed3301__f0__900s,stage2,moderate_seed3301,V20-primary-regression,F0,round20-current,900,882.0,18.0,882.2777161,882.280341,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",time_limit_valid_bound,False,none,,0.04582865871585926,0.04915255266474515,0.04582865871585926,0.04915255266474515,0.06762403514538042,,,False,,,0.003323893948885888,0.003323893948885888,False,0.06762403514538042,5803,2775,0,1976142,340.53799758745475,6.57729408111025,6.4289041,150,4140,606.9743382,cover=46|gub_cover=0|flow_cover=117|clique=0|fractional=2|mir=30|flow_path=0|disjunctive=0|implied_bound=1416|zero_half=11|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,11925,3378,67136,0.0167978,862.0042273,results/gf_global_gini_tree_strict_flow_round/runs/stage2__moderate_seed3301__f0__900s/global_bound_trajectory.csv,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,0.0328,0.0345,0.28,6.41,663.81,10695,3283,60749,2258,102,875.8677161
stage2__moderate_seed3301__f3__900s,stage2,moderate_seed3301,V20-primary-regression,F3,normalized-start-coupled,900,882.0,18.0,882.3596217,882.3623925,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",time_limit_valid_bound,False,none,,0.04644363580241004,0.04915255266474515,0.04644363580241004,0.04915255266474515,0.055112434969793386,,,False,,,0.0027089168623351118,0.0027089168623351118,False,0.055112434969793386,7311,3013,0,1276691,174.626042948981,8.285737266528862,5.1320796,165,4997,626.8933286,cover=24|gub_cover=1|flow_cover=26|clique=0|fractional=6|mir=27|flow_path=0|disjunctive=0|implied_bound=906|zero_half=8|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,13185,3318,71876,0.0178581,861.9703688,results/gf_global_gini_tree_strict_flow_round/runs/stage2__moderate_seed3301__f3__900s/global_bound_trajectory.csv,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,0.0328,0.0347,0.47,5.11,811.43,11889,3223,64100,2390,102,877.2496217
stage2__moderate_seed3301__plain__900s,stage2,moderate_seed3301,V20-primary-regression,plain,plain,900,882.0,18.0,900.3179934,900.3202628,time_limit,107,time limit exceeded,time_limit_valid_bound,False,none,0.05360311996637976,0.04056839676271183,0.05360311996637973,0.04056839676271183,0.05360311996637973,0.24317097982064054,0.013034723203667928,0.013034723203667928,False,0.013034723203667928,0.24317097936699014,0.0130347232036679,0.0130347232036679,False,0.24317097982064054,116900,34039,57,0,0.0,129.84301197683916,-1,0,0,,,0,0,0,900.3179934,900.3179934,,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,0.0195,0.0244,0.03,0.75,3796.56,4922,2087,22914,222,18,899.5679934
stage2__moderate_seed3302__f0__900s,stage2,moderate_seed3302,V20-control,F0,round20-current,900,882.0,18.0,882.3029944,882.3057808,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",time_limit_valid_bound,False,none,,0.14237041903480138,0.19563620654901237,0.14237041903480138,0.19563620654901237,0.2722695785908444,,,False,,,0.05326578751421099,0.05326578751421099,False,0.2722695785908444,7341,5260,0,3709910,505.3684784089361,8.320270980143462,6.2873419,122,6182,794.0021297000001,cover=13|gub_cover=13|flow_cover=195|clique=0|fractional=8|mir=44|flow_path=0|disjunctive=0|implied_bound=399|zero_half=20|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,11903,3372,67088,0.016936,862.0179653,results/gf_global_gini_tree_strict_flow_round/runs/stage2__moderate_seed3302__f0__900s/global_bound_trajectory.csv,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,0.1018,0.112,0.36,6.27,582.02,10711,3316,63178,2184,32,876.0329944
