run_id,node_uid,parent_uid,native_depth,gini_generation,relaxation_pass,gamma_L,gamma_U,pre_local_row_relaxation,post_local_row_relaxation,delta_rows_attached,duplicates_omitted,row_factory_seconds,row_api_seconds,status
stage0__moderate_seed3301__f2__30s,1,0,1,1,1,0,0.024576276332372575,0.034772561382770399,,1434,0,0.014249899999999999,0.00050739999999999997,awaiting_reoptimization
stage0__moderate_seed3301__f2__30s,1,0,1,1,2,0,0.024576276332372575,0.034772561382770399,0.035462340450649686,,,0.014249899999999999,0.00050739999999999997,passed
stage0__moderate_seed3301__f2__30s,3,1,2,2,1,0,0.012288138166186287,0.0354623404506497,,1434,0,0.018265799999999999,0.00050319999999999998,awaiting_reoptimization
stage0__moderate_seed3301__f2__30s,3,1,2,2,2,0,0.012288138166186287,0.0354623404506497,0.03854634936647075,,,0.018265799999999999,0.00050319999999999998,passed
stage0__moderate_seed3301__f2__30s,4,1,2,2,1,0.012288138166186287,0.024576276332372575,0.037012501360166379,,1434,0,0.015263799999999999,0.00049260000000000005,awaiting_reoptimization
stage0__moderate_seed3301__f2__30s,4,1,2,2,2,0.012288138166186287,0.024576276332372575,0.037012501360166379,0.04150768652864275,,,0.015263799999999999,0.00049260000000000005,passed
stage0__moderate_seed3301__f2__30s,5,3,3,3,1,0,0.0061440690830931437,0.038546349366471173,,1434,0,0.015037200000000001,0.0004819,awaiting_reoptimization
stage0__moderate_seed3301__f2__30s,6,3,3,3,1,0.0061440690830931437,0.012288138166186287,0.038618986332733876,,1434,0,0.015041000000000001,0.00051650000000000003,awaiting_reoptimization
stage0__moderate_seed3301__f2__30s,6,3,3,3,2,0.0061440690830931437,0.012288138166186287,0.038618986332733876,0.040638281192288295,,,0.015041000000000001,0.00051650000000000003,passed
stage0__moderate_seed3301__f2__30s,9,6,4,4,1,0.0061440690830931437,0.0092161036246397147,0.040638281192288295,,1434,0,0.0151238,0.00051769999999999995,awaiting_reoptimization
stage0__moderate_seed3301__f2__30s,9,6,4,4,2,0.0061440690830931437,0.0092161036246397147,0.040638281192288295,0.043826938505475865,,,0.0151238,0.00051769999999999995,passed
stage0__moderate_seed3301__f2__30s,10,6,4,4,1,0.0092161036246397147,0.012288138166186287,0.040854323457120575,,1434,0,0.019729500000000001,0.00050299999999999997,awaiting_reoptimization
stage0__moderate_seed3301__f2__30s,10,6,4,4,2,0.0092161036246397147,0.012288138166186287,0.040854323457120575,0.042011521028346294,,,0.019729500000000001,0.00050299999999999997,passed
stage0__moderate_seed3301__f2__30s,13,10,5,5,1,0.0092161036246397147,0.010752120895413001,0.042011521028346183,,1434,0,0.0147028,0.00054460000000000001,awaiting_reoptimization
stage0__moderate_seed3301__f2__30s,13,10,5,5,2,0.0092161036246397147,0.010752120895413001,0.042011521028346183,0.043265469724108024,,,0.0147028,0.00054460000000000001,passed
stage0__moderate_seed3301__f2__30s,14,10,5,5,1,0.010752120895413001,0.012288138166186287,0.042150937151659629,,1434,0,0.015051699999999999,0.00049980000000000001,awaiting_reoptimization
stage0__moderate_seed3301__f2__30s,14,10,5,5,2,0.010752120895413001,0.012288138166186287,0.042150937151659629,0.042729513667657343,,,0.015051699999999999,0.00049980000000000001,passed
stage0__moderate_seed3301__f2__30s,17,14,6,6,1,0.010752120895413001,0.011520129530799644,0.042729513667657773,,1434,0,0.0151369,0.00051820000000000002,awaiting_reoptimization
stage0__moderate_seed3301__f2__30s,17,14,6,6,2,0.010752120895413001,0.011520129530799644,0.042729513667657773,0.042978532057613317,,,0.0151369,0.00051820000000000002,passed
stage0__moderate_seed3301__f2__30s,19,17,7,7,1,0.010752120895413001,0.011136125213106323,0.042978532057614691,,1434,0,0.014874699999999999,0.00067120000000000005,awaiting_reoptimization
stage0__moderate_seed3301__f2__30s,19,17,7,7,2,0.010752120895413001,0.011136125213106323,0.042978532057614691,0.043381217950257969,,,0.014874699999999999,0.00067120000000000005,passed
stage0__moderate_seed3301__f2__30s,20,17,7,7,1,0.011136125213106323,0.011520129530799644,0.042982679782270189,,1434,0,0.015556,0.00049109999999999996,awaiting_reoptimization
