run_id,node_uid,parent_uid,native_depth,gini_generation,relaxation_pass,gamma_L,gamma_U,pre_local_row_relaxation,post_local_row_relaxation,delta_rows_attached,duplicates_omitted,row_factory_seconds,row_api_seconds,status
stage1__V12_M2__f2__300s,1,0,1,1,1,0,0.35925203537748546,0.37933798889231829,,647,0,0.0038409999999999998,0.00014139999999999999,awaiting_reoptimization
stage1__V12_M2__f2__300s,2,0,1,1,1,0.35925203537748546,0.68743279608836372,0.56121549480419464,,647,0,0.0042278999999999997,0.00014530000000000001,awaiting_reoptimization
stage1__V12_M2__f2__300s,2,0,1,1,2,0.35925203537748546,0.68743279608836372,0.56121549480419464,0.5977795161785957,,,0.0042278999999999997,0.00014530000000000001,passed
stage1__V12_M2__f2__300s,3,2,2,2,1,0.35925203537748546,0.53887805306622816,0.5977795161785957,,647,0,0.0044025999999999996,0.00016780000000000001,awaiting_reoptimization
stage1__V12_M2__f2__300s,3,2,2,2,2,0.35925203537748546,0.53887805306622816,0.5977795161785957,0.6126903659679388,,,0.0044025999999999996,0.00016780000000000001,passed
stage1__V12_M2__f2__300s,5,3,3,3,1,0.35925203537748546,0.44906504422185678,0.61269041058389795,,647,0,0.0042233000000000001,0.0001516,awaiting_reoptimization
stage1__V12_M2__f2__300s,5,3,3,3,2,0.35925203537748546,0.44906504422185678,0.61269041058389795,0.6252080159767609,,,0.0042233000000000001,0.0001516,passed
stage1__V12_M2__f2__300s,6,3,3,3,1,0.44906504422185678,0.53887805306622816,0.65503244211919953,,647,0,0.0040932,0.00014999999999999999,awaiting_reoptimization
stage1__V12_M2__f2__300s,6,3,3,3,2,0.44906504422185678,0.53887805306622816,0.65503244211919953,0.66531072505132205,,,0.0040932,0.00014999999999999999,passed
stage1__V12_M2__f2__300s,7,5,4,4,1,0.35925203537748546,0.40415853979967109,0.62520801597675946,,647,0,0.0040429999999999997,0.00014970000000000001,awaiting_reoptimization
stage1__V12_M2__f2__300s,8,5,4,4,1,0.40415853979967109,0.44906504422185678,0.63201153135819554,,647,0,0.0040857999999999997,0.0001437,awaiting_reoptimization
stage1__V12_M2__f2__300s,8,5,4,4,2,0.40415853979967109,0.44906504422185678,0.63201153135819554,0.64577840567121025,,,0.0040857999999999997,0.0001437,passed
stage1__V12_M2__f2__300s,11,8,5,5,1,0.40415853979967109,0.42661179201076393,0.64577840567121025,,647,0,0.0039789999999999999,0.00014689999999999999,awaiting_reoptimization
