artifact_role,requested_path,retained_path,exists,gzip_appended,multipart,part_index,part_count,size_bytes,sha256,complete_retained_sha256,reconstruction
root_model,results/gf_global_gini_tree_strict_flow_round/runs/stage1__high_imbalance_seed3202__f3__300s/global_root.lp,results/gf_global_gini_tree_strict_flow_round/runs/stage1__high_imbalance_seed3202__f3__300s/global_root.lp.gz,True,True,False,1,1,246450,1063daadb417af7b1f0c86cc34635eb2313ae011c926f9b2be787b9e173f0fda,1063daadb417af7b1f0c86cc34635eb2313ae011c926f9b2be787b9e173f0fda,none
node_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage1__high_imbalance_seed3202__f3__300s/global_node_trace.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage1__high_imbalance_seed3202__f3__300s/global_node_trace.csv.gz,True,True,False,1,1,2970585,029cab2ad9e6873a8781abee6afd899d1379811f989724478497de0343b85a78,029cab2ad9e6873a8781abee6afd899d1379811f989724478497de0343b85a78,none
bound_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage1__high_imbalance_seed3202__f3__300s/global_bound_trajectory.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage1__high_imbalance_seed3202__f3__300s/global_bound_trajectory.csv,True,False,False,1,1,693,b710a374d4ab85bade5231c2bbfe34401299874f1da42e96306aaca657b039c6,b710a374d4ab85bade5231c2bbfe34401299874f1da42e96306aaca657b039c6,none
row_delta_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage1__high_imbalance_seed3202__f3__300s/row_delta.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage1__high_imbalance_seed3202__f3__300s/row_delta.csv,True,False,False,1,1,112375,5bb9a1ac5dd7363ee355094dca6029b3703a3600ef65ac95689a3b3a9aef73a5,5bb9a1ac5dd7363ee355094dca6029b3703a3600ef65ac95689a3b3a9aef73a5,none
post_row_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage1__high_imbalance_seed3202__f3__300s/post_local_row_trace.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage1__high_imbalance_seed3202__f3__300s/post_local_row_trace.csv,True,False,False,1,1,34378,1317134402ae6ebbd00d8d7919409fb6b80c6c99e6b683f3c72b070ac17fcf99,1317134402ae6ebbd00d8d7919409fb6b80c6c99e6b683f3c72b070ac17fcf99,none
topology_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage1__high_imbalance_seed3202__f3__300s/gini_topology.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage1__high_imbalance_seed3202__f3__300s/gini_topology.csv,True,False,False,1,1,42992,1ad142c749c5dd23b3d7adf859f5ce3e39345d9ddc4ca1306c118169e9eefbef,1ad142c749c5dd23b3d7adf859f5ce3e39345d9ddc4ca1306c118169e9eefbef,none
sibling_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage1__high_imbalance_seed3202__f3__300s/sibling_delay.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage1__high_imbalance_seed3202__f3__300s/sibling_delay.csv,True,False,False,1,1,16371,beabcf75496f29970fd8fcbe302cba352b1f0be35a80b334182f47ba6fa647c7,beabcf75496f29970fd8fcbe302cba352b1f0be35a80b334182f47ba6fa647c7,none
tree_memory_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage1__high_imbalance_seed3202__f3__300s/tree_memory.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage1__high_imbalance_seed3202__f3__300s/tree_memory.csv,True,False,False,1,1,620,af149cf79a2e357e078e1bc6eec6538934331eb5989129982d976bd2e984dd6c,af149cf79a2e357e078e1bc6eec6538934331eb5989129982d976bd2e984dd6c,none
mip_start_audit,results/gf_global_gini_tree_strict_flow_round/runs/stage1__high_imbalance_seed3202__f3__300s/mip_start_audit.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage1__high_imbalance_seed3202__f3__300s/mip_start_audit.csv,True,False,False,1,1,151,54b22a6fab8d11013380329fd655f6237da1ee912d7f53a56a08246328cebfa8,54b22a6fab8d11013380329fd655f6237da1ee912d7f53a56a08246328cebfa8,none
progress_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage1__high_imbalance_seed3202__f3__300s/progress.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage1__high_imbalance_seed3202__f3__300s/progress.csv,True,False,False,1,1,691,60fcc1b75bfa2b6c9096b68c86d03eb7f07ff61b33ddbeba1507977eb8a15256,60fcc1b75bfa2b6c9096b68c86d03eb7f07ff61b33ddbeba1507977eb8a15256,none
