run_id,parent_uid,parent_parent_uid,parent_native_depth,parent_gini_generation,child_gini_generation,parent_gamma_L,parent_gamma_U,split,parent_relaxation,lower_uid,lower_gamma_L,lower_gamma_U,lower_estimate,lower_gamma_floor,lower_weighted_penalty_lb,lower_domain_estimate,lower_lift,lower_station_deviation_lbs,upper_uid,upper_gamma_L,upper_gamma_U,upper_estimate,upper_gamma_floor,upper_weighted_penalty_lb,upper_domain_estimate,upper_lift,upper_station_deviation_lbs,estimate_mode,sibling_discriminated,creation_time,creation_node_count,open_nodes,simplex_iterations,validity_status,failure_reason
stage1__moderate_seed3301__f1__300s,0,-1,0,0,1,0,0.04915255266474515,0.024576276332372575,0.034464191911530315,1,0,0.024576276332372575,0.034464191911530315,0,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,2,0.024576276332372575,0.04915255266474515,0.034464191911530315,0.024576276332372575,0,0.024576276332372575,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,5.5991733999999997,0,1,17910,passed,
stage1__moderate_seed3301__f1__300s,1,0,1,1,2,0,0.024576276332372575,0.012288138166186287,0.035496429373112384,3,0,0.012288138166186287,0.035496429373112384,0,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,4,0.012288138166186287,0.024576276332372575,0.035496429373112384,0.012288138166186287,0,0.012288138166186287,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,5.8486583000000003,1,2,17910,passed,
stage1__moderate_seed3301__f1__300s,2,0,1,1,2,0.024576276332372575,0.04915255266474515,0.036864414498558859,0.046950912090021779,5,0.024576276332372575,0.036864414498558859,0.046950912090021779,0.024576276332372575,0,0.024576276332372575,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,6,0.036864414498558859,0.04915255266474515,0.046950912090021779,0.036864414498558859,0,0.036864414498558859,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,7.3181630999999996,2,3,19568,passed,
stage1__moderate_seed3301__f1__300s,3,1,2,2,3,0,0.012288138166186287,0.0061440690830931437,0.038720203027109948,7,0,0.0061440690830931437,0.038720203027109948,0,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,8,0.0061440690830931437,0.012288138166186287,0.038720203027109948,0.0061440690830931437,0,0.0061440690830931437,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,7.4357055000000001,3,4,28315,passed,
stage1__moderate_seed3301__f1__300s,4,1,2,2,3,0.012288138166186287,0.024576276332372575,0.018432207249279429,0.041581847768088535,9,0.012288138166186287,0.018432207249279429,0.041581847768088535,0.012288138166186287,0,0.012288138166186287,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,10,0.018432207249279429,0.024576276332372575,0.041581847768088535,0.018432207249279429,0,0.018432207249279429,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,8.1471511000000003,4,5,28644,passed,
stage1__moderate_seed3301__f1__300s,8,3,3,3,4,0.0061440690830931437,0.012288138166186287,0.0092161036246397147,0.040653143850709603,11,0.0061440690830931437,0.0092161036246397147,0.040653143850709603,0.0061440690830931437,0,0.0061440690830931437,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,12,0.0092161036246397147,0.012288138166186287,0.040653143850709603,0.0092161036246397147,0,0.0092161036246397147,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,8.2889376000000006,6,5,33015,passed,
stage1__moderate_seed3301__f1__300s,11,8,4,4,5,0.0061440690830931437,0.0092161036246397147,0.0076800863538664292,0.04382693850547565,13,0.0061440690830931437,0.0076800863538664292,0.04382693850547565,0.0061440690830931437,0,0.0061440690830931437,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,14,0.0076800863538664292,0.0092161036246397147,0.04382693850547565,0.0076800863538664292,0,0.0076800863538664292,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,8.3648457999999994,7,6,33185,passed,
stage1__moderate_seed3301__f1__300s,12,8,4,4,5,0.0092161036246397147,0.012288138166186287,0.010752120895413001,0.042011521028345954,15,0.0092161036246397147,0.010752120895413001,0.042011521028345954,0.0092161036246397147,0,0.0092161036246397147,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,16,0.010752120895413001,0.012288138166186287,0.042011521028345954,0.010752120895413001,0,0.010752120895413001,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,8.4601258999999995,8,7,33298,passed,
stage1__moderate_seed3301__f1__300s,15,12,5,5,6,0.0092161036246397147,0.010752120895413001,0.0099841122600263579,0.043265469724107455,17,0.0092161036246397147,0.0099841122600263579,0.043265469724107455,0.0092161036246397147,0,0.0092161036246397147,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,18,0.0099841122600263579,0.010752120895413001,0.043265469724107455,0.0099841122600263579,0,0.0099841122600263579,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,8.5500749999999996,9,8,33479,passed,
stage1__moderate_seed3301__f1__300s,16,12,5,5,6,0.010752120895413001,0.012288138166186287,0.011520129530799644,0.042729513667657461,19,0.010752120895413001,0.011520129530799644,0.042729513667657461,0.010752120895413001,0,0.010752120895413001,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,20,0.011520129530799644,0.012288138166186287,0.042729513667657461,0.011520129530799644,0,0.011520129530799644,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,8.6595087999999993,10,9,33617,passed,
stage1__moderate_seed3301__f1__300s,19,16,6,6,7,0.010752120895413001,0.011520129530799644,0.011136125213106323,0.042978532057613997,21,0.010752120895413001,0.011136125213106323,0.042978532057613997,0.010752120895413001,0,0.010752120895413001,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,22,0.011136125213106323,0.011520129530799644,0.042978532057613997,0.011136125213106323,0,0.011136125213106323,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,9.1299849999999996,11,10,33818,passed,
stage1__moderate_seed3301__f1__300s,21,19,7,7,8,0.010752120895413001,0.011136125213106323,0.010944123054259663,0.043381217950257268,23,0.010752120895413001,0.010944123054259663,0.043381217950257268,0.010752120895413001,0,0.010752120895413001,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,24,0.010944123054259663,0.011136125213106323,0.043381217950257268,0.010944123054259663,0,0.010944123054259663,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,9.2125927999999995,12,11,33935,passed,
stage1__moderate_seed3301__f1__300s,22,19,7,7,8,0.011136125213106323,0.011520129530799644,0.011328127371952983,0.043108698517011192,25,0.011136125213106323,0.011328127371952983,0.043108698517011192,0.011136125213106323,0,0.011136125213106323,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,26,0.011328127371952983,0.011520129530799644,0.043108698517011192,0.011328127371952983,0,0.011328127371952983,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,9.3022667000000006,13,12,34029,passed,
stage1__moderate_seed3301__f1__300s,25,22,8,8,9,0.011136125213106323,0.011328127371952983,0.011232126292529652,0.043308983716858186,27,0.011136125213106323,0.011232126292529652,0.043308983716858186,0.011136125213106323,0,0.011136125213106323,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,28,0.011232126292529652,0.011328127371952983,0.043308983716858186,0.011232126292529652,0,0.011232126292529652,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,9.3841420000000006,14,13,34130,passed,
stage1__moderate_seed3301__f1__300s,26,22,8,8,9,0.011328127371952983,0.011520129530799644,0.011424128451376313,0.043194891313193873,29,0.011328127371952983,0.011424128451376313,0.043194891313193873,0.011328127371952983,0,0.011328127371952983,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,30,0.011424128451376313,0.011520129530799644,0.043194891313193873,0.011424128451376313,0,0.011424128451376313,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,9.4894932999999995,15,14,34233,passed,
stage1__moderate_seed3301__f1__300s,10,4,3,3,4,0.018432207249279429,0.024576276332372575,0.021504241790826002,0.044735355905168611,47,0.018432207249279429,0.021504241790826002,0.044735355905168611,0.018432207249279429,0,0.018432207249279429,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,48,0.021504241790826002,0.024576276332372575,0.044735355905168611,0.021504241790826002,0,0.021504241790826002,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,12.2953397,26,20,35738,passed,
stage1__moderate_seed3301__f1__300s,47,10,4,4,5,0.018432207249279429,0.021504241790826002,0.019968224520052716,0.044957757670542248,49,0.018432207249279429,0.019968224520052716,0.044957757670542248,0.018432207249279429,0,0.018432207249279429,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,50,0.019968224520052716,0.021504241790826002,0.044957757670542248,0.019968224520052716,0,0.019968224520052716,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,12.3781316,27,21,36166,passed,
stage1__moderate_seed3301__f1__300s,49,47,5,5,6,0.018432207249279429,0.019968224520052716,0.019200215884666073,0.045067911807107924,51,0.018432207249279429,0.019200215884666073,0.045067911807107924,0.018432207249279429,0,0.018432207249279429,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,52,0.019200215884666073,0.019968224520052716,0.045067911807107924,0.019200215884666073,0,0.019200215884666073,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,12.456110900000001,28,22,36271,passed,
stage1__moderate_seed3301__f1__300s,50,47,5,5,6,0.019968224520052716,0.021504241790826002,0.020736233155439359,0.045765026783276541,53,0.019968224520052716,0.020736233155439359,0.045765026783276541,0.019968224520052716,0,0.019968224520052716,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,54,0.020736233155439359,0.021504241790826002,0.045765026783276541,0.020736233155439359,0,0.020736233155439359,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,12.552471499999999,29,23,36355,passed,
stage1__moderate_seed3301__f1__300s,51,49,6,6,7,0.018432207249279429,0.019200215884666073,0.018816211566972753,0.0451227300581903,55,0.018432207249279429,0.018816211566972753,0.0451227300581903,0.018432207249279429,0,0.018432207249279429,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,56,0.018816211566972753,0.019200215884666073,0.0451227300581903,0.018816211566972753,0,0.018816211566972753,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,12.643085299999999,30,24,36512,passed,
stage1__moderate_seed3301__f1__300s,52,49,6,6,7,0.019200215884666073,0.019968224520052716,0.019584220202359393,0.045471636985625362,57,0.019200215884666073,0.019584220202359393,0.045471636985625362,0.019200215884666073,0,0.019200215884666073,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,58,0.019584220202359393,0.019968224520052716,0.045471636985625362,0.019584220202359393,0,0.019584220202359393,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,13.3067528,31,25,36601,passed,
stage1__moderate_seed3301__f1__300s,55,51,7,7,8,0.018432207249279429,0.018816211566972753,0.018624209408126091,0.045150074833887201,59,0.018432207249279429,0.018624209408126091,0.045150074833887201,0.018432207249279429,0,0.018432207249279429,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,60,0.018624209408126091,0.018816211566972753,0.045150074833887201,0.018624209408126091,0,0.018624209408126091,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,13.398369600000001,32,26,36735,passed,
stage1__moderate_seed3301__f1__300s,56,51,7,7,8,0.018816211566972753,0.019200215884666073,0.019008213725819414,0.045324615401044287,61,0.018816211566972753,0.019008213725819414,0.045324615401044287,0.018816211566972753,0,0.018816211566972753,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,62,0.019008213725819414,0.019200215884666073,0.045324615401044287,0.019008213725819414,0,0.019008213725819414,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,13.494206800000001,33,27,36819,passed,
stage1__moderate_seed3301__f1__300s,61,56,8,8,9,0.018816211566972753,0.019008213725819414,0.018912212646396084,0.045338298794692991,63,0.018816211566972753,0.018912212646396084,0.045338298794692991,0.018816211566972753,0,0.018816211566972753,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,64,0.018912212646396084,0.019008213725819414,0.045338298794692991,0.018912212646396084,0,0.018912212646396084,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,parent-copy,false,13.578856200000001,34,28,36973,passed,
