run_id,child_uid,parent_uid,sibling_uid,creation_time,first_process_time,delay_seconds,creation_node_count,first_process_node_count,delay_processed_nodes,child_estimate,domain_estimate,estimate_lift,estimate_mode
stage1__moderate_seed3301__off__300s,1,0,2,2.5481777000000001,2.5490484000000002,0.00087070000000011305,0,1,1,0.034729039792483582,0,0,parent-copy
stage1__moderate_seed3301__off__300s,2,0,1,2.5481777000000001,2.7977949,0.24961719999999987,0,2,2,0.034729039792483582,0.024576276332372575,0,parent-copy
stage1__moderate_seed3301__off__300s,3,1,4,2.6287183999999999,3.2458694000000001,0.61715100000000023,1,3,2,0.035482523176210506,0,0,parent-copy
stage1__moderate_seed3301__off__300s,4,1,3,2.6287183999999999,3.3392328,0.7105144000000001,1,4,3,0.035482523176210506,0.012288138166186287,0,parent-copy
stage1__moderate_seed3301__off__300s,7,3,8,3.3272461999999998,3.436455,0.10920880000000022,3,5,2,0.038546349366470889,0,0,parent-copy
stage1__moderate_seed3301__off__300s,8,3,7,3.3272461999999998,3.5010547999999999,0.17380860000000009,3,6,3,0.038546349366470889,0.0061440690830931437,0,parent-copy
stage1__moderate_seed3301__off__300s,11,8,12,3.5748696,3.5756961,0.0008265000000000633,6,7,1,0.040638281192288683,0.0061440690830931437,0,parent-copy
stage1__moderate_seed3301__off__300s,12,8,11,3.5748696,3.6605648999999998,0.085695299999999808,6,8,2,0.040638281192288683,0.0092161036246397147,0,parent-copy
stage1__moderate_seed3301__off__300s,15,12,16,3.7416887999999999,3.7426012000000002,0.00091240000000025745,8,9,1,0.042011521028346141,0.0092161036246397147,0,parent-copy
stage1__moderate_seed3301__off__300s,16,12,15,3.7416887999999999,3.8946512000000002,0.15296240000000028,8,10,2,0.042011521028346141,0.010752120895413001,0,parent-copy
stage1__moderate_seed3301__off__300s,17,15,18,3.8295149999999998,3.9852903999999998,0.15577540000000001,9,11,2,0.043265469724107566,0.0092161036246397147,0,parent-copy
stage1__moderate_seed3301__off__300s,18,15,17,3.8295149999999998,4.0752911999999997,0.24577619999999989,9,12,3,0.043265469724107566,0.0099841122600263579,0,parent-copy
stage1__moderate_seed3301__off__300s,23,18,24,4.1517828000000003,4.1527896999999996,0.0010068999999992556,12,13,1,0.043524906736853324,0.0099841122600263579,0,parent-copy
stage1__moderate_seed3301__off__300s,24,18,23,4.1517828000000003,4.2298054,0.07802259999999972,12,14,2,0.043524906736853324,0.01036811657771968,0,parent-copy
stage1__moderate_seed3301__off__300s,27,24,28,4.3020206999999999,4.3033323000000001,0.0013116000000001904,14,15,1,0.043654522324350881,0.01036811657771968,0,parent-copy
stage1__moderate_seed3301__off__300s,28,24,27,4.3020206999999999,4.3906385999999999,0.088617900000000027,14,16,2,0.043654522324350881,0.010560118736566339,0,parent-copy
stage1__moderate_seed3301__off__300s,31,28,32,4.4710691000000002,4.4722330000000001,0.0011638999999998845,16,17,1,0.043719304344679008,0.010560118736566339,0,parent-copy
stage1__moderate_seed3301__off__300s,10,4,9,3.4291708999999999,5.2482597999999996,1.8190888999999997,4,23,19,0.041507686528642479,0.018432207249279429,0,parent-copy
stage1__moderate_seed3301__off__300s,39,10,40,5.3453936999999998,5.3462611000000004,0.00086740000000062878,23,24,1,0.04473535590516857,0.018432207249279429,0,parent-copy
stage1__moderate_seed3301__off__300s,41,39,42,5.4184713000000002,5.4194741999999998,0.0010028999999995847,24,25,1,0.044957757670542262,0.018432207249279429,0,parent-copy
stage1__moderate_seed3301__off__300s,42,39,41,5.4184713000000002,5.4985578999999998,0.080086599999999564,24,26,2,0.044957757670542262,0.019968224520052716,0,parent-copy
stage1__moderate_seed3301__off__300s,43,41,44,5.4904099000000004,5.5786902999999999,0.088280399999999482,25,27,2,0.045067911807107897,0.018432207249279429,0,parent-copy
stage1__moderate_seed3301__off__300s,47,43,48,5.6497380000000001,5.6507297999999997,0.00099179999999954305,27,28,1,0.045122730058190327,0.018432207249279429,0,parent-copy
stage1__moderate_seed3301__off__300s,48,43,47,5.6497380000000001,5.7308814999999997,0.081143499999999591,27,29,2,0.045122730058190327,0.018816211566972753,0,parent-copy
stage1__moderate_seed3301__off__300s,49,47,50,5.7223832999999997,5.8143684999999996,0.091985199999999878,28,30,2,0.045150074833887305,0.018432207249279429,0,parent-copy
stage1__moderate_seed3301__off__300s,53,49,54,5.8933146000000001,5.9002973000000001,0.0069827000000000083,30,31,1,0.045163731178321675,0.018432207249279429,0,parent-copy
stage1__moderate_seed3301__off__300s,54,49,53,5.8933146000000001,6.1051060000000001,0.21179140000000007,30,32,2,0.045163731178321675,0.01852820832870276,0,parent-copy
stage1__moderate_seed3301__off__300s,9,4,10,3.4291708999999999,7.0173072999999997,3.5881363999999998,4,61,57,0.041507686528642479,0.012288138166186287,0,parent-copy
stage1__moderate_seed3301__off__300s,101,9,102,7.0899849000000001,7.0908436000000004,0.00085870000000021207,61,62,1,0.042142364749207802,0.012288138166186287,0,parent-copy
stage1__moderate_seed3301__off__300s,102,9,101,7.0899849000000001,7.1698187000000004,0.079833800000000288,61,63,2,0.042142364749207802,0.015360172707732858,0,parent-copy
stage1__moderate_seed3301__off__300s,103,101,104,7.1639267999999996,7.2469979999999996,0.083071200000000012,62,64,2,0.042655750454366113,0.012288138166186287,0,parent-copy
stage1__moderate_seed3301__off__300s,107,103,108,7.3181365999999999,7.3190485000000001,0.00091190000000018756,64,65,1,0.043053443368472694,0.012288138166186287,0,parent-copy
stage1__moderate_seed3301__off__300s,109,107,110,7.3922115000000002,7.3932210999999999,0.0010095999999997218,65,66,1,0.04325104285066185,0.012288138166186287,0,parent-copy
stage1__moderate_seed3301__off__300s,110,107,109,7.3922115000000002,7.4794701999999997,0.087258699999999578,65,67,2,0.04325104285066185,0.012672142483879609,0,parent-copy
stage1__moderate_seed3301__off__300s,111,109,112,7.4716249000000001,7.5691231999999999,0.097498299999999816,66,68,2,0.043349531379187921,0.012288138166186287,0,parent-copy
stage1__moderate_seed3301__off__300s,112,109,111,7.4716249000000001,7.6529794999999998,0.1813545999999997,66,69,3,0.043349531379187921,0.012480140325032949,0,parent-copy
