run_id,node_uid,parent_uid,native_depth,gini_generation,relaxation_pass,gamma_L,gamma_U,pre_local_row_relaxation,post_local_row_relaxation,delta_rows_attached,duplicates_omitted,row_factory_seconds,row_api_seconds,status
stage1__tight_T_seed3101__f0__300s,1,0,1,1,1,0,0.053626367066970722,0.014627354220092497,,1442,0,0.014670600000000001,0.00059199999999999997,awaiting_reoptimization
stage1__tight_T_seed3101__f0__300s,1,0,1,1,2,0,0.053626367066970722,0.014627354220092497,0.015003924560665863,,,0.014670600000000001,0.00059199999999999997,passed
stage1__tight_T_seed3101__f0__300s,2,0,1,1,1,0.053626367066970722,0.10725273413394144,0.060505028709884105,,1443,0,0.0143544,0.00055380000000000002,awaiting_reoptimization
stage1__tight_T_seed3101__f0__300s,2,0,1,1,2,0.053626367066970722,0.10725273413394144,0.060505028709884105,0.060505028709884119,,,0.0143544,0.00055380000000000002,passed
stage1__tight_T_seed3101__f0__300s,3,1,2,2,1,0,0.026813183533485361,0.015003924560665793,,1442,0,0.0149234,0.00051369999999999996,awaiting_reoptimization
stage1__tight_T_seed3101__f0__300s,3,1,2,2,2,0,0.026813183533485361,0.015003924560665793,0.020205991666808313,,,0.0149234,0.00051369999999999996,passed
stage1__tight_T_seed3101__f0__300s,4,1,2,2,1,0.026813183533485361,0.053626367066970722,0.033692005442252447,,1442,0,0.014645200000000001,0.00083040000000000002,awaiting_reoptimization
stage1__tight_T_seed3101__f0__300s,4,1,2,2,2,0.026813183533485361,0.053626367066970722,0.033692005442252447,0.033692005442252447,,,0.014645200000000001,0.00083040000000000002,passed
stage1__tight_T_seed3101__f0__300s,7,3,3,3,1,0,0.01340659176674268,0.020205991666808212,,1442,0,0.014692999999999999,0.00051539999999999995,awaiting_reoptimization
stage1__tight_T_seed3101__f0__300s,8,3,3,3,1,0.01340659176674268,0.026813183533485361,0.020340830493554847,,1442,0,0.0147593,0.0004929,awaiting_reoptimization
stage1__tight_T_seed3101__f0__300s,8,3,3,3,2,0.01340659176674268,0.026813183533485361,0.020340830493554847,0.026114665630188227,,,0.0147593,0.0004929,passed
stage1__tight_T_seed3101__f0__300s,11,8,4,4,1,0.01340659176674268,0.020109887650114022,0.026114665630188227,,1442,0,0.014437800000000001,0.00045629999999999998,awaiting_reoptimization
stage1__tight_T_seed3101__f0__300s,12,8,4,4,1,0.020109887650114022,0.026813183533485361,0.026988507566610909,,1442,0,0.0145313,0.00050469999999999996,awaiting_reoptimization
stage1__tight_T_seed3101__f0__300s,12,8,4,4,2,0.020109887650114022,0.026813183533485361,0.026988507566610909,0.029332627060970392,,,0.0145313,0.00050469999999999996,passed
stage1__tight_T_seed3101__f0__300s,13,12,5,5,1,0.020109887650114022,0.023461535591799691,0.029332627060970392,,1442,0,0.014772800000000001,0.00050909999999999996,awaiting_reoptimization
stage1__tight_T_seed3101__f0__300s,13,12,5,5,2,0.020109887650114022,0.023461535591799691,0.029332627060970392,0.049673356748652434,,,0.014772800000000001,0.00050909999999999996,passed
stage1__tight_T_seed3101__f0__300s,14,12,5,5,1,0.023461535591799691,0.026813183533485361,0.030340257560233105,,1442,0,0.014523299999999999,0.00049479999999999999,awaiting_reoptimization
stage1__tight_T_seed3101__f0__300s,14,12,5,5,2,0.023461535591799691,0.026813183533485361,0.030340257560233105,0.03113558654648374,,,0.014523299999999999,0.00049479999999999999,passed
stage1__tight_T_seed3101__f0__300s,17,14,6,6,1,0.023461535591799691,0.025137359562642528,0.03113558654648374,,1442,0,0.0151942,0.00050540000000000003,awaiting_reoptimization
stage1__tight_T_seed3101__f0__300s,17,14,6,6,2,0.023461535591799691,0.025137359562642528,0.03113558654648374,0.033767967279689295,,,0.0151942,0.00050540000000000003,passed
stage1__tight_T_seed3101__f0__300s,18,14,6,6,1,0.025137359562642528,0.026813183533485361,0.032015994289082458,,1442,0,0.014673200000000001,0.00048999999999999998,awaiting_reoptimization
stage1__tight_T_seed3101__f0__300s,18,14,6,6,2,0.025137359562642528,0.026813183533485361,0.032015994289082458,0.032153423209770791,,,0.014673200000000001,0.00048999999999999998,passed
stage1__tight_T_seed3101__f0__300s,21,18,7,7,1,0.025137359562642528,0.025975271548063943,0.032153423209770791,,1442,0,0.015517299999999999,0.00050140000000000004,awaiting_reoptimization
stage1__tight_T_seed3101__f0__300s,21,18,7,7,2,0.025137359562642528,0.025975271548063943,0.032153423209770791,0.032161301008212434,,,0.015517299999999999,0.00050140000000000004,passed
stage1__tight_T_seed3101__f0__300s,22,18,7,7,1,0.025975271548063943,0.026813183533485361,0.032853891464560879,,1442,0,0.0148285,0.0005329,awaiting_reoptimization
stage1__tight_T_seed3101__f0__300s,22,18,7,7,2,0.025975271548063943,0.026813183533485361,0.032853891464560879,0.032853891464560823,,,0.0148285,0.0005329,passed
stage1__tight_T_seed3101__f0__300s,25,22,8,8,1,0.025975271548063943,0.026394227540774653,0.032853891464560823,,1442,0,0.014755900000000001,0.00052610000000000005,awaiting_reoptimization
stage1__tight_T_seed3101__f0__300s,25,22,8,8,1,0.025975271548063943,0.026394227540774653,0.032853891464560823,0.032853891464560865,,,0.014755900000000001,0.00052610000000000005,passed_at_branching_context
stage1__tight_T_seed3101__f0__300s,26,22,8,8,1,0.026394227540774653,0.026813183533485361,0.033272847457271576,,1442,0,0.0146914,0.00048910000000000002,awaiting_reoptimization
stage1__tight_T_seed3101__f0__300s,26,22,8,8,2,0.026394227540774653,0.026813183533485361,0.033272847457271576,0.033272847457271576,,,0.0146914,0.00048910000000000002,passed
stage1__tight_T_seed3101__f0__300s,27,25,9,9,1,0.025975271548063943,0.026184749544419298,0.032853891464560865,,1442,0,0.0145477,0.0005042,awaiting_reoptimization
stage1__tight_T_seed3101__f0__300s,27,25,9,9,1,0.025975271548063943,0.026184749544419298,0.032853891464560865,0.032853891464560865,,,0.0145477,0.0005042,passed_at_branching_context
stage1__tight_T_seed3101__f0__300s,28,25,9,9,1,0.026184749544419298,0.026394227540774653,0.033063369460916217,,1442,0,0.014955599999999999,0.0004706,awaiting_reoptimization
stage1__tight_T_seed3101__f0__300s,28,25,9,9,2,0.026184749544419298,0.026394227540774653,0.033063369460916217,0.033063369460916217,,,0.014955599999999999,0.0004706,passed
stage1__tight_T_seed3101__f0__300s,31,27,10,10,1,0.025975271548063943,0.026080010546241622,0.032853891464560865,,1442,0,0.015209200000000001,0.00049890000000000004,awaiting_reoptimization
stage1__tight_T_seed3101__f0__300s,31,27,10,10,1,0.025975271548063943,0.026080010546241622,0.032853891464560865,0.032853891464560865,,,0.015209200000000001,0.00049890000000000004,passed_at_branching_context
stage1__tight_T_seed3101__f0__300s,32,27,10,10,1,0.026080010546241622,0.026184749544419298,0.032958630462738545,,1442,0,0.0152318,0.00047869999999999998,awaiting_reoptimization
stage1__tight_T_seed3101__f0__300s,32,27,10,10,2,0.026080010546241622,0.026184749544419298,0.032958630462738545,0.032958630462738545,,,0.0152318,0.00047869999999999998,passed
stage1__tight_T_seed3101__f0__300s,24,21,8,8,1,0.025556315555353235,0.025975271548063943,0.032435083501241316,,1442,0,0.014863100000000001,0.00057589999999999996,awaiting_reoptimization
