artifact_role,requested_path,retained_path,exists,gzip_appended,multipart,part_index,part_count,size_bytes,sha256,complete_retained_sha256,reconstruction
root_model,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3102__f0__1800s/global_root.lp,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3102__f0__1800s/global_root.lp.gz,True,True,False,1,1,240791,597d4ff3a5ed12d08497480b0dc2f906478b62baeb6715b31e1ae513be0ddf4f,597d4ff3a5ed12d08497480b0dc2f906478b62baeb6715b31e1ae513be0ddf4f,none
node_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3102__f0__1800s/global_node_trace.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3102__f0__1800s/global_node_trace.csv.gz,True,True,False,1,1,7328324,a0f3c3a31220e5f951974bb9c4384d8f8dd169f81c249e2acd7b6c38d69d2f7a,a0f3c3a31220e5f951974bb9c4384d8f8dd169f81c249e2acd7b6c38d69d2f7a,none
bound_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3102__f0__1800s/global_bound_trajectory.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3102__f0__1800s/global_bound_trajectory.csv,True,False,False,1,1,704,6941a4be915c81c5b37cd37edc88eea9ffb103bce58518709cd4872f06908d63,6941a4be915c81c5b37cd37edc88eea9ffb103bce58518709cd4872f06908d63,none
row_delta_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3102__f0__1800s/row_delta.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3102__f0__1800s/row_delta.csv,True,False,False,1,1,257848,f37e8d4e6b19ee85f1e94e5125013eb625dbfd6315bf0cf290f9e73714277585,f37e8d4e6b19ee85f1e94e5125013eb625dbfd6315bf0cf290f9e73714277585,none
post_row_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3102__f0__1800s/post_local_row_trace.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3102__f0__1800s/post_local_row_trace.csv,True,False,False,1,1,83427,788ad2514e6d7d4be17326a195ea092c7865f317e2c283f2e9e987e2b6d31a23,788ad2514e6d7d4be17326a195ea092c7865f317e2c283f2e9e987e2b6d31a23,none
topology_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3102__f0__1800s/gini_topology.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3102__f0__1800s/gini_topology.csv,True,False,False,1,1,62057,84f15cc639da66351a0b6fbf1d9b7ba31d3bc915ca4b08cdc8ebafcc7b30bd56,84f15cc639da66351a0b6fbf1d9b7ba31d3bc915ca4b08cdc8ebafcc7b30bd56,none
sibling_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3102__f0__1800s/sibling_delay.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3102__f0__1800s/sibling_delay.csv,True,False,False,1,1,40095,011d50750162222d9ba294177508d71b5482773223abe4c57d592c0b42075f3a,011d50750162222d9ba294177508d71b5482773223abe4c57d592c0b42075f3a,none
tree_memory_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3102__f0__1800s/tree_memory.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3102__f0__1800s/tree_memory.csv,True,False,False,1,1,596,3bd30186b1c96126aff1e4c0ca48d693a445116e352e82501e156bce16f3cc89,3bd30186b1c96126aff1e4c0ca48d693a445116e352e82501e156bce16f3cc89,none
mip_start_audit,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3102__f0__1800s/mip_start_audit.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3102__f0__1800s/mip_start_audit.csv,True,False,False,1,1,151,54b22a6fab8d11013380329fd655f6237da1ee912d7f53a56a08246328cebfa8,54b22a6fab8d11013380329fd655f6237da1ee912d7f53a56a08246328cebfa8,none
progress_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3102__f0__1800s/progress.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3102__f0__1800s/progress.csv,True,False,False,1,1,691,a2a9ec1a1b3f21bffb63f39bb341172701f698bdd44585af58f0c7b94c312c86,a2a9ec1a1b3f21bffb63f39bb341172701f698bdd44585af58f0c7b94c312c86,none
