telemetry_seconds,event,leaf_id,gamma_L,gamma_U,status,global_lb,verified_ub,detail
0.179893,lp_complete,R,0,0.357201,open,0.19211,0.357201,"complete_optimal_interval_lp_bound"
0.179929,atomic_unconditional_split,R,0,0.357201,replaced,0.19211,0.357201,"initial_partition"
0.362794,lp_complete,R.0,0,0.1786,open,0.19211,0.357201,"complete_optimal_interval_lp_bound"
0.362826,atomic_unconditional_split,R.0,0,0.1786,replaced,0.19211,0.357201,"initial_partition"
0.546878,lp_complete,R.1,0.1786,0.357201,open,0.246594,0.357201,"complete_optimal_interval_lp_bound"
0.546902,atomic_unconditional_split,R.1,0.1786,0.357201,replaced,0.246594,0.357201,"initial_partition"
0.710898,lp_infeasible,R.0.0,0,0.0893001,empty,0.246594,0.357201,"complete_interval_lp_infeasible"
0.887815,lp_complete,R.0.1,0.0893001,0.1786,open,0.277261,0.357201,"complete_optimal_interval_lp_bound"
0.887848,atomic_unconditional_split,R.0.1,0.0893001,0.1786,replaced,0.277261,0.357201,"adaptive_refinement"
1.04275,lp_infeasible,R.0.1.0,0.0893001,0.13395,empty,0.277261,0.357201,"complete_interval_lp_infeasible"
1.21489,lp_complete,R.0.1.1,0.13395,0.1786,open,0.292961,0.357201,"complete_optimal_interval_lp_bound"
1.21491,atomic_unconditional_split,R.0.1.1,0.13395,0.1786,replaced,0.292961,0.357201,"adaptive_refinement"
1.37319,lp_infeasible,R.0.1.1.0,0.13395,0.156275,empty,0.292961,0.357201,"complete_interval_lp_infeasible"
1.53783,lp_complete,R.0.1.1.1,0.156275,0.1786,open,0.294243,0.357201,"complete_optimal_interval_lp_bound"
1.53786,atomic_unconditional_split,R.0.1.1.1,0.156275,0.1786,replaced,0.294243,0.357201,"adaptive_refinement"
1.71468,lp_complete,R.1.0,0.1786,0.2679,open,0.294243,0.357201,"complete_optimal_interval_lp_bound"
1.71471,atomic_unconditional_split,R.1.0,0.1786,0.2679,replaced,0.294243,0.357201,"adaptive_refinement"
1.89197,lp_complete,R.1.0.0,0.1786,0.22325,open,0.294243,0.357201,"complete_optimal_interval_lp_bound"
1.892,atomic_unconditional_split,R.1.0.0,0.1786,0.22325,replaced,0.294243,0.357201,"adaptive_refinement"
2.06644,lp_complete,R.1.0.1,0.22325,0.2679,open,0.294243,0.357201,"complete_optimal_interval_lp_bound"
2.06647,atomic_unconditional_split,R.1.0.1,0.22325,0.2679,replaced,0.294243,0.357201,"adaptive_refinement"
2.23507,lp_complete,R.1.1,0.2679,0.357201,open,0.295729,0.357201,"complete_optimal_interval_lp_bound"
2.2351,atomic_unconditional_split,R.1.1,0.2679,0.357201,replaced,0.295729,0.357201,"adaptive_refinement"
2.41,lp_complete,R.1.0.0.0,0.1786,0.200925,open,0.295729,0.357201,"complete_optimal_interval_lp_bound"
2.41003,atomic_unconditional_split,R.1.0.0.0,0.1786,0.200925,replaced,0.295729,0.357201,"adaptive_refinement"
2.57568,lp_complete,R.1.0.0.1,0.200925,0.22325,open,0.297683,0.357201,"complete_optimal_interval_lp_bound"
2.57571,atomic_unconditional_split,R.1.0.0.1,0.200925,0.22325,replaced,0.297683,0.357201,"adaptive_refinement"
2.74594,lp_complete,R.1.0.0.0.0,0.1786,0.189763,open,0.297683,0.357201,"complete_optimal_interval_lp_bound"
2.74597,atomic_unconditional_split,R.1.0.0.0.0,0.1786,0.189763,replaced,0.297683,0.357201,"adaptive_refinement"
2.91526,lp_complete,R.1.0.0.0.1,0.189763,0.200925,open,0.299819,0.357201,"complete_optimal_interval_lp_bound"
2.91529,atomic_unconditional_split,R.1.0.0.0.1,0.189763,0.200925,replaced,0.299819,0.357201,"adaptive_refinement"
3.08524,lp_complete,R.1.0.0.0.0.0,0.1786,0.184182,open,0.299819,0.357201,"complete_optimal_interval_lp_bound"
3.08526,atomic_unconditional_split,R.1.0.0.0.0.0,0.1786,0.184182,replaced,0.299819,0.357201,"adaptive_refinement"
3.2587,lp_complete,R.1.0.0.0.0.1,0.184182,0.189763,open,0.300833,0.357201,"complete_optimal_interval_lp_bound"
3.25873,atomic_unconditional_split,R.1.0.0.0.0.1,0.184182,0.189763,replaced,0.300833,0.357201,"adaptive_refinement"
3.41255,lp_infeasible,R.0.1.1.1.0,0.156275,0.167438,empty,0.300833,0.357201,"complete_interval_lp_infeasible"
3.58356,lp_complete,R.0.1.1.1.1,0.167438,0.1786,open,0.301439,0.357201,"complete_optimal_interval_lp_bound"
3.58359,atomic_unconditional_split,R.0.1.1.1.1,0.167438,0.1786,replaced,0.301439,0.357201,"adaptive_refinement"
3.75686,lp_complete,R.1.0.0.0.0.0.1,0.181391,0.184182,open,0.301439,0.357201,"complete_optimal_interval_lp_bound"
3.757,atomic_unconditional_split,R.1.0.0.0.0.0.1,0.181391,0.184182,replaced,0.301439,0.357201,"adaptive_refinement"
3.93126,lp_complete,R.1.0.0.0.0.0.0,0.1786,0.181391,open,0.302364,0.357201,"complete_optimal_interval_lp_bound"
3.93129,atomic_unconditional_split,R.1.0.0.0.0.0.0,0.1786,0.181391,replaced,0.302364,0.357201,"adaptive_refinement"
4.10318,lp_complete,R.1.0.0.0.0.1.0,0.184182,0.186972,open,0.302364,0.357201,"complete_optimal_interval_lp_bound"
4.10322,atomic_unconditional_split,R.1.0.0.0.0.1.0,0.184182,0.186972,replaced,0.302364,0.357201,"adaptive_refinement"
4.27312,lp_complete,R.1.0.0.0.0.1.1,0.186972,0.189763,open,0.302649,0.357201,"complete_optimal_interval_lp_bound"
4.27315,atomic_unconditional_split,R.1.0.0.0.0.1.1,0.186972,0.189763,replaced,0.302649,0.357201,"adaptive_refinement"
4.43976,lp_complete,R.1.0.0.0.0.0.1.0,0.181391,0.182786,open,0.302649,0.357201,"complete_optimal_interval_lp_bound"
4.43992,atomic_unconditional_split,R.1.0.0.0.0.0.1.0,0.181391,0.182786,replaced,0.302649,0.357201,"adaptive_refinement"
4.61299,lp_complete,R.1.0.0.0.0.0.1.1,0.182786,0.184182,open,0.303088,0.357201,"complete_optimal_interval_lp_bound"
4.61302,atomic_unconditional_split,R.1.0.0.0.0.0.1.1,0.182786,0.184182,replaced,0.303088,0.357201,"adaptive_refinement"
4.782,lp_complete,R.1.0.0.0.0.1.0.1,0.185577,0.186972,open,0.303088,0.357201,"complete_optimal_interval_lp_bound"
4.78204,atomic_unconditional_split,R.1.0.0.0.0.1.0.1,0.185577,0.186972,replaced,0.303088,0.357201,"adaptive_refinement"
4.95527,lp_complete,R.1.0.0.0.0.1.0.0,0.184182,0.185577,open,0.303139,0.357201,"complete_optimal_interval_lp_bound"
4.95547,atomic_unconditional_split,R.1.0.0.0.0.1.0.0,0.184182,0.185577,replaced,0.303139,0.357201,"adaptive_refinement"
5.12716,lp_complete,R.1.0.0.0.0.0.1.0.0,0.181391,0.182089,open,0.303139,0.357201,"complete_optimal_interval_lp_bound"
5.1272,atomic_unconditional_split,R.1.0.0.0.0.0.1.0.0,0.181391,0.182089,replaced,0.303139,0.357201,"adaptive_refinement"
5.29742,lp_complete,R.1.0.0.0.0.0.1.0.1,0.182089,0.182786,open,0.3032,0.357201,"complete_optimal_interval_lp_bound"
5.29745,atomic_unconditional_split,R.1.0.0.0.0.0.1.0.1,0.182089,0.182786,replaced,0.3032,0.357201,"adaptive_refinement"
5.46848,lp_complete,R.1.0.0.0.0.0.0.0,0.1786,0.179996,open,0.3032,0.357201,"complete_optimal_interval_lp_bound"
5.46852,atomic_unconditional_split,R.1.0.0.0.0.0.0.0,0.1786,0.179996,replaced,0.3032,0.357201,"adaptive_refinement"
5.63763,lp_complete,R.1.0.0.0.0.0.0.1,0.179996,0.181391,open,0.303254,0.357201,"complete_optimal_interval_lp_bound"
5.63766,atomic_unconditional_split,R.1.0.0.0.0.0.0.1,0.179996,0.181391,replaced,0.303254,0.357201,"adaptive_refinement"
5.80768,lp_complete,R.1.0.0.0.0.0.1.1.1,0.183484,0.184182,open,0.303254,0.357201,"complete_optimal_interval_lp_bound"
5.80772,atomic_unconditional_split,R.1.0.0.0.0.0.1.1.1,0.183484,0.184182,replaced,0.303254,0.357201,"adaptive_refinement"
