leaf_id,gamma_L,gamma_U,factory_version,factory_signature,canonical_row_signature,model_sha256,global_family_count,interval_family_count,selector_variable_count,contract_valid
R,0,0.35720058320841552,round19_v2_projected_centering,ad2c28c9a315200e,fd714696e25ffb1ca0b7129f33703cc2423dfa8338b9cbf1ff54c4b67e02f98d,fd714696e25ffb1ca0b7129f33703cc2423dfa8338b9cbf1ff54c4b67e02f98d,6,9,0,1
R.0,0,0.17860029160420776,round19_v2_projected_centering,5d6638f9bc269e5f,237eb9b498f496b942d7a3dcf1f67eef66c0d51d0f2669de640dbda61837eb6c,237eb9b498f496b942d7a3dcf1f67eef66c0d51d0f2669de640dbda61837eb6c,6,9,0,1
R.1,0.17860029160420776,0.35720058320841552,round19_v2_projected_centering,8777e1df914439bc,92d8c1d74f82cdaffaa57d5c8cb2e8db9e01e1431863c9ab51b57e09f6184efb,92d8c1d74f82cdaffaa57d5c8cb2e8db9e01e1431863c9ab51b57e09f6184efb,6,9,0,1
R.0.0,0,0.089300145802103881,round19_v2_projected_centering,c62ebfbf1ea9ac76,ac2cd14b2ffdede149b41de827edec418f598a33c4fe0bc00fd4ec1c458710d0,ac2cd14b2ffdede149b41de827edec418f598a33c4fe0bc00fd4ec1c458710d0,6,9,0,1
R.0.1,0.089300145802103881,0.17860029160420776,round19_v2_projected_centering,a3451a81e8cb46f8,0c91630b5a9a013aff2995611b0c57c7c85fa4a13aebf8a6cd43db3535c748e9,0c91630b5a9a013aff2995611b0c57c7c85fa4a13aebf8a6cd43db3535c748e9,6,9,0,1
R.0.1.0,0.089300145802103881,0.13395021870315582,round19_v2_projected_centering,6444bd233c5f1b83,8c78f28977d1e84bc4cfecb42c1b753c7b8a3af2d9a08cb65d97de7e0198a86f,8c78f28977d1e84bc4cfecb42c1b753c7b8a3af2d9a08cb65d97de7e0198a86f,6,9,0,1
R.0.1.1,0.13395021870315582,0.17860029160420776,round19_v2_projected_centering,9f4f5040e84fc69f,d160b6b592c5c2fae6b6596d5919ebebda1ca30b13572e74ea78eb0ffa91daec,d160b6b592c5c2fae6b6596d5919ebebda1ca30b13572e74ea78eb0ffa91daec,6,9,0,1
R.0.1.1.0,0.13395021870315582,0.15627525515368179,round19_v2_projected_centering,d2e1e5d7439e73ae,8f972856474d655820b79aa55d6d33159c2558ac11d9c3d91ce1f39dbc400e3e,8f972856474d655820b79aa55d6d33159c2558ac11d9c3d91ce1f39dbc400e3e,6,9,0,1
R.0.1.1.1,0.15627525515368179,0.17860029160420776,round19_v2_projected_centering,6b32c61cc9bcd6ff,5c2a686e151beb83fff709a784cf9205d9c1bfd3792943d7fd4af8dd446c1d0b,5c2a686e151beb83fff709a784cf9205d9c1bfd3792943d7fd4af8dd446c1d0b,6,9,0,1
R.1.0,0.17860029160420776,0.26790043740631164,round19_v2_projected_centering,d16a2f2461eabbf7,d6df33007543347a48dd57fce7519bccad9c1dc3318dd9a727fc143bb269026e,d6df33007543347a48dd57fce7519bccad9c1dc3318dd9a727fc143bb269026e,6,9,0,1
R.1.0.0,0.17860029160420776,0.2232503645052597,round19_v2_projected_centering,4b11b7edf0e3e930,1ec97f83afc4ab522fa588f01f375523a508a22fe606c473dd005d63399fecee,1ec97f83afc4ab522fa588f01f375523a508a22fe606c473dd005d63399fecee,6,9,0,1
R.1.0.1,0.2232503645052597,0.26790043740631164,round19_v2_projected_centering,6ae6e8ffc78f3db1,0c7d6c9bc90373102ae2dc8e56df44be7cadc0d78d37866f787c99a062575077,0c7d6c9bc90373102ae2dc8e56df44be7cadc0d78d37866f787c99a062575077,6,9,0,1
R.1.1,0.26790043740631164,0.35720058320841552,round19_v2_projected_centering,9127687a46c9900c,1e3f5f7b4fc0372159ef8067260a575e5a553745de7be14e2034f16f83bd8c53,1e3f5f7b4fc0372159ef8067260a575e5a553745de7be14e2034f16f83bd8c53,6,9,0,1
R.1.0.0.0,0.17860029160420776,0.20092532805473373,round19_v2_projected_centering,3b8c573035ce9b0e,cb879fe881890c04015ccb991d280f175f119c7671c9b8a5d8af186f0862ddf3,cb879fe881890c04015ccb991d280f175f119c7671c9b8a5d8af186f0862ddf3,6,9,0,1
R.1.0.0.1,0.20092532805473373,0.2232503645052597,round19_v2_projected_centering,cfc5ce509fac01be,2c70c97f0f671da06d86ef431e671c97b5cff16ae13914d887afdac73f162614,2c70c97f0f671da06d86ef431e671c97b5cff16ae13914d887afdac73f162614,6,9,0,1
R.1.0.0.0.0,0.17860029160420776,0.18976280982947075,round19_v2_projected_centering,91d8b130c03b4f7a,767d4ce730f9ccbf5a66d6cff336c7f4c2e6138625ff328b959461d6698c1885,767d4ce730f9ccbf5a66d6cff336c7f4c2e6138625ff328b959461d6698c1885,6,9,0,1
R.1.0.0.0.1,0.18976280982947075,0.20092532805473373,round19_v2_projected_centering,4c099fa01137431c,597d9d9d680c1e6cad4117deadc8f5bee36ae596e615c3181205d74cef293520,597d9d9d680c1e6cad4117deadc8f5bee36ae596e615c3181205d74cef293520,6,9,0,1
