sequence,process_seconds,event,status,nominal_deadline_remaining_seconds,work_deadline_remaining_seconds,detail
0,0,"process_entry","start",59.999182400000002,54.999182300000001,"absolute process deadline origin"
1,0.0010058000000000001,"instance_parsing_start","start",59.9989943,54.998994199999999,"E:\codes\ExactEBRP\reference\heldout_round26\V50_M3\moderate_seed6301.txt"
2,0.0022279000000000001,"instance_parsing_complete","complete",59.997772300000001,54.997772099999999,"instance=moderate_seed6301.txt"
3,0.0025671000000000001,"initial_model_data_preprocessing_complete","complete",59.9974329,54.9974329,"instance data initialized; empty-route incumbent independently verified"
4,0.0029932000000000001,"hga_start","start",59.997006900000002,54.997006900000002,"label=primary_hga;native_generation_stagnation_hga"
5,51.544297200000003,"hga_generation_loop_complete","complete",8.4557029999999997,3.4557028999999986,"label=primary_hga;generations=3325;no_improve=2000"
6,51.547293600000003,"hga_best_solution_extraction_start","start",8.4527064999999979,3.4527063999999967,"label=primary_hga"
7,51.547404,"hga_best_solution_extraction_complete","complete",8.4525959999999998,3.4525959999999998,"label=primary_hga"
8,51.547477700000002,"hga_route_decoding_start","start",8.4525223999999994,3.4525223999999994,"label=primary_hga"
9,51.548972300000003,"hga_route_decoding_complete","complete",8.4510280000000009,3.4510277999999985,"label=primary_hga"
10,51.5492062,"independent_hga_verification_start","start",8.4507939000000007,3.4507939000000007,"label=primary_hga"
11,51.549509499999999,"independent_hga_verification_complete","complete",8.4504907999999972,3.450490600000002,"label=primary_hga;feasible=true"
12,51.5617369,"hga_start","start",8.4382632000000015,3.4382631000000003,"label=local_redecode_hga;native_generation_stagnation_hga"
13,55.016080799999997,"hga_generation_loop_complete","deadline_interrupted",4.9839194999999989,-0.01608070000000339,"label=local_redecode_hga;generations=196;no_improve=82"
14,55.016472,"hga_best_solution_extraction_start","start",4.9835282000000021,-0.016471899999999096,"label=local_redecode_hga"
15,55.016583300000001,"hga_best_solution_extraction_complete","complete",4.9834168000000005,-0.016583199999999465,"label=local_redecode_hga"
16,55.016674100000003,"hga_route_decoding","skipped_deadline",4.983325899999997,-0.016674100000003023,"label=local_redecode_hga;no decoded candidate or verification claim"
17,55.018351099999997,"improving_gini_range_construction_complete","complete",4.9816490999999985,-0.018351000000002671,"lower=0.000000;upper=0.607529;complete=true"
18,55.018757899999997,"exact_phase_not_started","deadline",4.9812423999999993,-0.018757800000003044,"conservative_lb=0;source=nonnegative_objective"
19,55.020277,"final_result_serialization_start","start",4.9797231000000011,-0.0202770000000001,""
20,55.021191799999997,"final_result_serialization_complete","complete",4.9788082999999972,-0.021191799999996874,""
21,55.021430000000002,"process_exit","complete",4.9785700999999989,-0.021429900000001112,"rc=0"
