leaf_id,solve_kind,native_status,optimize_return_code,global_deadline_remaining_at_launch,solver_runtime,work,nodes,simplex_iterations,barrier_iterations,memory_gb,model_sha256,in_memory_model_reused,integer_domain_restored,basis_reuse_status,native_log
L0,LP,"INFEASIBLE",0,287.553,0.098,0.33479,0,1038,0,0.0196049,2e85b5ec1c0cbbf05312ff4b07c3670de46070fe9be89ca4a684ad77caaac1a1,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L0_lp.gurobi.log"
L1,LP,"INFEASIBLE",0,287.268,0.108,0.357142,0,1234,0,0.0196471,4793a46ca6e5fd02348e79a4d3d33a69a035b167e57993c30a8bc63bdfa6ebb0,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L1_lp.gurobi.log"
L2,LP,"OPTIMAL",0,286.975,0.079,0.239941,0,791,0,0.0314955,b39e6d9cc0a8acdfafea349a6dbf8dd2628cfad8c6ab3cf47b4011d466d1903e,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2_lp.gurobi.log"
L2.0,LP,"OPTIMAL",0,286.708,0.089,0.272114,0,816,0,0.0337387,15a1068a29339af7cfae7403afb82e0c6a82f368beddcf380e289a7770b81dc2,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0_lp.gurobi.log"
L2.1,LP,"OPTIMAL",0,286.434,0.0780001,0.228302,0,737,0,0.035982,6644ef91d4092cf403ff3e9b99cf982d7683a98505ba83be9754ff091f22af97,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.1_lp.gurobi.log"
L3,LP,"INFEASIBLE",0,286.166,0.075,0.249811,0,800,0,0.035982,10b493c5d6e59ed3401861de86f17509ec9c328db4410c9ec3125f9db3e9e2ca,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L3_lp.gurobi.log"
L2.0.0,LP,"INFEASIBLE",0,285.905,0.225,0.820057,0,2881,0,0.035982,89ebaa17bf6fa480a659eff51c38c7da902d57dec5100050a9388cdf9cdd599e,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.0_lp.gurobi.log"
L2.0.1,LP,"OPTIMAL",0,285.494,0.085,0.252988,0,771,0,0.0382253,ddf7b90bce5d0697a8f0ae411906ca3b18e00ae8d8808d99ef18460aaf9f1e3c,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1_lp.gurobi.log"
L2.0.1.0,LP,"OPTIMAL",0,285.221,0.082,0.24599,0,725,0,0.0382253,742232f43d1b01f7e580db9f872949c05708e4c0e0d7aace49d99af7bba15386,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.0_lp.gurobi.log"
L2.0.1.1,LP,"OPTIMAL",0,284.953,0.0899999,0.280453,0,874,0,0.0382253,5ab2fc74bc2b0e08f206e5a422fdf54f21ef83204d8dc36d96fd78a6d954d190,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1_lp.gurobi.log"
L2.0.1.0.0,LP,"OPTIMAL",0,284.675,0.085,0.256605,0,789,0,0.0382253,2cb6eb3e14d0a1ca15b69ced65df502b41c0e84046204d7c6c2eda98c774c8e9,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.0.0_lp.gurobi.log"
L2.0.1.0.1,LP,"OPTIMAL",0,284.401,0.0849998,0.259955,0,796,0,0.0404685,824d44ce9b7a1e509c993266839bd0172e710230394beaaad8a2e5c5ef2717df,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.0.1_lp.gurobi.log"
L2.0.1.0.0.0,LP,"INFEASIBLE",0,284.131,0.178,0.637076,0,2230,0,0.0404685,36ef2531f8b1b633482c521e96fd188d8bb7a2188cc91f93a4311ec57b3353fd,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.0.0.0_lp.gurobi.log"
L2.0.1.0.0.1,LP,"OPTIMAL",0,283.766,0.086,0.259871,0,832,0,0.0427118,5e23e4f887c62c39f5141aea9a5e1f60913e87888990d15a789548625e5bc0ec,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.0.0.1_lp.gurobi.log"
L2.0.1.0.1.0,LP,"OPTIMAL",0,283.492,0.082,0.247665,0,746,0,0.0427118,adf3e1d2342670f7e76d2a577abef5ae87daba84a46e82a7ec0350fb4590e617,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.0.1.0_lp.gurobi.log"
L2.0.1.0.1.1,LP,"OPTIMAL",0,283.226,0.0829999,0.254341,0,806,0,0.0427118,8b9e15cd2fa032873dd2ab906c754c3338020a35e4306acd28ce04b2d091ba79,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.0.1.1_lp.gurobi.log"
L2.0.1.1.0,LP,"OPTIMAL",0,282.955,0.0799999,0.244676,0,736,0,0.0427118,4dc9a02fc1abc91c53a4b3eb5d416a9a00a9dfeaf8ae6bafc651abc8948e6f33,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.0_lp.gurobi.log"
L2.0.1.1.1,LP,"OPTIMAL",0,282.576,0.082,0.251313,0,775,0,0.0449551,a9bebf2c4c511bb41341613e1456399a256bd384b5d46dd85d249df767f75d8a,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.1_lp.gurobi.log"
L2.0.1.1.0.0,LP,"OPTIMAL",0,282.307,0.0869999,0.266436,0,889,0,0.0449551,b37c86b20627598c9f4c0e9a892ace54dec97fbb229a7017e6cd9cefc8e0e544,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.0.0_lp.gurobi.log"
L2.0.1.1.0.1,LP,"OPTIMAL",0,282.031,0.0799999,0.247745,0,805,0,0.0471983,06dac35ddf19c55d1249370124bca6b63e630d54f54473da05c4fa9924ec8ec3,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.1.0.1_lp.gurobi.log"
L2.0.1.0.0.1.0,LP,"OPTIMAL",0,281.764,0.0810001,0.236672,0,795,0,0.0471983,591d4561c484f95e57d8db5193533772275db12c97228a33e3ddf7b6b59bcf5f,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.0.0.1.0_lp.gurobi.log"
L2.0.1.0.0.1.1,LP,"OPTIMAL",0,281.496,0.0840001,0.254506,0,862,0,0.0494416,ca52ee45f0c818df6ea4167871c6a8a8149d5bfe8f2c9736cf9cf83d49db56c1,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.0.0.1.1_lp.gurobi.log"
L2.0.1.0.1.0.0,LP,"OPTIMAL",0,281.225,0.082,0.247989,0,823,0,0.0494416,1eadd7282e2c399d5c516fac9a23b542edd8784253cfe253e4a23160ff3d21f2,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage1__V12_M2__c4_candidate__300s\external\native_logs\L2.0.1.0.1.0.0_lp.gurobi.log"
