telemetry_seconds,event,leaf_id,gamma_L,gamma_U,status,global_lb,verified_ub,detail
0.465964,lp_complete,R,0,0.107253,open,0.00169244,0.107253,"complete_optimal_interval_lp_bound"
0.465993,atomic_unconditional_split,R,0,0.107253,replaced,0.00169244,0.107253,"initial_partition"
0.890735,lp_complete,R.0,0,0.0536264,open,0.00169244,0.107253,"complete_optimal_interval_lp_bound"
0.890758,atomic_unconditional_split,R.0,0,0.0536264,replaced,0.00169244,0.107253,"initial_partition"
1.33959,lp_complete,R.0.0,0,0.0268132,open,0.00169244,0.107253,"complete_optimal_interval_lp_bound"
1.33963,atomic_unconditional_split,R.0.0,0,0.0268132,replaced,0.00169244,0.107253,"adaptive_refinement"
1.82857,lp_complete,R.0.1,0.0268132,0.0536264,open,0.00169244,0.107253,"complete_optimal_interval_lp_bound"
1.8286,atomic_unconditional_split,R.0.1,0.0268132,0.0536264,replaced,0.00169244,0.107253,"adaptive_refinement"
2.29898,lp_complete,R.1,0.0536264,0.107253,open,0.00169257,0.107253,"complete_optimal_interval_lp_bound"
2.29901,atomic_unconditional_split,R.1,0.0536264,0.107253,replaced,0.00169257,0.107253,"initial_partition"
2.72526,lp_complete,R.0.0.0,0,0.0134066,open,0.00169257,0.107253,"complete_optimal_interval_lp_bound"
2.72529,atomic_unconditional_split,R.0.0.0,0,0.0134066,replaced,0.00169257,0.107253,"adaptive_refinement"
3.12507,lp_complete,R.0.0.1,0.0134066,0.0268132,open,0.00172796,0.107253,"complete_optimal_interval_lp_bound"
3.12511,atomic_unconditional_split,R.0.0.1,0.0134066,0.0268132,replaced,0.00172796,0.107253,"adaptive_refinement"
3.52997,lp_complete,R.0.0.0.0,0,0.0067033,open,0.00172796,0.107253,"complete_optimal_interval_lp_bound"
3.53,atomic_unconditional_split,R.0.0.0.0,0,0.0067033,replaced,0.00172796,0.107253,"adaptive_refinement"
3.96231,lp_complete,R.0.0.0.1,0.0067033,0.0134066,open,0.00203919,0.107253,"complete_optimal_interval_lp_bound"
3.96236,atomic_unconditional_split,R.0.0.0.1,0.0067033,0.0134066,replaced,0.00203919,0.107253,"adaptive_refinement"
4.42437,lp_infeasible,R.0.0.0.0.0,0,0.00335165,empty,0.00203919,0.107253,"complete_interval_lp_infeasible"
4.81501,lp_complete,R.0.0.0.0.1,0.00335165,0.0067033,open,0.00463663,0.107253,"complete_optimal_interval_lp_bound"
4.81504,atomic_unconditional_split,R.0.0.0.0.1,0.00335165,0.0067033,replaced,0.00463663,0.107253,"adaptive_refinement"
5.25938,lp_complete,R.0.0.0.0.1.1,0.00502747,0.0067033,open,0.00463663,0.107253,"complete_optimal_interval_lp_bound"
5.25942,atomic_unconditional_split,R.0.0.0.0.1.1,0.00502747,0.0067033,replaced,0.00463663,0.107253,"adaptive_refinement"
5.73498,lp_complete,R.0.0.0.0.1.0,0.00335165,0.00502747,open,0.00473699,0.107253,"complete_optimal_interval_lp_bound"
5.73502,atomic_unconditional_split,R.0.0.0.0.1.0,0.00335165,0.00502747,replaced,0.00473699,0.107253,"adaptive_refinement"
6.19061,lp_complete,R.0.0.0.0.1.0.1,0.00418956,0.00502747,open,0.00473699,0.107253,"complete_optimal_interval_lp_bound"
6.19065,atomic_unconditional_split,R.0.0.0.0.1.0.1,0.00418956,0.00502747,replaced,0.00473699,0.107253,"adaptive_refinement"
6.6173,lp_infeasible,R.0.0.0.0.1.0.0,0.00335165,0.00418956,empty,0.00536582,0.107253,"complete_interval_lp_infeasible"
7.05441,lp_complete,R.0.0.0.0.1.0.1.1,0.00460852,0.00502747,open,0.00536582,0.107253,"complete_optimal_interval_lp_bound"
7.05444,atomic_unconditional_split,R.0.0.0.0.1.0.1.1,0.00460852,0.00502747,replaced,0.00536582,0.107253,"adaptive_refinement"
7.47115,lp_complete,R.0.0.0.0.1.0.1.0,0.00418956,0.00460852,open,0.00543793,0.107253,"complete_optimal_interval_lp_bound"
7.47119,atomic_unconditional_split,R.0.0.0.0.1.0.1.0,0.00418956,0.00460852,replaced,0.00543793,0.107253,"adaptive_refinement"
7.87514,lp_complete,R.0.0.0.0.1.0.1.0.0,0.00418956,0.00439904,open,0.00543793,0.107253,"complete_optimal_interval_lp_bound"
7.87517,atomic_unconditional_split,R.0.0.0.0.1.0.1.0.0,0.00418956,0.00439904,replaced,0.00543793,0.107253,"adaptive_refinement"
8.29563,lp_complete,R.0.0.0.0.1.0.1.0.1,0.00439904,0.00460852,open,0.00556306,0.107253,"complete_optimal_interval_lp_bound"
8.29566,atomic_unconditional_split,R.0.0.0.0.1.0.1.0.1,0.00439904,0.00460852,replaced,0.00556306,0.107253,"adaptive_refinement"
8.71166,lp_complete,R.0.0.0.0.1.0.1.0.1.0,0.00439904,0.00450378,open,0.00556306,0.107253,"complete_optimal_interval_lp_bound"
9.16924,terminal_mip_complete,R.0.0.0.0.1.0.1.0.1.0,0.00439904,0.00450378,empty,0.00556306,0.107253,"native_terminal_mip_infeasible"
9.58952,lp_complete,R.0.0.0.0.1.0.1.0.1.1,0.00450378,0.00460852,open,0.00563634,0.107253,"complete_optimal_interval_lp_bound"
10.0398,terminal_mip_complete,R.0.0.0.0.1.0.1.0.1.1,0.00450378,0.00460852,empty,0.00573039,0.107253,"native_terminal_mip_infeasible"
